<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001FAD2EBBCA0>
[-50.18924332 -51.2898407  -50.90139389]
[-49.99501801 -51.03087616 -50.96613312]
[-49.99501801 -51.03087616 -50.96613312]
[-49.67131424 -50.90139389 -50.70716858]
[-49.60657501 -50.38346863 -50.12450409]
[-50.05976105 -50.77191162 -50.05976105]
[-50.05976105 -50.77191162 -50.05976105]
[-50.12450409 -50.77191162 -49.93027878]
[-49.99501801 -50.25398254 -50.05976105]
[-49.93027878 -50.96613312 -50.38346863]
[-49.80079651 -50.90139389 -50.31872559]
[-49.86553955 -51.16035843 -50.57769012]
[-49.67131424 -50.96613312 -50.77191162]
[-49.34761047 -50.70716858 -50.31872559]
[-49.4123497  -50.64242935 -50.31872559]
[-48.95916367 -50.31872559 -49.86553955]
[-49.28286743 -50.31872559 -49.93027878]
[-49.54183197 -50.51294708 -49.80079651]
[-49.47708893 -50.44820786 -49.60657501]
[-49.99501801 -50.77191162 -50.25398254]
[-49.86553955 -50.70716858 -50.25398254]
[-49.86553955 -51.16035843 -50.57769012]
[-49.86553955 -51.16035843 -50.57769012]
[-49.67131424 -50.90139389 -50.64242935]
[-49.15338898 -50.57769012 -50.38346863]
[-49.34761047 -50.18924332 -50.12450409]
[-49.28286743 -50.18924332 -49.67131424]
[-48.89442444 -50.12450409 -49.73605347]
[-49.15338898 -50.44820786 -49.80079651]
[-49.15338898 -50.12450409 -49.4123497 ]
[-49.86553955 -50.25398254 -49.80079651]
[-49.60657501 -50.57769012 -50.12450409]
[-49.34761047 -50.51294708 -50.25398254]
[-49.80079651 -50.70716858 -49.73605347]
[-49.80079651 -50.83665466 -49.86553955]
[-49.54183197 -50.64242935 -50.31872559]
[-49.02390289 -50.12450409 -50.70716858]
[-48.89442444 -50.25398254 -50.38346863]
[-48.11753082 -49.54183197 -49.54183197]
[-48.44123459 -49.28286743 -49.15338898]
[-48.6354599  -49.2181282  -48.70019913]
[-48.50597382 -49.28286743 -48.95916367]
[-49.2181282  -49.86553955 -49.28286743]
[-49.73605347 -50.12450409 -49.93027878]
[-49.2181282  -50.25398254 -49.60657501]
[-49.67131424 -50.44820786 -49.99501801]
[-49.54183197 -50.38346863 -50.31872559]
[-48.95916367 -50.44820786 -50.12450409]
[-48.76493835 -50.12450409 -50.05976105]
[-47.98804855 -49.47708893 -49.34761047]
[-48.50597382 -49.93027878 -49.54183197]
[-48.8296814 -49.4123497 -49.4123497]
[-49.08864594 -49.54183197 -48.89442444]
[-48.6354599  -49.47708893 -49.4123497 ]
[-49.28286743 -50.25398254 -50.12450409]
[-49.2181282  -50.05976105 -49.93027878]
[-49.80079651 -50.70716858 -49.73605347]
[-49.73605347 -50.57769012 -49.93027878]
[-49.28286743 -50.18924332 -49.99501801]
[-48.11753082 -49.60657501 -49.99501801]
[-47.79382324 -48.8296814  -48.95916367]
