<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001FAD2EBBCA0>
[-49.60657501 -50.12450409 -49.4123497 ]
[-49.60657501 -50.12450409 -49.4123497 ]
[-49.54183197 -50.12450409 -49.73605347]
[-49.4123497  -50.18924332 -49.80079651]
[-49.34761047 -49.80079651 -49.34761047]
[-49.47708893 -49.99501801 -48.8296814 ]
[-49.93027878 -50.38346863 -49.4123497 ]
[-49.99501801 -50.18924332 -49.2181282 ]
[-49.47708893 -49.80079651 -49.02390289]
[-49.02390289 -49.80079651 -48.6354599 ]
[-48.6354599  -50.05976105 -49.02390289]
[-49.08864594 -50.25398254 -49.60657501]
[-49.02390289 -49.93027878 -49.2181282 ]
[-48.6354599  -49.2181282  -49.08864594]
[-48.95916367 -49.15338898 -48.70019913]
[-49.15338898 -49.02390289 -48.24700928]
[-49.08864594 -49.60657501 -48.44123459]
[-48.6354599  -48.8296814  -47.66434479]
[-47.59960175 -48.18227005 -47.92330933]
[-48.6354599  -49.47708893 -48.8296814 ]
[-48.8296814  -50.12450409 -49.34761047]
[-49.02390289 -50.31872559 -49.60657501]
[-48.6354599  -49.54183197 -49.28286743]
[-48.50597382 -48.95916367 -48.76493835]
[-48.89442444 -48.8296814  -48.44123459]
[-48.95916367 -49.34761047 -48.11753082]
[-49.02390289 -49.60657501 -48.31175232]
[-48.6354599  -48.8296814  -47.66434479]
[-47.14641571 -47.5348587  -47.34063721]
[-48.11753082 -49.47708893 -48.8296814 ]
[-48.6354599  -49.80079651 -49.08864594]
[-48.76493835 -49.67131424 -49.34761047]
[-47.98804855 -49.02390289 -48.95916367]
[-47.27589417 -47.59960175 -47.21115494]
[-48.70019913 -48.70019913 -48.11753082]
[-49.47708893 -49.67131424 -48.76493835]
[-49.34761047 -49.73605347 -48.44123459]
[-48.6354599  -48.70019913 -47.66434479]
[-47.01692963 -47.72908401 -47.5348587 ]
[-47.98804855 -49.34761047 -48.57071686]
[-48.8296814  -49.80079651 -49.2181282 ]
[-48.76493835 -49.60657501 -48.89442444]
[-48.18227005 -49.2181282  -49.15338898]
[-47.47011948 -47.47011948 -47.01692963]
[-48.6354599  -48.70019913 -48.18227005]
[-48.95916367 -49.4123497  -48.57071686]
[-48.8296814  -49.54183197 -48.18227005]
[-47.59960175 -48.11753082 -47.59960175]
[-47.34063721 -48.31175232 -47.92330933]
[-48.11753082 -49.47708893 -48.8296814 ]
[-49.08864594 -50.25398254 -49.60657501]
[-48.95916367 -49.93027878 -49.15338898]
[-48.6354599  -49.2181282  -49.08864594]
[-48.50597382 -48.8296814  -48.37649536]
[-49.15338898 -49.02390289 -48.24700928]
[-48.95916367 -49.67131424 -48.44123459]
[-49.4123497  -49.67131424 -48.50597382]
[-48.95916367 -49.34761047 -48.31175232]
[-47.14641571 -47.98804855 -47.98804855]
[-47.85856628 -49.02390289 -48.31175232]
[-48.89442444 -49.93027878 -49.34761047]
[-48.37649536 -49.08864594 -48.8296814 ]
[-47.40538025 -47.85856628 -47.5348587 ]
[-47.85856628 -47.79382324 -47.21115494]
[-47.98804855 -48.50597382 -47.92330933]
[-48.31175232 -49.73605347 -48.31175232]
[-48.8296814  -49.54183197 -48.18227005]
[-48.44123459 -48.44123459 -47.59960175]
[-47.14641571 -47.5348587  -47.34063721]
[-48.05278778 -49.34761047 -48.6354599 ]
[-48.50597382 -49.47708893 -48.70019913]
[-48.6354599  -49.34761047 -48.95916367]
[-47.59960175 -48.76493835 -48.6354599 ]
[-47.27589417 -47.59960175 -47.21115494]
[-48.18227005 -48.37649536 -47.85856628]
[-48.37649536 -49.2181282  -48.44123459]
[-48.50597382 -49.54183197 -48.37649536]
[-48.57071686 -48.89442444 -47.66434479]
[-47.47011948 -47.85856628 -47.5348587 ]
