<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001BBD13AFA70>
[-13.298172    -5.70323563  -5.91420364]
[-13.298172    -5.70323563  -5.91420364]
[-13.57946396  -5.42193985  -5.56258774]
[-13.57946396  -5.42193985  -5.56258774]
[-13.57946396  -5.42193985  -5.56258774]
[-13.57946396  -5.42193985  -5.56258774]
[-15.82981873  -5.07032394  -5.07032394]
[-15.82981873  -5.07032394  -5.07032394]
[-15.82981873  -5.07032394  -5.07032394]
[-15.9704628   -5.98452759  -5.77355957]
[-18.57243347  -6.26582336  -5.63291168]
[-18.57243347  -6.26582336  -5.63291168]
[-12.17299652  -5.          -5.        ]
[-8.30520248 -5.         -5.        ]
[-8.30520248 -5.         -5.        ]
[-9.78199768 -6.26582336 -5.        ]
[-13.57946396  -5.42193985  -5.56258774]
[-13.93108368  -5.28129578  -5.63291168]
[-10.41490936  -5.          -5.        ]
[-12.8059082  -5.         -5.       ]
[-12.8059082  -5.         -5.       ]
[-19.20534515  -5.35161591  -5.        ]
[-25.74542809 -10.13361359  -5.98452759]
[-20.54149246  -5.          -5.        ]
[-16.88467026  -8.6568222   -5.        ]
[-10.06328964  -9.07876205  -5.        ]
[-10.06328964  -9.07876205  -5.        ]
[-8.30520248 -5.         -5.        ]
[ -9.92264557 -10.62587738  -5.70323563]
[-13.57946396  -5.42193985  -5.56258774]
[-10.41490936  -5.          -5.        ]
[-10.41490936  -5.          -5.        ]
[-12.8059082  -5.         -5.       ]
[-16.32208252  -5.          -5.        ]
[-19.20534515  -5.35161591  -5.        ]
[-25.74542809 -10.13361359  -5.98452759]
[-20.54149246  -5.          -5.        ]
[-16.88467026  -8.6568222   -5.        ]
[-6.89873505 -5.         -5.        ]
[-10.90717316 -11.11814499  -5.49226379]
[-11.11814499 -10.83684921  -6.96905899]
[-14.42334747 -12.45428848  -8.51617432]
[-13.93108368  -5.28129578  -5.63291168]
[-10.41490936  -5.          -5.        ]
[-10.41490936  -5.          -5.        ]
[-16.32208252  -5.          -5.        ]
[-16.32208252  -5.          -5.        ]
[-18.99437332  -5.70323563  -5.21097183]
[-15.19690704  -5.          -5.        ]
[-11.39943695  -5.          -5.        ]
[-8.30520248 -5.         -5.        ]
[-11.04782104  -6.19549942  -5.07032394]
[-11.04782104  -6.19549942  -5.07032394]
[-14.07173157  -5.98452759  -6.26582336]
[-14.07173157  -5.98452759  -6.26582336]
[-13.93108368  -5.28129578  -5.63291168]
[-13.93108368  -5.28129578  -5.63291168]
[-17.86919785  -6.8284111   -6.19549942]
[-19.20534515  -5.35161591  -5.        ]
[-15.19690704  -5.          -5.        ]
[-17.72854996  -7.74261475  -5.56258774]
[-12.94655228  -5.          -5.        ]
[-6.12517548 -5.         -5.        ]
[-11.54008484  -8.58649826  -6.33614731]
[-9.78199768 -6.26582336 -5.        ]
[-14.28269958  -7.6722908   -6.19549942]
[-13.57946396  -5.42193985  -5.56258774]
[-15.82981873  -5.07032394  -5.07032394]
[-15.82981873  -5.07032394  -5.07032394]
[-15.82981873  -5.07032394  -5.07032394]
[-15.9704628   -5.98452759  -5.77355957]
[-19.13502121  -6.33614731  -5.63291168]
[-16.25175858  -5.          -5.        ]
[-12.17299652  -5.          -5.        ]
[-5.14064789 -5.         -5.        ]
[-5.14064789 -5.         -5.        ]
[-14.35302353 -11.54008484  -7.88326263]
[-13.57946396  -5.42193985  -5.56258774]
[-10.41490936  -5.          -5.        ]
[-10.41490936  -5.          -5.        ]
[-12.8059082  -5.         -5.       ]
[-15.61884689  -5.21097183  -5.42193985]
[-18.99437332  -5.70323563  -5.21097183]
[-18.57243347  -6.26582336  -5.63291168]
[-12.17299652  -5.          -5.        ]
[-13.50914383  -8.79747009  -5.        ]
[-8.37552643 -6.12517548 -5.        ]
[-8.37552643 -6.12517548 -5.        ]
[-5.14064789 -5.         -5.        ]
[-14.42334747 -12.45428848  -8.51617432]
[-13.57946396  -5.42193985  -5.56258774]
[-10.41490936  -5.          -5.        ]
[-10.41490936  -5.          -5.        ]
[-12.8059082  -5.         -5.       ]
[-16.32208252  -5.          -5.        ]
[-18.99437332  -5.70323563  -5.21097183]
[-25.74542809 -10.13361359  -5.98452759]
[-12.17299652  -5.          -5.        ]
[-13.50914383  -8.79747009  -5.        ]
[-13.50914383  -8.79747009  -5.        ]
[-10.06328964  -9.07876205  -5.        ]
[-5.14064789 -5.         -5.        ]
[-14.42334747 -12.45428848  -8.51617432]
[-13.57946396  -5.42193985  -5.56258774]
[-10.41490936  -5.          -5.        ]
[-10.41490936  -5.          -5.        ]
[-12.8059082  -5.         -5.       ]
[-16.32208252  -5.          -5.        ]
[-18.99437332  -5.70323563  -5.21097183]
[-25.74542809 -10.13361359  -5.98452759]
[-22.72151947  -8.30520248  -5.        ]
[-14.28269958  -5.          -5.        ]
[-6.89873505 -5.         -5.        ]
[-7.6722908  -5.91420364 -5.        ]
[-5.35161591 -8.09423447 -5.        ]
[-14.49367142 -11.89170074  -8.02391052]
[-13.93108368  -5.28129578  -5.63291168]
[-10.41490936  -5.          -5.        ]
[-12.8059082  -5.         -5.       ]
[-16.32208252  -5.          -5.        ]
[-19.20534515  -5.35161591  -5.        ]
[-25.74542809 -10.13361359  -5.98452759]
[-12.17299652  -5.          -5.        ]
[-14.28269958  -5.          -5.        ]
[-6.89873505 -5.         -5.        ]
[-5.63291168 -5.         -5.        ]
[-14.42334747 -12.45428848  -8.51617432]
[-14.56399536  -7.74261475  -6.26582336]
[-5.77355957 -5.         -5.        ]
[-8.72714615 -5.         -5.        ]
[-16.32208252  -5.          -5.        ]
[-19.20534515  -5.35161591  -5.        ]
