<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x00000192FAF9FBC0>
[-11.68073273  -5.77355957  -5.49226379]
[-14.28269958  -6.61743927  -5.35161591]
[-11.18846512  -5.          -5.        ]
[-11.18846512  -5.          -5.        ]
[-7.88326263 -5.         -5.        ]
[-7.88326263 -5.         -5.        ]
[-12.59493637  -7.88326263  -6.47679138]
[-11.32911301  -5.70323563  -6.19549942]
[-12.87623215  -5.          -6.89873505]
[-12.87623215  -5.          -6.89873505]
[-12.87623215  -5.          -6.89873505]
[-13.36849594  -5.70323563  -6.75808716]
[-13.36849594  -5.70323563  -6.75808716]
[-13.36849594  -5.70323563  -6.75808716]
[-13.36849594  -5.70323563  -6.75808716]
[-11.96202469  -5.28129578  -6.40647125]
[-11.96202469  -5.28129578  -6.40647125]
[-11.96202469  -5.28129578  -6.40647125]
[-11.46976089  -5.          -6.47679138]
[-11.46976089  -5.          -6.47679138]
[-11.46976089  -5.          -6.47679138]
[-13.01687622  -6.05485153  -6.54711533]
[-13.01687622  -6.05485153  -6.54711533]
[-13.01687622  -6.05485153  -6.54711533]
[-13.36849594  -6.26582336  -5.70323563]
[-13.36849594  -6.26582336  -5.70323563]
[-11.18846512  -5.          -5.        ]
[-6.12517548 -5.         -5.        ]
[-5. -5. -5.]
[-12.94655228  -7.88326263  -5.77355957]
[-12.59493637  -6.8284111   -6.8284111 ]
[-7.88326263 -5.         -5.        ]
[-7.88326263 -5.         -5.        ]
[-10.9774971  -5.         -5.       ]
[-13.93108368  -5.21097183  -6.47679138]
[-13.93108368  -5.21097183  -6.47679138]
[-14.28269958  -6.61743927  -5.35161591]
[-7.60197067 -5.         -5.        ]
[-11.39943695  -7.60197067  -5.        ]
[-7.81293869 -6.75808716 -5.        ]
[-5.42193985 -5.         -5.        ]
[-11.89170074  -9.92264557  -6.61743927]
[-7.88326263 -5.         -5.        ]
[-12.59493637  -7.88326263  -6.47679138]
[-11.32911301  -5.70323563  -6.19549942]
[-10.20393753  -5.          -5.        ]
[-12.87623215  -5.          -6.89873505]
[-12.87623215  -5.          -6.89873505]
[-13.36849594  -5.70323563  -6.75808716]
[-13.36849594  -5.70323563  -6.75808716]
[-10.76652527  -5.          -5.        ]
[-9.00843811 -5.         -5.        ]
[-9.00843811 -5.         -5.        ]
[-11.96202469  -5.28129578  -6.40647125]
[-11.96202469  -5.28129578  -6.40647125]
[-11.46976089  -5.          -6.47679138]
[-11.46976089  -5.          -6.47679138]
[-13.01687622  -6.54711533  -6.54711533]
[-14.07173157  -6.47679138  -6.19549942]
[-14.07173157  -6.47679138  -6.19549942]
[-11.18846512  -5.          -5.        ]
[-9.07876205 -5.28129578 -5.        ]
[-7.81293869 -5.         -5.        ]
[-5.42193985 -5.         -5.        ]
[-8.6568222  -8.72714615 -5.        ]
[-12.94655228  -7.88326263  -5.77355957]
[-12.59493637  -6.8284111   -6.8284111 ]
[-11.46976089  -5.          -6.47679138]
