<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x00000192FAF9FBC0>
[-12.59493637  -6.40647125  -5.56258774]
[-23.49507713  -6.68776321  -5.63291168]
[-21.87763596  -6.8284111   -5.        ]
[-21.87763596  -6.8284111   -5.        ]
[-20.33052063  -7.74261475  -5.        ]
[-20.33052063  -7.74261475  -5.        ]
[-7.39099884 -7.3206749  -5.        ]
[-11.8213768  -10.55555725  -5.98452759]
[-11.8213768  -10.55555725  -5.98452759]
[-12.31364441 -10.62587738  -6.12517548]
[-10.06328964  -6.47679138  -5.        ]
[-18.22081757  -6.05485153  -5.        ]
[-18.22081757  -6.54711533  -5.56258774]
[-18.22081757  -6.54711533  -5.56258774]
[-23.49507713  -6.68776321  -5.63291168]
[-19.69760895  -5.70323563  -5.        ]
[-13.86075974  -5.35161591  -5.        ]
[-8.72714615 -9.149086   -5.        ]
[-8.72714615 -9.149086   -5.        ]
[-8.72714615 -9.149086   -5.        ]
[-10.06328964  -6.75808716  -5.        ]
[-10.06328964  -6.75808716  -5.        ]
[-10.06328964  -6.47679138  -5.        ]
[-16.46273041  -6.26582336  -5.        ]
[-22.08860779  -6.54711533  -5.        ]
[-23.42475319 -10.90717316  -6.26582336]
[-18.15049362 -10.48523331  -5.84388351]
[-14.91561127  -7.39099884  -5.        ]
[-14.91561127  -7.39099884  -5.        ]
[-8.72714615 -9.149086   -5.        ]
[-6.61743927 -5.35161591 -5.        ]
[-6.61743927 -5.35161591 -5.        ]
[-12.59493637  -6.40647125  -5.56258774]
[-12.59493637  -6.40647125  -5.56258774]
[-12.59493637  -6.40647125  -5.56258774]
[-23.49507713  -6.68776321  -5.63291168]
[-21.87763596  -6.8284111   -5.        ]
[-23.42475319 -10.90717316  -6.26582336]
[-20.33052063  -7.74261475  -5.        ]
[-14.91561127  -7.39099884  -5.        ]
[-7.39099884 -7.3206749  -5.        ]
[-11.8213768  -10.55555725  -5.98452759]
[-11.8213768  -10.55555725  -5.98452759]
[-12.31364441 -10.62587738  -6.12517548]
[-10.06328964  -6.47679138  -5.        ]
[-18.22081757  -6.05485153  -5.        ]
[-18.22081757  -6.54711533  -5.56258774]
[-18.22081757  -6.54711533  -5.56258774]
[-21.9479599   -6.75808716  -5.        ]
[-19.69760895  -5.70323563  -5.        ]
[-19.69760895  -5.70323563  -5.        ]
[-8.72714615 -9.149086   -5.        ]
[-8.72714615 -9.149086   -5.        ]
[-8.72714615 -9.149086   -5.        ]
[-10.06328964  -6.75808716  -5.        ]
[-10.06328964  -6.47679138  -5.        ]
[-10.06328964  -6.47679138  -5.        ]
[-16.46273041  -6.26582336  -5.        ]
[-22.08860779  -6.54711533  -5.        ]
[-23.42475319 -10.90717316  -6.26582336]
[-18.15049362 -10.48523331  -5.84388351]
[-14.91561127  -7.39099884  -5.        ]
[-14.91561127  -7.39099884  -5.        ]
[-8.72714615 -9.149086   -5.        ]
[-6.61743927 -5.35161591 -5.        ]
[-10.34458542  -6.26582336  -5.        ]
