<generator object PPO.save_probs.<locals>.<genexpr> at 0x00000219FE5DB990>
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 98.88712311 100.         100.        ]
[ 92.20985413 100.         100.        ]
[ 97.77424622 100.         100.        ]
[100. 100. 100.]
[ 92.84578705 100.         100.        ]
[ 99.20508575 100.         100.        ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 88.5532608   98.09220886 100.        ]
[ 82.1939621   94.43561554 100.        ]
[ 85.05564117  98.88712311 100.        ]
[ 86.80445099 100.         100.        ]
[ 66.77265167  78.06040955 100.        ]
[ 66.77265167  78.06040955 100.        ]
[74.40381622 79.01430511 97.77424622]
[ 87.28140259  93.16374969 100.        ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 93.00476837  96.97933197 100.        ]
[ 73.44992065  88.0763092  100.        ]
[ 77.26550293  90.77901459 100.        ]
[ 96.34339905 100.         100.        ]
[ 70.58823395  84.41971588 100.        ]
[ 61.685215    70.90619659 100.        ]
[ 63.75198746  71.38314819 100.        ]
[ 76.78855133  81.87599182 100.        ]
[84.10174561 84.10174561 98.56916046]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 99.04610443 100.         100.        ]
[ 83.14785004  95.38950348 100.        ]
[ 76.15262604  92.20985413 100.        ]
[ 78.2193985   91.41494751 100.        ]
[ 87.28140259 100.         100.        ]
[ 63.91096878  75.99363708 100.        ]
[ 61.685215    70.58823395 100.        ]
[ 68.52146149  72.97297668 100.        ]
[ 77.26550293  80.28617096 100.        ]
[ 87.91732788  87.75834656 100.        ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 99.36406708 100.         100.        ]
[ 85.53259277  97.93322754 100.        ]
[ 75.67567444  88.39427948 100.        ]
[ 73.92686462  86.96343231 100.        ]
[ 96.34339905 100.         100.        ]
[ 64.22893524  75.67567444 100.        ]
[ 62.16216278  69.7933197  100.        ]
[ 65.97774506  74.2448349  100.        ]
[ 75.19873047  80.60413361 100.        ]
[ 88.39427948  86.48648834 100.        ]
[ 94.75357819  91.25595856 100.        ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 85.53259277  97.93322754 100.        ]
[ 78.37837982  91.41494751 100.        ]
[ 74.08585358  85.53259277 100.        ]
[ 91.89189148 100.         100.        ]
[ 64.54689789  75.83465576 100.        ]
[ 65.50079346  75.83465576 100.        ]
[ 64.86486816  73.13195801 100.        ]
[ 74.88076019  81.39904785 100.        ]
[ 89.1891861  92.5278244 100.       ]
[ 88.39427948  86.48648834 100.        ]
[100.          99.36406708 100.        ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 97.29729462 100.         100.        ]
[ 87.91732788  99.68203735 100.        ]
[ 80.92209625  90.14308167 100.        ]
[ 80.92209625  89.82511902 100.        ]
[ 69.63433838  82.98886871 100.        ]
[ 72.01908112  89.03020477 100.        ]
[ 64.22893524  74.72177887 100.        ]
[ 68.20349884  75.83465576 100.        ]
[ 83.62480164  89.34817505 100.        ]
[ 86.64546967  88.5532608  100.        ]
[ 96.0254364   93.95866394 100.        ]
[100.          98.72814178 100.        ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 99.20508575 100.         100.        ]
[ 90.14308167 100.         100.        ]
[ 77.58346558  93.00476837 100.        ]
[ 83.14785004  94.27662659 100.        ]
[ 69.95230865  84.89665985 100.        ]
[ 64.38791656  75.67567444 100.        ]
[ 65.34181213  75.99363708 100.        ]
[ 63.59300613  73.92686462 100.        ]
[ 65.02384949  73.44992065 100.        ]
[ 65.02384949  73.44992065 100.        ]
[ 73.92686462  80.60413361 100.        ]
[ 77.58346558  83.94276428 100.        ]
[ 89.1891861  92.5278244 100.       ]
[ 95.23052216  95.23052216 100.        ]
[ 95.70747375  90.46105194 100.        ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 96.82035065  95.86645508 100.        ]
[ 85.21463013  87.44038391 100.        ]
[ 67.09062195  79.01430511 100.        ]
[ 75.03974915  86.64546967 100.        ]
[ 79.80921936  90.14308167 100.        ]
[ 81.7170105   90.77901459 100.        ]
[ 80.76311493  91.41494751 100.        ]
[ 64.54689789  75.83465576 100.        ]
[ 71.06518555  79.65023804 100.        ]
