<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001C99B496490>
[-13.62153244 -14.30669022 -16.55791092]
[-14.2088089  -14.89396286 -16.3621521 ]
[-15.87275696 -13.62153244 -17.14518738]
[-13.1321373  -11.95758438 -11.27243042]
[-12.54486084 -13.62153244 -11.76182556]
[-15.77487946 -16.16639328 -20.4730835 ]
[-13.52365494 -15.08972168 -18.4176178 ]
[-14.2088089  -15.2854805  -18.02610016]
[-14.60032654 -13.91517258 -17.53670502]
[-15.48123932 -13.91517258 -17.3409462 ]
[-15.87275696 -13.62153244 -17.14518738]
[-13.81729126 -13.2300148  -13.32789612]
[-14.01305008 -14.30669022 -14.50244522]
[-13.81729126 -13.2300148  -13.32789612]
[-13.52365494 -14.1109314  -14.79608536]
[-14.01305008 -14.30669022 -14.50244522]
[-13.81729126 -13.2300148  -13.32789612]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-13.81729126 -13.2300148  -13.32789612]
[-14.01305008 -14.30669022 -14.50244522]
[-13.81729126 -13.2300148  -13.32789612]
[-14.01305008 -14.30669022 -14.50244522]
[-13.81729126 -13.2300148  -13.32789612]
[-14.01305008 -14.30669022 -14.50244522]
[-13.81729126 -13.2300148  -13.32789612]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-13.81729126 -13.2300148  -13.32789612]
[-14.01305008 -14.30669022 -14.50244522]
[-13.81729126 -13.2300148  -13.32789612]
[-14.01305008 -14.30669022 -14.50244522]
[-13.81729126 -13.2300148  -13.32789612]
[-14.01305008 -14.30669022 -14.50244522]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-13.81729126 -13.2300148  -13.32789612]
[-14.01305008 -14.30669022 -14.50244522]
[-13.81729126 -13.2300148  -13.32789612]
[-14.01305008 -14.30669022 -14.50244522]
[-13.81729126 -13.2300148  -13.32789612]
[-14.01305008 -14.30669022 -14.50244522]
[-14.89396286 -14.60032654 -16.06851578]
[-15.48123932 -15.57912064 -17.4388237 ]
[-14.89396286 -14.60032654 -16.06851578]
