<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001C99B495AF0>
[-16.3621521  -18.61337662 -16.55791092]
[-15.67699814 -19.10277176 -17.63458252]
[-15.57912064 -20.37520218 -17.83034134]
[-10.         -14.50244522 -12.25122452]
[-10.         -12.74061966 -13.52365494]
[-10.         -12.74061966 -13.52365494]
[-10.         -10.78303528 -14.99184418]
[-10.         -10.29363632 -12.34910202]
[-12.1533432  -14.40456772 -14.79608536]
[-12.74061966 -13.91517258 -13.03425598]
[-11.17455292 -14.1109314  -12.34910202]
[-10.         -11.85970688 -10.19575882]
[-12.74061966 -16.65579224 -12.93637848]
[-12.74061966 -16.65579224 -12.93637848]
[-13.42577362 -17.92822266 -15.77487946]
[-10.9787941  -11.66394806 -12.74061966]
[-10.         -12.0554657  -13.52365494]
[-10.         -12.0554657  -13.52365494]
[-10.         -10.         -13.42577362]
[-10.         -12.1533432  -14.79608536]
[-10.         -11.85970688 -11.85970688]
[-14.1109314  -16.75366974 -17.83034134]
[-15.187603  -17.4388237 -16.3621521]
[-16.06851578 -19.10277176 -16.85155106]
[-13.2300148 -17.4388237 -13.1321373]
[-14.2088089  -18.80913544 -14.50244522]
[-13.2300148  -19.00489426 -15.67699814]
[-13.52365494 -16.85155106 -14.50244522]
[-10.68515396 -12.93637848 -12.34910202]
[-10.68515396 -12.93637848 -12.34910202]
[-10.68515396 -12.93637848 -12.34910202]
[-10.19575882 -13.71941376 -13.42577362]
[-10.         -12.64274216 -13.62153244]
[-10.         -10.88091278 -11.76182556]
[-14.50244522 -17.73246384 -17.63458252]
[-14.50244522 -17.73246384 -17.63458252]
[-14.50244522 -17.73246384 -17.63458252]
[-11.76182556 -17.04730988 -14.30669022]
[-13.91517258 -20.08156586 -15.77487946]
[-14.1109314  -17.92822266 -14.50244522]
[-10.68515396 -12.93637848 -12.34910202]
[-10.68515396 -12.93637848 -12.34910202]
[-10.0978775  -10.88091278 -12.25122452]
[-10.         -10.         -12.34910202]
[-12.0554657  -13.81729126 -14.40456772]
[-11.95758438 -16.2642746  -15.67699814]
[-10.68515396 -14.40456772 -14.01305008]
[-15.187603   -19.3964119  -17.83034134]
[-15.187603   -19.3964119  -17.83034134]
[-15.187603   -19.3964119  -17.83034134]
[-10.         -13.62153244 -11.85970688]
[-10.68515396 -15.48123932 -13.52365494]
[-10.68515396 -15.48123932 -13.52365494]
