<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001C99B495AF0>
[-13.42577362 -14.60032654 -16.46003342]
[-13.32789612 -14.69820404 -15.87275696]
[-13.03425598 -15.67699814 -14.1109314 ]
[-10. -10. -10.]
[-10.         -12.44698334 -10.9787941 ]
[-10.         -12.44698334 -10.9787941 ]
[-10.39151764 -13.52365494 -13.1321373 ]
[-10.        -10.9787941 -10.       ]
[-11.56606674 -14.99184418 -10.29363632]
[-13.32789612 -16.85155106 -14.2088089 ]
[-11.56606674 -15.187603   -12.25122452]
[-13.81729126 -13.62153244 -14.1109314 ]
[-13.32789612 -14.2088089  -15.2854805 ]
[-12.64274216 -10.39151764 -13.03425598]
[-14.50244522 -14.50244522 -13.81729126]
[-10.78303528 -13.71941376 -13.03425598]
[-12.0554657  -14.50244522 -14.99184418]
[-10.         -10.9787941  -11.56606674]
[-10.         -10.78303528 -11.27243042]
[-10.         -10.78303528 -11.27243042]
[-10.29363632 -13.32789612 -12.83850098]
[-13.52365494 -16.85155106 -15.2854805 ]
[-13.32789612 -15.87275696 -15.187603  ]
[-13.32789612 -15.87275696 -15.187603  ]
[-10.         -12.25122452 -10.        ]
[-12.34910202 -14.30669022 -11.95758438]
[-12.74061966 -14.1109314  -11.0766716 ]
[-14.01305008 -16.2642746  -14.40456772]
[-13.2300148  -15.38336182 -14.30669022]
[-13.91517258 -14.50244522 -15.187603  ]
[-14.69820404 -13.91517258 -15.87275696]
[-11.66394806 -12.1533432  -14.01305008]
[-12.93637848 -13.2300148  -15.77487946]
[-12.0554657  -14.50244522 -14.99184418]
[-11.66394806 -14.30669022 -12.1533432 ]
[-10.         -10.78303528 -11.27243042]
[-11.85970688 -13.32789612 -14.1109314 ]
[-10.         -13.62153244 -10.        ]
[-13.2300148  -16.16639328 -12.64274216]
[-10.58727646 -13.81729126 -12.34910202]
[-10.         -11.85970688 -10.        ]
[-10.         -12.74061966 -10.78303528]
[-10.78303528 -10.88091278 -10.0978775 ]
[-12.64274216 -11.66394806 -13.2300148 ]
[-12.1533432  -11.66394806 -10.78303528]
[-12.93637848 -15.2854805  -13.62153244]
[-12.25122452 -12.25122452 -12.54486084]
[-10. -10. -10.]
[-10.         -10.         -12.34910202]
[-12.74061966 -13.03425598 -14.89396286]
[-13.81729126 -13.32789612 -14.99184418]
[-12.64274216 -14.01305008 -14.89396286]
[-10.         -11.85970688 -10.0978775 ]
[-14.2088089  -17.04730988 -15.48123932]
[-12.93637848 -14.89396286 -11.66394806]
[-10.58727646 -13.62153244 -10.48939514]
[-11.56606674 -15.67699814 -13.52365494]
[-10.         -10.88091278 -10.        ]
[-12.74061966 -16.16639328 -14.60032654]
[-10. -10. -10.]
[-15.97063446 -14.99184418 -14.99184418]
[-10.39151764 -10.9787941  -11.27243042]
[-10. -10. -10.]
[-10.78303528 -14.30669022 -10.68515396]
[-12.0554657  -13.81729126 -11.95758438]
[-11.56606674 -14.01305008 -11.76182556]
[-13.1321373  -16.2642746  -11.66394806]
[-10.         -10.48939514 -10.        ]
[-10. -10. -10.]
[-10. -10. -10.]
[-14.79608536 -13.81729126 -16.16639328]
[-16.2642746  -14.40456772 -15.2854805 ]
[-10.58727646 -11.27243042 -11.37031174]
[-10.29363632 -14.01305008 -10.78303528]
[-10.         -13.42577362 -11.0766716 ]
[-10.         -14.79608536 -12.34910202]
[-12.25122452 -18.22185898 -13.03425598]
[-14.30669022 -18.80913544 -13.71941376]
[-12.54486084 -16.65579224 -13.91517258]
[-11.56606674 -11.46818924 -10.        ]
[-10.         -11.56606674 -10.        ]
[-10. -10. -10.]
[-11.85970688 -10.         -11.56606674]
[-12.1533432  -10.         -11.56606674]
[-16.94942856 -15.48123932 -14.40456772]
[-12.83850098 -14.50244522 -14.40456772]
[-11.66394806 -13.81729126 -10.        ]
[-10.9787941  -13.52365494 -10.        ]
[-12.93637848 -17.83034134 -12.83850098]
[-11.85970688 -14.30669022 -11.37031174]
[-10.29363632 -12.25122452 -11.56606674]
[-11.95758438 -15.48123932 -12.83850098]
[-10. -10. -10.]
[-19.59217072 -18.22185898 -19.59217072]
[-17.92822266 -16.65579224 -18.02610016]
[-12.93637848 -13.81729126 -12.44698334]
[-10.48939514 -12.0554657  -10.68515396]
[-10.         -12.83850098 -10.68515396]
[-10.         -10.48939514 -10.        ]
[-11.27243042 -14.89396286 -12.34910202]
[-12.83850098 -17.73246384 -11.85970688]
[-11.95758438 -14.30669022 -10.        ]
[-10.         -10.58727646 -10.        ]
[-10.        -10.0978775 -10.       ]
[-12.1533432  -11.27243042 -10.58727646]
[-11.85970688 -10.78303528 -11.37031174]
[-17.14518738 -17.04730988 -17.63458252]
[-12.64274216 -12.83850098 -13.42577362]
[-11.37031174 -13.71941376 -10.78303528]
[-10.         -12.74061966 -11.0766716 ]
[-10.        -13.2300148 -10.       ]
[-10.         -14.01305008 -11.0766716 ]
[-14.2088089  -19.29853058 -11.46818924]
[-10.         -12.83850098 -10.        ]
[-10.         -11.66394806 -10.39151764]
[-10.         -10.29363632 -10.        ]
[-10.29363632 -10.         -10.        ]
[-13.32789612 -10.0978775  -13.71941376]
[-14.60032654 -13.62153244 -14.99184418]
[-11.56606674 -12.54486084 -10.19575882]
[-10.         -12.83850098 -12.83850098]
[-10.         -12.44698334 -11.17455292]
[-10.         -11.37031174 -10.        ]
[-10.         -14.50244522 -10.        ]
[-13.81729126 -16.55791092 -14.2088089 ]
[-10.0978775  -10.78303528 -10.48939514]
[-10.         -10.58727646 -10.        ]
[-13.71941376 -13.62153244 -11.85970688]
[-15.57912064 -14.99184418 -14.89396286]
[-13.91517258 -13.42577362 -12.34910202]
[-12.0554657  -13.91517258 -10.58727646]
[-11.56606674 -14.1109314  -10.58727646]
[-14.50244522 -16.06851578 -14.69820404]
[-14.30669022 -14.40456772 -11.95758438]
[-14.1109314  -15.77487946 -12.25122452]
[-11.85970688 -14.01305008 -10.78303528]
[-11.85970688 -14.01305008 -10.78303528]
[-11.85970688 -14.60032654 -12.0554657 ]
[-13.52365494 -14.01305008 -14.99184418]
[-15.48123932 -13.42577362 -15.87275696]
[-14.69820404 -14.01305008 -15.2854805 ]
[-10.         -12.34910202 -12.64274216]
[-10.         -12.93637848 -10.88091278]
[-13.1321373  -19.10277176 -14.40456772]
[-14.79608536 -20.66884232 -15.97063446]
[-16.3621521  -20.570961   -15.97063446]
[-10.39151764 -16.16639328 -13.2300148 ]
[-10.         -12.64274216 -10.        ]
[-12.64274216 -17.2430687  -12.25122452]
[-14.99184418 -16.06851578 -14.89396286]
[-13.91517258 -11.0766716  -10.9787941 ]
[-14.69820404 -13.81729126 -12.25122452]
[-14.2088089  -13.91517258 -12.83850098]
[-10.58727646 -10.         -10.88091278]
[-10. -10. -10.]
[-10.         -10.58727646 -11.85970688]
[-10.         -10.         -11.17455292]
[-14.99184418 -13.71941376 -13.91517258]
[-15.48123932 -15.187603   -16.65579224]
[-10.         -12.64274216 -10.        ]
[-15.48123932 -19.00489426 -15.48123932]
[-10.         -16.2642746  -11.66394806]
[-10.         -13.62153244 -10.        ]
[-12.34910202 -14.69820404 -10.        ]
[-10.         -13.62153244 -10.        ]
[-12.1533432  -13.52365494 -10.        ]
[-18.61337662 -17.2430687  -15.08972168]
[-12.64274216 -16.3621521  -12.0554657 ]
[-16.85155106 -17.92822266 -15.87275696]
[-16.06851578 -17.63458252 -13.91517258]
[-15.08972168 -14.60032654 -12.1533432 ]
[-20.4730835  -18.3197403  -16.55791092]
[-20.96247864 -17.92822266 -20.76671982]
[-24.09461594 -21.74551392 -24.19249725]
