<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437E60>
[24.39252281 27.85046768]
[28.22430038 26.16822433]
[26.63551331 33.17757034]
[32.61682129 26.82242966]
[26.63551331 33.17757034]
[32.61682129 26.82242966]
[26.63551331 33.17757034]
[32.61682129 26.82242966]
[26.63551331 33.17757034]
[32.61682129 26.82242966]
[29.81308365 32.80373764]
[32.61682129 26.82242966]
[29.81308365 32.80373764]
[31.77569962 25.32710266]
[29.81308365 32.80373764]
[31.77569962 25.32710266]
[32.33644867 28.504673  ]
[23.55140114 33.08411407]
[29.81308365 32.80373764]
[32.61682129 26.82242966]
[29.81308365 32.80373764]
[31.77569962 25.32710266]
[29.81308365 32.80373764]
[31.77569962 25.32710266]
[32.33644867 28.504673  ]
[23.55140114 33.08411407]
[26.63551331 33.17757034]
[32.61682129 26.82242966]
[29.81308365 32.80373764]
[31.77569962 25.32710266]
[29.81308365 32.80373764]
[31.77569962 25.32710266]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[34.29906464 29.6261673 ]
[23.92523384 33.64485931]
[32.14953232 33.83177567]
[32.99065399 26.82242966]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[34.29906464 29.6261673 ]
[23.92523384 33.64485931]
[32.14953232 33.83177567]
[32.99065399 26.82242966]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[34.29906464 29.6261673 ]
[23.92523384 33.64485931]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[34.29906464 29.6261673 ]
[23.92523384 33.64485931]
[32.14953232 33.83177567]
[32.99065399 26.82242966]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[34.29906464 29.6261673 ]
[24.01869202 34.01869202]
[27.66355133 33.92523193]
[32.99065399 26.82242966]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[34.29906464 29.6261673 ]
[23.92523384 33.64485931]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
[34.29906464 29.6261673 ]
[23.92523384 33.64485931]
[32.14953232 33.83177567]
[33.17757034 25.51401901]
