<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437ED0>
[23.83177567 26.07476616]
[27.28971863 22.80373764]
[26.35514069 32.24298859]
[32.71028137 22.89719582]
[26.35514069 32.24298859]
[32.71028137 22.89719582]
[26.35514069 32.24298859]
[32.71028137 22.89719582]
[26.35514069 32.24298859]
[32.71028137 22.89719582]
[29.34579468 32.14953232]
[32.71028137 22.89719582]
[29.34579468 32.14953232]
[32.33644867 22.14953232]
[29.34579468 32.14953232]
[32.33644867 22.14953232]
[32.42990875 25.60747719]
[22.6168232  31.96261597]
[29.34579468 32.14953232]
[32.71028137 22.89719582]
[29.34579468 32.14953232]
[32.33644867 22.14953232]
[29.34579468 32.14953232]
[32.33644867 22.14953232]
[32.42990875 25.60747719]
[22.6168232  31.96261597]
[26.35514069 32.24298859]
[32.71028137 22.89719582]
[29.34579468 32.14953232]
[32.33644867 22.14953232]
[29.34579468 32.14953232]
[32.33644867 22.14953232]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[29.06542015 32.61682129]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[29.06542015 32.61682129]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[29.06542015 32.61682129]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[22.33644867 33.83177567]
[25.14018631 33.17757034]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[34.01869202 27.00934601]
[22.33644867 33.83177567]
[27.00934601 33.45794296]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[34.01869202 27.00934601]
[22.33644867 33.83177567]
[25.14018631 33.17757034]
[32.89719391 22.80373764]
[25.14018631 33.17757034]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[22.33644867 33.83177567]
[29.06542015 32.61682129]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[34.01869202 27.00934601]
[22.33644867 33.83177567]
[27.00934601 33.45794296]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[34.01869202 27.00934601]
[22.33644867 33.83177567]
[27.00934601 33.45794296]
[32.89719391 22.80373764]
[25.14018631 33.17757034]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[22.33644867 33.83177567]
[29.06542015 32.61682129]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[34.01869202 27.00934601]
[22.33644867 33.83177567]
[27.00934601 33.45794296]
[32.89719391 22.80373764]
[25.14018631 33.17757034]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[22.33644867 33.83177567]
[29.06542015 32.61682129]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[29.06542015 32.61682129]
[32.99065399 22.14953232]
[33.7383194  25.42056084]
[23.36448669 34.20560837]
[34.01869202 27.00934601]
[22.33644867 33.83177567]
[27.00934601 33.45794296]
[32.89719391 22.80373764]
[34.01869202 27.00934601]
[22.33644867 33.83177567]
[25.14018631 33.17757034]
[32.89719391 22.80373764]
[25.14018631 33.17757034]
[32.89719391 22.80373764]
[29.06542015 32.61682129]
[32.24298859 22.52336502]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[33.08411407 24.85981369]
[24.01869202 32.24298859]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[33.08411407 24.85981369]
[24.01869202 32.24298859]
[32.05607605 26.63551331]
[22.80373764 32.33644867]
[26.35514069 32.33644867]
[31.495327   22.71028137]
[32.05607605 26.63551331]
[22.80373764 32.33644867]
[26.35514069 32.33644867]
[31.495327   22.71028137]
[24.95326996 32.89719391]
[31.495327   22.71028137]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[33.08411407 24.85981369]
[22.80373764 32.33644867]
[28.78504562 32.14953232]
[31.495327   22.71028137]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[33.08411407 24.85981369]
[24.01869202 32.24298859]
[32.05607605 26.63551331]
[22.80373764 32.33644867]
[26.35514069 32.33644867]
[31.495327   22.71028137]
[24.95326996 32.89719391]
[31.495327   22.71028137]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[33.08411407 24.85981369]
[22.80373764 32.33644867]
[28.78504562 32.14953232]
[31.495327   22.71028137]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[33.08411407 24.85981369]
[24.01869202 32.24298859]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[32.42990875 23.17757034]
[24.01869202 32.24298859]
[32.05607605 26.63551331]
[22.80373764 32.33644867]
[26.35514069 32.33644867]
[31.495327   22.71028137]
[32.05607605 26.63551331]
[22.80373764 32.33644867]
[26.35514069 32.33644867]
[31.495327   22.71028137]
[24.95326996 32.89719391]
[31.495327   22.71028137]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[33.08411407 24.85981369]
[24.01869202 32.24298859]
[32.05607605 26.63551331]
[22.80373764 32.33644867]
[26.35514069 32.33644867]
[31.495327   22.71028137]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[33.08411407 24.85981369]
[24.01869202 32.24298859]
[32.05607605 26.63551331]
[22.80373764 32.33644867]
[26.35514069 32.33644867]
[31.495327   22.71028137]
[28.78504562 32.14953232]
[31.495327   22.71028137]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[33.08411407 24.85981369]
[24.01869202 32.24298859]
[32.05607605 26.63551331]
[22.80373764 32.33644867]
[26.35514069 32.33644867]
[31.495327   22.71028137]
[24.95326996 32.89719391]
[31.495327   22.71028137]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[28.78504562 32.14953232]
[32.24298859 22.52336502]
[33.08411407 24.85981369]
[24.01869202 32.24298859]
[32.05607605 26.63551331]
[22.80373764 32.33644867]
