<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437ED0>
[24.67289734 28.504673  ]
[26.54205704 22.99065399]
[26.26168251 32.52336502]
[32.05607605 23.08411217]
[26.26168251 32.52336502]
[32.05607605 23.08411217]
[26.26168251 32.52336502]
[32.05607605 23.08411217]
[26.26168251 32.52336502]
[32.05607605 23.08411217]
[28.78504562 32.14953232]
[32.05607605 23.08411217]
[28.78504562 32.14953232]
[31.8691597  22.52336502]
[28.78504562 32.14953232]
[31.8691597  22.52336502]
[31.21495438 26.44859695]
[22.24299049 31.30841064]
[28.78504562 32.14953232]
[32.05607605 23.08411217]
[28.78504562 32.14953232]
[31.8691597  22.52336502]
[28.78504562 32.14953232]
[31.8691597  22.52336502]
[31.21495438 26.44859695]
[22.24299049 31.30841064]
[26.26168251 32.52336502]
[32.05607605 23.08411217]
[28.78504562 32.14953232]
[31.8691597  22.52336502]
[28.78504562 32.14953232]
[31.8691597  22.52336502]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.80373764 32.33644867]
[30.3738327  33.83177567]
[33.36448669 23.27102852]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.80373764 32.33644867]
[30.3738327  33.83177567]
[33.36448669 23.27102852]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.80373764 32.33644867]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.80373764 32.33644867]
[30.3738327  33.83177567]
[33.36448669 23.27102852]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.24299049 32.33644867]
[26.26168251 34.11214828]
[33.36448669 23.27102852]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.80373764 32.33644867]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.80373764 32.33644867]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.80373764 32.33644867]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.80373764 32.33644867]
[32.24298859 28.78504562]
[22.24299049 32.33644867]
[26.82242966 33.83177567]
[33.36448669 23.27102852]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.80373764 32.33644867]
[32.24298859 28.78504562]
[22.24299049 32.33644867]
[26.26168251 34.11214828]
[33.36448669 23.27102852]
[26.26168251 34.11214828]
[33.36448669 23.27102852]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.24299049 32.33644867]
[30.3738327  33.83177567]
[33.36448669 23.27102852]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.80373764 32.33644867]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[30.3738327  33.83177567]
[32.33644867 22.71028137]
[32.71028137 26.63551331]
[22.80373764 32.33644867]
[32.24298859 28.78504562]
[22.24299049 32.33644867]
[26.82242966 33.83177567]
[33.36448669 23.27102852]
[30.3738327  33.83177567]
[33.36448669 23.27102852]
[30.3738327  33.83177567]
