<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437D10>
[31.8691597  35.23364258]
[34.29906464 34.11214828]
[32.33644867 33.45794296]
[33.17757034 33.17757034]
[32.33644867 33.45794296]
[33.17757034 33.17757034]
[32.33644867 33.45794296]
[33.17757034 33.17757034]
[32.33644867 33.45794296]
[33.17757034 33.17757034]
[31.495327   32.05607605]
[33.17757034 33.17757034]
[31.495327   32.05607605]
[32.89719391 32.05607605]
[31.495327   32.05607605]
[32.89719391 32.05607605]
[32.52336502 31.8691597 ]
[31.495327   31.21495438]
[30.84112167 30.3738327 ]
[30.56074905 30.46728897]
[28.41121483 27.38317871]
[28.41121483 27.38317871]
[25.51401901 24.39252281]
[25.51401901 24.39252281]
