<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437ED0>
[24.48598099 29.2523365 ]
[28.1308403  26.16822433]
[26.63551331 33.27102661]
[33.17757034 26.82242966]
[26.63551331 33.27102661]
[33.17757034 26.82242966]
[26.63551331 33.27102661]
[33.17757034 26.82242966]
[26.63551331 33.27102661]
[33.17757034 26.82242966]
[30.3738327  32.71028137]
[33.17757034 26.82242966]
[30.3738327  32.71028137]
[32.89719391 25.32710266]
[30.3738327  32.71028137]
[32.89719391 25.32710266]
[32.42990875 28.1308403 ]
[23.08411217 32.42990875]
[30.3738327  32.71028137]
[33.17757034 26.82242966]
[30.3738327  32.71028137]
[32.89719391 25.32710266]
[30.3738327  32.71028137]
[32.89719391 25.32710266]
[32.42990875 28.1308403 ]
[23.08411217 32.42990875]
[26.63551331 33.27102661]
[33.17757034 26.82242966]
[30.3738327  32.71028137]
[32.89719391 25.32710266]
[30.3738327  32.71028137]
[32.89719391 25.32710266]
[32.33644867 33.7383194 ]
[34.39252472 25.42056084]
[34.11214828 27.75700951]
[23.08411217 33.45794296]
[32.33644867 33.7383194 ]
[34.48598099 27.10280418]
[32.33644867 33.7383194 ]
[34.39252472 25.42056084]
[32.33644867 33.7383194 ]
[34.39252472 25.42056084]
[34.11214828 27.75700951]
[23.08411217 33.45794296]
[32.33644867 33.7383194 ]
[34.48598099 27.10280418]
[32.33644867 33.7383194 ]
[34.39252472 25.42056084]
[32.33644867 33.7383194 ]
[34.39252472 25.42056084]
[34.11214828 27.75700951]
[23.08411217 33.45794296]
[32.33644867 33.7383194 ]
[34.39252472 25.42056084]
[32.33644867 33.7383194 ]
[34.39252472 25.42056084]
[34.11214828 27.75700951]
[23.08411217 33.45794296]
[32.33644867 33.7383194 ]
[34.48598099 27.10280418]
[32.33644867 33.7383194 ]
[34.39252472 25.42056084]
[34.11214828 27.75700951]
[23.55140114 33.7383194 ]
[27.19626236 34.29906464]
[34.48598099 27.10280418]
[32.33644867 33.7383194 ]
[34.39252472 25.42056084]
[32.33644867 33.7383194 ]
