<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437ED0>
[24.95326996 28.1308403 ]
[28.504673   25.60747719]
[27.00934601 32.71028137]
[33.92523193 25.98130798]
[27.00934601 32.71028137]
[33.92523193 25.98130798]
[27.00934601 32.71028137]
[33.92523193 25.98130798]
[27.00934601 32.71028137]
[33.92523193 25.98130798]
[29.90654182 33.08411407]
[33.92523193 25.98130798]
[29.90654182 33.08411407]
[32.89719391 25.51401901]
[29.90654182 33.08411407]
[32.89719391 25.51401901]
[31.8691597  28.69158936]
[24.20560837 34.11214828]
[29.90654182 33.08411407]
[33.92523193 25.98130798]
[29.90654182 33.08411407]
[32.89719391 25.51401901]
[29.90654182 33.08411407]
[32.89719391 25.51401901]
[31.8691597  28.69158936]
[24.20560837 34.11214828]
[27.00934601 32.71028137]
[33.92523193 25.98130798]
[29.90654182 33.08411407]
[32.89719391 25.51401901]
[29.90654182 33.08411407]
[32.89719391 25.51401901]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[31.8691597  32.71028137]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[31.8691597  32.71028137]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[31.8691597  32.71028137]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.20560837 34.85981369]
[28.41121483 32.80373764]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[33.45794296 30.3738327 ]
[24.20560837 34.85981369]
[28.69158936 32.99065399]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[33.45794296 30.3738327 ]
[24.20560837 34.85981369]
[28.41121483 32.80373764]
[34.57943726 26.44859695]
[28.41121483 32.80373764]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.20560837 34.85981369]
[31.8691597  32.71028137]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[33.45794296 30.3738327 ]
[24.20560837 34.85981369]
[28.69158936 32.99065399]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[33.45794296 30.3738327 ]
[24.20560837 34.85981369]
[28.69158936 32.99065399]
[34.57943726 26.44859695]
[28.41121483 32.80373764]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.20560837 34.85981369]
[31.8691597  32.71028137]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[33.45794296 30.3738327 ]
[24.20560837 34.85981369]
[28.69158936 32.99065399]
[34.57943726 26.44859695]
[28.41121483 32.80373764]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.20560837 34.85981369]
[31.8691597  32.71028137]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[31.8691597  32.71028137]
[33.36448669 25.98130798]
[32.80373764 28.69158936]
[24.11215019 33.45794296]
[33.45794296 30.3738327 ]
[24.20560837 34.85981369]
[28.69158936 32.99065399]
[34.57943726 26.44859695]
[33.45794296 30.3738327 ]
[24.20560837 34.85981369]
[28.41121483 32.80373764]
[34.57943726 26.44859695]
[28.41121483 32.80373764]
[34.57943726 26.44859695]
[31.8691597  32.71028137]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.42056084 33.83177567]
[31.77569962 32.33644867]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.42056084 33.83177567]
[31.77569962 32.33644867]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.52336502 26.82242966]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.42056084 33.83177567]
[31.77569962 32.33644867]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.52336502 26.82242966]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.42056084 33.83177567]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.52336502 26.82242966]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.42056084 33.83177567]
[31.77569962 32.33644867]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[31.77569962 32.33644867]
[33.17757034 26.07476616]
[32.99065399 28.22430038]
[25.14018631 32.52336502]
[32.80373764 30.56074905]
[25.42056084 33.83177567]
[28.41121483 32.61682129]
[33.83177567 26.26168251]
[28.03738403 32.24298859]
[33.83177567 26.26168251]
[31.77569962 32.33644867]
