<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437D10>
[33.92523193 34.76635742]
[34.20560837 32.61682129]
[33.36448669 35.14018631]
[33.27102661 32.89719391]
[33.36448669 35.14018631]
[33.27102661 32.89719391]
[33.36448669 35.14018631]
[33.27102661 32.89719391]
[33.36448669 35.14018631]
[33.27102661 32.89719391]
[32.52336502 34.29906464]
[33.27102661 32.89719391]
[32.52336502 34.29906464]
[33.27102661 32.33644867]
[32.52336502 34.29906464]
[33.27102661 32.33644867]
[32.61682129 34.48598099]
[33.27102661 32.33644867]
[32.61682129 34.48598099]
[34.57943726 31.96261597]
[32.61682129 34.48598099]
[34.57943726 31.96261597]
[32.61682129 34.48598099]
[34.57943726 31.96261597]
[32.61682129 34.48598099]
[32.24298859 28.78504562]
[31.68224335 31.68224335]
[29.71962738 31.96261597]
[32.05607605 30.7476635 ]
[29.71962738 31.96261597]
[33.27102661 33.55140305]
[34.57943726 31.96261597]
[32.05607605 30.7476635 ]
[29.71962738 31.96261597]
[32.05607605 30.7476635 ]
[29.71962738 31.96261597]
[32.52336502 33.17757034]
[33.83177567 30.84112167]
[32.05607605 30.7476635 ]
[29.71962738 31.96261597]
[30.3738327  31.30841064]
[30.93457985 28.03738403]
[30.3738327  31.30841064]
[30.93457985 28.03738403]
[32.05607605 30.7476635 ]
[29.71962738 31.96261597]
[30.3738327  31.30841064]
[30.93457985 28.03738403]
[32.05607605 30.7476635 ]
[29.71962738 31.96261597]
[32.05607605 30.7476635 ]
[30.65420532 31.68224335]
[30.3738327  31.30841064]
[30.93457985 28.03738403]
[32.05607605 30.7476635 ]
[30.65420532 31.68224335]
[30.3738327  31.30841064]
[30.93457985 28.03738403]
[32.05607605 30.7476635 ]
[30.65420532 31.68224335]
[30.3738327  31.30841064]
[30.93457985 28.03738403]
[32.05607605 30.7476635 ]
[30.65420532 31.68224335]
[31.8691597  30.09345818]
[30.65420532 31.68224335]
[30.46728897 30.09345818]
[29.6261673  31.40186882]
[30.18691635 31.495327  ]
[30.93457985 28.03738403]
[30.46728897 30.09345818]
[30.65420532 31.68224335]
[30.46728897 30.09345818]
[29.6261673  31.40186882]
[30.18691635 31.495327  ]
[30.93457985 29.2523365 ]
[30.46728897 30.09345818]
[29.6261673  31.40186882]
[30.46728897 30.09345818]
[29.6261673  31.40186882]
[30.18691635 31.495327  ]
[30.93457985 29.2523365 ]
[30.46728897 30.09345818]
[29.6261673  31.40186882]
[30.46728897 30.09345818]
[29.6261673  31.40186882]
[30.18691635 31.495327  ]
[30.93457985 29.2523365 ]
[30.46728897 30.09345818]
[29.6261673  31.40186882]
[30.46728897 30.09345818]
[29.6261673  31.40186882]
[30.18691635 31.495327  ]
[30.93457985 29.2523365 ]
[30.3738327  31.30841064]
[30.93457985 28.03738403]
[32.05607605 30.7476635 ]
[30.65420532 31.68224335]
[30.46728897 30.09345818]
[29.6261673  31.40186882]
[30.46728897 30.09345818]
[29.6261673  31.40186882]
