<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437ED0>
[24.39252281 28.1308403 ]
[26.91588783 23.55140114]
[27.57009315 32.33644867]
[32.99065399 23.83177567]
[27.57009315 32.33644867]
[32.99065399 23.83177567]
[27.57009315 32.33644867]
[32.99065399 23.83177567]
[27.57009315 32.33644867]
[32.99065399 23.83177567]
[31.21495438 31.8691597 ]
[32.99065399 23.83177567]
[31.21495438 31.8691597 ]
[32.89719391 22.33644867]
[31.21495438 31.8691597 ]
[32.89719391 22.33644867]
[32.42990875 25.98130798]
[23.27102852 31.8691597 ]
[31.21495438 31.8691597 ]
[32.99065399 23.83177567]
[31.21495438 31.8691597 ]
[32.89719391 22.33644867]
[31.21495438 31.8691597 ]
[32.89719391 22.33644867]
[32.42990875 25.98130798]
[23.27102852 31.8691597 ]
[27.57009315 32.33644867]
[32.99065399 23.83177567]
[31.21495438 31.8691597 ]
[32.89719391 22.33644867]
[31.21495438 31.8691597 ]
[32.89719391 22.33644867]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[30.3738327 31.8691597]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[30.3738327 31.8691597]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[30.3738327 31.8691597]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[22.99065399 31.58878517]
[27.47663498 31.30841064]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[31.96261597 27.85046768]
[22.99065399 31.58878517]
[28.504673   31.21495438]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[31.96261597 27.85046768]
[22.99065399 31.58878517]
[27.47663498 31.30841064]
[32.61682129 22.89719582]
[27.47663498 31.30841064]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[22.99065399 31.58878517]
[30.3738327 31.8691597]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[31.96261597 27.85046768]
[22.99065399 31.58878517]
[28.504673   31.21495438]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[31.96261597 27.85046768]
[22.99065399 31.58878517]
[28.504673   31.21495438]
[32.61682129 22.89719582]
[27.47663498 31.30841064]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[22.99065399 31.58878517]
[30.3738327 31.8691597]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[31.96261597 27.85046768]
[22.99065399 31.58878517]
[28.504673   31.21495438]
[32.61682129 22.89719582]
[27.47663498 31.30841064]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[22.99065399 31.58878517]
[30.3738327 31.8691597]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[30.3738327 31.8691597]
[32.89719391 21.8691597 ]
[32.42990875 25.42056084]
[23.45794296 31.68224335]
[31.96261597 27.85046768]
[22.99065399 31.58878517]
[28.504673   31.21495438]
[32.61682129 22.89719582]
[31.96261597 27.85046768]
[22.99065399 31.58878517]
[27.47663498 31.30841064]
[32.61682129 22.89719582]
[27.47663498 31.30841064]
[32.61682129 22.89719582]
[30.3738327 31.8691597]
[32.33644867 22.24299049]
[30.18691635 30.93457985]
[32.33644867 22.24299049]
[32.24298859 25.32710266]
[23.27102852 31.02803802]
[30.18691635 30.93457985]
[32.33644867 22.24299049]
[30.18691635 30.93457985]
[32.33644867 22.24299049]
[32.24298859 25.32710266]
[23.27102852 31.02803802]
[30.65420532 27.28971863]
[22.99065399 30.84112167]
[27.00934601 31.12149429]
[31.96261597 23.17757034]
[30.65420532 27.28971863]
[22.99065399 30.84112167]
[27.00934601 31.12149429]
[31.96261597 23.17757034]
[27.19626236 31.12149429]
[31.96261597 23.17757034]
[30.18691635 30.93457985]
[32.33644867 22.24299049]
[32.24298859 25.32710266]
[22.99065399 30.84112167]
[30.18691635 30.93457985]
[31.96261597 23.17757034]
[30.18691635 30.93457985]
[32.33644867 22.24299049]
[32.24298859 25.32710266]
[23.27102852 31.02803802]
[30.65420532 27.28971863]
[22.99065399 30.84112167]
[27.00934601 31.12149429]
[31.96261597 23.17757034]
[27.19626236 31.12149429]
