<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437D10>
[33.36448669 33.7383194 ]
[33.36448669 32.05607605]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[34.29906464 32.80373764]
[29.6261673  34.20560837]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[34.29906464 32.80373764]
[29.6261673  34.20560837]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[33.27102661 33.45794296]
[32.80373764 31.02803802]
[33.27102661 33.45794296]
[32.80373764 31.68224335]
[31.12149429 31.02803802]
[28.31775665 31.77569962]
[33.17757034 33.27102661]
[31.21495438 30.28037262]
[31.02803802 30.84112167]
[28.1308403  31.21495438]
[31.02803802 30.84112167]
[28.1308403  31.21495438]
[33.17757034 33.27102661]
[33.17757034 32.61682129]
[31.02803802 30.84112167]
[28.1308403  31.21495438]
[33.17757034 33.27102661]
[27.47663498 30.09345818]
[27.38317871 27.85046768]
[28.41121483 27.57009315]
[30.93457985 28.69158936]
[29.81308365 31.21495438]
[30.93457985 28.69158936]
[29.81308365 31.21495438]
[30.93457985 28.69158936]
[29.81308365 31.21495438]
[30.93457985 28.69158936]
[29.81308365 31.21495438]
[30.3738327  29.43925095]
[29.53271103 30.56074905]
[30.3738327  29.43925095]
[29.53271103 30.56074905]
[30.3738327  29.43925095]
[29.53271103 30.56074905]
[30.3738327  29.43925095]
[29.53271103 30.56074905]
[30.3738327  29.43925095]
[29.53271103 30.56074905]
[30.3738327  29.43925095]
[29.53271103 30.56074905]
[27.85046768 29.43925095]
[28.41121483 27.57009315]
[27.10280418 29.15887833]
[28.03738403 27.66355133]
[26.54205704 29.81308365]
[28.03738403 27.66355133]
[26.54205704 29.81308365]
[28.03738403 27.66355133]
[26.54205704 29.81308365]
[28.03738403 27.66355133]
[26.54205704 29.81308365]
[28.03738403 27.66355133]
[26.26168251 29.34579468]
[28.31775665 28.22430038]
[26.26168251 29.34579468]
[28.31775665 28.22430038]
[26.26168251 29.34579468]
[28.31775665 28.22430038]
[26.26168251 29.34579468]
[28.31775665 28.22430038]
[26.26168251 29.34579468]
[28.31775665 28.22430038]
[26.26168251 29.34579468]
[26.44859695 28.03738403]
[27.75700951 27.38317871]
[26.44859695 28.03738403]
[27.75700951 27.38317871]
[26.44859695 28.03738403]
[28.03738403 27.66355133]
[26.26168251 28.87850571]
[28.03738403 27.66355133]
[26.26168251 28.87850571]
[28.03738403 27.66355133]
[26.26168251 28.87850571]
[28.03738403 27.66355133]
[25.32710266 28.03738403]
[28.03738403 27.66355133]
[25.32710266 28.03738403]
[26.54205704 26.72897148]
[26.54205704 26.35514069]
[25.04673004 25.04673004]
[25.60747719 25.88784981]
[25.04673004 25.04673004]
[25.04673004 24.95326996]
[25.98130798 26.44859695]
[25.32710266 28.03738403]
[26.54205704 26.72897148]
[26.54205704 26.35514069]
[24.39252281 24.76635551]
[25.32710266 25.04673004]
[24.39252281 24.76635551]
[24.20560837 24.01869202]
[23.73831749 23.73831749]
[25.14018631 24.20560837]
[25.14018631 24.85981369]
[26.35514069 26.35514069]
[28.69158936 28.03738403]
[28.69158936 29.06542015]
[27.47663498 29.90654182]
[26.44859695 29.34579468]
[25.23364449 28.1308403 ]
[24.76635551 27.85046768]
[25.88784981 27.57009315]
[27.75700951 27.38317871]
[28.03738403 27.66355133]
[25.88784981 28.31775665]
[28.31775665 28.22430038]
[25.88784981 28.31775665]
[28.31775665 28.22430038]
[25.88784981 28.31775665]
[28.31775665 28.22430038]
[25.88784981 28.31775665]
[25.32710266 26.07476616]
[25.51401901 25.60747719]
[25.51401901 25.60747719]
[25.51401901 25.60747719]
[25.51401901 25.60747719]
[23.92523384 24.11215019]
[22.89719582 23.17757034]
[22.89719582 23.17757034]
[23.08411217 22.05607414]
[23.08411217 22.05607414]
