<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437D10>
[31.495327   32.89719391]
[32.71028137 32.61682129]
[31.77569962 32.61682129]
[33.17757034 32.42990875]
[31.77569962 32.61682129]
[33.17757034 32.42990875]
[31.77569962 32.61682129]
[33.17757034 32.42990875]
[31.77569962 32.61682129]
[33.17757034 32.42990875]
[31.96261597 33.7383194 ]
[33.17757034 32.42990875]
[31.96261597 33.7383194 ]
[32.61682129 33.17757034]
[30.93457985 28.1308403 ]
[33.17757034 32.52336502]
[32.99065399 34.48598099]
[33.17757034 32.52336502]
[32.99065399 34.48598099]
[33.17757034 32.52336502]
[31.8691597  33.55140305]
[32.61682129 31.8691597 ]
[30.7476635  32.05607605]
[29.34579468 30.09345818]
[27.75700951 26.72897148]
[28.03738403 28.69158936]
[27.75700951 26.72897148]
[28.03738403 28.69158936]
[26.16822433 25.23364449]
[26.35514069 26.91588783]
[26.16822433 25.23364449]
[26.35514069 26.91588783]
[26.16822433 25.23364449]
[26.35514069 26.91588783]
[26.16822433 25.23364449]
[26.35514069 26.91588783]
[26.16822433 25.23364449]
[26.35514069 26.91588783]
