<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437ED0>
[22.6168232  24.48598099]
[27.57009315 21.495327  ]
[23.73831749 32.24298859]
[32.80373764 21.68224335]
[23.73831749 32.24298859]
[32.80373764 21.68224335]
[23.73831749 32.24298859]
[32.80373764 21.68224335]
[23.73831749 32.24298859]
[32.80373764 21.68224335]
[26.72897148 31.77569962]
[32.80373764 21.68224335]
[26.72897148 31.77569962]
[31.58878517 21.8691597 ]
[26.72897148 31.77569962]
[31.58878517 21.8691597 ]
[31.21495438 24.76635551]
[22.33644867 31.58878517]
[26.72897148 31.77569962]
[32.80373764 21.68224335]
[26.72897148 31.77569962]
[31.58878517 21.8691597 ]
[26.72897148 31.77569962]
[31.58878517 21.8691597 ]
[31.21495438 24.76635551]
[22.33644867 31.58878517]
[23.73831749 32.24298859]
[32.80373764 21.68224335]
[26.72897148 31.77569962]
[31.58878517 21.8691597 ]
[26.72897148 31.77569962]
[31.58878517 21.8691597 ]
[27.47663498 33.7383194 ]
[32.71028137 21.68224335]
[32.71028137 25.32710266]
[22.14953232 32.52336502]
[27.47663498 33.7383194 ]
[33.17757034 21.58878517]
[27.47663498 33.7383194 ]
[32.71028137 21.68224335]
[27.47663498 33.7383194 ]
[32.71028137 21.68224335]
[32.71028137 25.32710266]
[22.14953232 32.52336502]
[27.47663498 33.7383194 ]
[33.17757034 21.58878517]
[27.47663498 33.7383194 ]
[32.71028137 21.68224335]
[27.47663498 33.7383194 ]
[32.71028137 21.68224335]
[32.71028137 25.32710266]
[22.14953232 32.52336502]
[27.47663498 33.7383194 ]
[32.71028137 21.68224335]
[27.47663498 33.7383194 ]
[32.71028137 21.68224335]
[32.71028137 25.32710266]
[22.14953232 32.52336502]
[27.47663498 33.7383194 ]
[33.17757034 21.58878517]
[27.47663498 33.7383194 ]
[32.71028137 21.68224335]
[32.71028137 25.32710266]
[22.42990685 32.80373764]
[23.73831749 33.55140305]
[33.17757034 21.58878517]
[27.47663498 33.7383194 ]
[32.71028137 21.68224335]
[27.47663498 33.7383194 ]
[32.71028137 21.68224335]
[32.71028137 25.32710266]
[22.14953232 32.52336502]
[27.47663498 33.7383194 ]
[32.71028137 21.68224335]
[27.47663498 33.7383194 ]
