<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437DF0>
[29.6261673  33.08411407]
[32.33644867 34.01869202]
[32.52336502 30.65420532]
[34.85981369 34.01869202]
[34.20560837 34.76635742]
[34.85981369 34.01869202]
[34.76635742 33.27102661]
[29.06542015 35.60747528]
[32.61682129 34.85981369]
[35.42056274 34.95326996]
[34.20560837 34.76635742]
[34.85981369 34.01869202]
[34.20560837 34.76635742]
[34.85981369 34.01869202]
[34.76635742 33.27102661]
[29.71962738 35.88785172]
[34.20560837 34.76635742]
[34.85981369 34.01869202]
[34.20560837 34.76635742]
[34.85981369 34.01869202]
[34.76635742 33.27102661]
[29.06542015 35.60747528]
[34.20560837 34.76635742]
[35.42056274 34.95326996]
[34.20560837 34.76635742]
[34.85981369 34.01869202]
[34.76635742 33.27102661]
[29.06542015 35.60747528]
[32.61682129 34.85981369]
[35.42056274 34.95326996]
[34.20560837 34.76635742]
[34.85981369 34.01869202]
[34.20560837 34.76635742]
[34.85981369 34.01869202]
[33.08411407 30.93457985]
[28.78504562 33.36448669]
[34.20560837 34.76635742]
[34.85981369 34.01869202]
[33.08411407 32.89719391]
[28.1308403  33.55140305]
[32.61682129 34.85981369]
[34.48598099 33.45794296]
[33.08411407 32.89719391]
[28.1308403  33.55140305]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[33.08411407 32.89719391]
[28.1308403  33.55140305]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[33.08411407 32.89719391]
[27.19626236 34.20560837]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[33.08411407 32.89719391]
[27.19626236 34.20560837]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[33.08411407 32.89719391]
[27.19626236 34.20560837]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[31.68224335 33.7383194 ]
[34.48598099 33.45794296]
[30.56074905 33.92523193]
[35.32710266 33.17757034]
[30.56074905 33.92523193]
[35.32710266 33.17757034]
[30.56074905 33.92523193]
[35.32710266 33.17757034]
[30.56074905 33.92523193]
[35.32710266 33.17757034]
[30.56074905 33.92523193]
[35.32710266 33.17757034]
[30.56074905 33.92523193]
[35.32710266 33.17757034]
[30.56074905 33.92523193]
[35.32710266 33.17757034]
[30.56074905 33.92523193]
[35.32710266 33.17757034]
[30.56074905 33.92523193]
[32.80373764 32.61682129]
[30.56074905 33.92523193]
[32.80373764 32.61682129]
[28.97196198 32.89719391]
[32.80373764 32.61682129]
[28.97196198 32.89719391]
[32.80373764 32.61682129]
[28.97196198 32.89719391]
[32.80373764 32.61682129]
[28.97196198 32.89719391]
[32.80373764 32.61682129]
[28.97196198 32.89719391]
[30.93457985 32.61682129]
[31.96261597 30.65420532]
[30.93457985 32.61682129]
[32.33644867 31.58878517]
[30.93457985 32.61682129]
[32.33644867 31.58878517]
[27.38317871 30.84112167]
[29.90654182 29.34579468]
[28.31775665 30.46728897]
[30.28037262 28.69158936]
[28.31775665 30.46728897]
[30.28037262 28.69158936]
[28.31775665 30.46728897]
[30.28037262 28.69158936]
[28.31775665 30.46728897]
[30.28037262 28.69158936]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.41121483 27.94392586]
[27.10280418 28.59813118]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.41121483 27.94392586]
[27.10280418 29.15887833]
[28.31775665 30.46728897]
[30.28037262 28.69158936]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.41121483 27.94392586]
[27.10280418 28.59813118]
[28.59813118 29.81308365]
[30.28037262 28.69158936]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.41121483 27.94392586]
[27.10280418 28.59813118]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.41121483 27.94392586]
[27.10280418 28.59813118]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.41121483 27.94392586]
[27.10280418 28.59813118]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.41121483 27.94392586]
[27.10280418 28.59813118]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.59813118 29.81308365]
[27.94392586 27.57009315]
[28.41121483 27.94392586]
[27.10280418 28.59813118]
[28.41121483 29.34579468]
[27.94392586 27.57009315]
[27.94392586 27.94392586]
[27.10280418 28.59813118]
[28.41121483 29.34579468]
[27.94392586 27.57009315]
[28.41121483 29.34579468]
[27.94392586 27.57009315]
[27.94392586 27.94392586]
[27.10280418 28.59813118]
[28.41121483 29.34579468]
[27.94392586 27.57009315]
[27.94392586 27.94392586]
[27.10280418 28.59813118]
[28.41121483 29.34579468]
[27.94392586 27.57009315]
[28.41121483 29.34579468]
[27.94392586 27.57009315]
[27.94392586 27.94392586]
[27.10280418 28.59813118]
[28.41121483 29.34579468]
[27.75700951 27.38317871]
[27.94392586 27.94392586]
[27.10280418 28.59813118]
[28.41121483 29.34579468]
[27.75700951 27.38317871]
[27.94392586 27.94392586]
[27.10280418 28.59813118]
[28.41121483 29.34579468]
[27.75700951 27.38317871]
[27.94392586 27.94392586]
[27.10280418 28.59813118]
[28.41121483 29.34579468]
[27.75700951 27.38317871]
[27.94392586 27.94392586]
[28.504673   29.15887833]
[28.41121483 29.34579468]
[26.54205704 26.26168251]
[27.94392586 27.94392586]
[28.504673   29.15887833]
[27.94392586 27.94392586]
[28.504673   29.15887833]
[28.78504562 28.87850571]
[27.75700951 27.38317871]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.78504562 28.87850571]
[27.75700951 27.38317871]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.78504562 28.87850571]
[27.75700951 27.38317871]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.78504562 28.87850571]
[27.75700951 27.38317871]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.78504562 28.87850571]
[26.54205704 26.26168251]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.504673   29.15887833]
[28.22430038 27.38317871]
[28.31775665 28.87850571]
[26.91588783 27.57009315]
[26.54205704 26.26168251]
[26.91588783 27.57009315]
[25.14018631 25.32710266]
[24.11215019 24.20560837]
[24.11215019 24.20560837]
[23.64485931 22.80373764]
[23.64485931 22.80373764]
[23.64485931 22.80373764]
[24.57943916 23.92523384]
[25.04673004 24.76635551]
[26.07476616 24.85981369]
[25.88784981 24.85981369]
[25.04673004 24.29906464]
[25.04673004 24.29906464]
[24.29906464 23.45794296]
[24.29906464 23.45794296]
[24.29906464 23.45794296]
[24.29906464 23.45794296]
[24.48598099 23.73831749]
[24.48598099 24.57943916]
[23.17757034 25.14018631]
[22.14953232 23.73831749]
[22.14953232 23.73831749]
[22.14953232 23.73831749]
[22.14953232 23.73831749]
[22.42990685 24.57943916]
[22.42990685 24.57943916]
[23.83177567 26.54205704]
[24.67289734 26.82242966]
[24.39252281 26.72897148]
[25.60747719 26.54205704]
[24.67289734 25.60747719]
[24.67289734 25.60747719]
[24.67289734 25.60747719]
[24.67289734 25.60747719]
[24.67289734 25.60747719]
[24.67289734 25.60747719]
[27.47663498 27.19626236]
[25.32710266 24.85981369]
[24.11215019 24.20560837]
[23.64485931 22.80373764]
[23.64485931 22.80373764]
[23.64485931 22.80373764]
