<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437DF0>
[28.504673   32.99065399]
[32.05607605 31.96261597]
[30.93457985 34.39252472]
[33.27102661 31.96261597]
[30.93457985 34.39252472]
[33.27102661 31.96261597]
[30.93457985 34.39252472]
[33.27102661 31.96261597]
[30.93457985 34.39252472]
[33.27102661 31.96261597]
[33.36448669 34.29906464]
[33.27102661 31.96261597]
[33.36448669 34.29906464]
[33.17757034 30.84112167]
[33.36448669 34.29906464]
[33.17757034 30.84112167]
[32.89719391 32.14953232]
[28.97196198 34.11214828]
[33.36448669 34.29906464]
[33.27102661 31.96261597]
[33.36448669 34.29906464]
[33.17757034 30.84112167]
[33.36448669 34.29906464]
[33.17757034 30.84112167]
[32.89719391 32.14953232]
[28.97196198 34.11214828]
[30.93457985 34.39252472]
[33.27102661 31.96261597]
[33.36448669 34.29906464]
[33.17757034 30.84112167]
[33.36448669 34.29906464]
[33.17757034 30.84112167]
[32.99065399 32.71028137]
[28.31775665 33.27102661]
[31.30841064 32.80373764]
[32.99065399 31.02803802]
[32.99065399 32.71028137]
[27.00934601 33.36448669]
[31.30841064 32.80373764]
[32.99065399 31.02803802]
[31.30841064 32.80373764]
[32.99065399 31.02803802]
[31.30841064 32.80373764]
[32.99065399 31.02803802]
[31.30841064 32.80373764]
[32.99065399 31.02803802]
[32.99065399 32.71028137]
[27.00934601 33.36448669]
[31.30841064 32.80373764]
[32.99065399 31.02803802]
[31.30841064 32.80373764]
[32.99065399 31.02803802]
[31.30841064 32.80373764]
[32.99065399 31.02803802]
[31.30841064 32.80373764]
[32.99065399 31.02803802]
[31.30841064 32.80373764]
[33.92523193 31.58878517]
[30.46728897 32.61682129]
[33.92523193 31.58878517]
[30.46728897 32.61682129]
[33.92523193 31.58878517]
[30.46728897 32.61682129]
[33.92523193 31.58878517]
[30.46728897 32.61682129]
[33.92523193 31.58878517]
[30.46728897 32.61682129]
[33.92523193 31.58878517]
[30.46728897 32.61682129]
[33.92523193 31.58878517]
[30.46728897 32.61682129]
[33.92523193 31.58878517]
[30.46728897 32.61682129]
[33.92523193 31.58878517]
[30.46728897 32.61682129]
[33.92523193 31.58878517]
[30.46728897 32.61682129]
[33.92523193 31.58878517]
[30.46728897 32.61682129]
[33.27102661 31.96261597]
[30.46728897 32.61682129]
[33.27102661 31.96261597]
[28.87850571 32.71028137]
[33.27102661 31.96261597]
[28.87850571 32.71028137]
[33.27102661 31.96261597]
[28.87850571 32.71028137]
[33.27102661 31.96261597]
[28.87850571 32.71028137]
[30.28037262 31.77569962]
[32.24298859 28.31775665]
[30.28037262 31.77569962]
[32.14953232 29.90654182]
[30.28037262 31.77569962]
[32.14953232 29.90654182]
[29.06542015 31.58878517]
[32.14953232 29.90654182]
[30.7476635  31.21495438]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[30.09345818 29.2523365 ]
[27.47663498 29.34579468]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[30.09345818 29.2523365 ]
[27.47663498 29.34579468]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[30.09345818 29.2523365 ]
[26.35514069 30.        ]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.53271103 27.66355133]
[28.78504562 29.81308365]
[29.90654182 28.03738403]
[28.31775665 29.53271103]
[29.90654182 28.03738403]
[28.31775665 29.53271103]
[29.90654182 28.03738403]
[28.31775665 29.53271103]
[29.90654182 28.03738403]
[28.31775665 29.53271103]
[29.90654182 28.03738403]
[28.31775665 29.53271103]
[29.90654182 28.03738403]
[28.31775665 29.53271103]
[29.90654182 28.03738403]
[28.31775665 29.53271103]
[29.90654182 28.03738403]
[28.31775665 29.53271103]
[29.90654182 28.03738403]
[28.31775665 29.53271103]
[30.18691635 28.97196198]
[28.31775665 29.53271103]
[30.18691635 28.97196198]
[27.19626236 29.81308365]
[30.18691635 28.97196198]
[27.19626236 29.81308365]
[30.18691635 28.97196198]
[27.19626236 29.81308365]
[30.18691635 28.97196198]
[27.19626236 29.81308365]
[27.47663498 28.97196198]
[28.59813118 26.54205704]
[27.47663498 28.97196198]
[28.59813118 26.54205704]
[27.47663498 28.97196198]
[28.59813118 26.54205704]
[28.1308403  28.03738403]
[26.07476616 29.34579468]
[27.47663498 28.97196198]
[28.31775665 27.57009315]
[28.1308403  28.03738403]
[26.07476616 29.34579468]
[27.00934601 28.97196198]
[28.31775665 27.57009315]
[28.03738403 28.1308403 ]
[28.31775665 27.57009315]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.59813118 27.28971863]
[26.07476616 29.34579468]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.59813118 27.28971863]
[26.07476616 29.34579468]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.03738403 28.1308403 ]
[27.38317871 26.82242966]
[28.03738403 28.1308403 ]
[27.75700951 27.00934601]
[27.38317871 27.75700951]
[27.75700951 27.00934601]
[27.38317871 27.75700951]
[27.75700951 27.00934601]
[25.51401901 26.63551331]
[25.79439163 26.35514069]
[25.23364449 25.60747719]
[24.48598099 25.04673004]
[23.92523384 24.48598099]
[23.27102852 23.55140114]
[23.27102852 23.55140114]
[22.89719582 22.80373764]
[22.89719582 22.80373764]
[22.89719582 22.80373764]
