<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437DF0>
[28.97196198 30.3738327 ]
[31.30841064 29.06542015]
[30.84112167 33.27102661]
[33.55140305 29.71962738]
[30.84112167 33.27102661]
[33.55140305 29.71962738]
[30.84112167 33.27102661]
[33.55140305 29.71962738]
[30.84112167 33.27102661]
[33.55140305 29.71962738]
[33.08411407 33.27102661]
[33.55140305 29.71962738]
[33.08411407 33.27102661]
[33.7383194  28.87850571]
[33.08411407 33.27102661]
[33.7383194  28.87850571]
[33.36448669 30.3738327 ]
[27.75700951 32.14953232]
[33.08411407 33.27102661]
[33.55140305 29.71962738]
[33.08411407 33.27102661]
[33.7383194  28.87850571]
[33.08411407 33.27102661]
[33.7383194  28.87850571]
[33.36448669 30.3738327 ]
[27.75700951 32.14953232]
[30.84112167 33.27102661]
[33.55140305 29.71962738]
[33.08411407 33.27102661]
[33.7383194  28.87850571]
[33.08411407 33.27102661]
[33.7383194  28.87850571]
[32.52336502 32.05607605]
[27.00934601 31.12149429]
[30.56074905 31.40186882]
[32.24298859 28.03738403]
[32.52336502 32.05607605]
[25.51401901 30.46728897]
[30.56074905 31.40186882]
[32.24298859 28.03738403]
[30.56074905 31.40186882]
[32.24298859 28.03738403]
[30.56074905 31.40186882]
[32.24298859 28.03738403]
[30.56074905 31.40186882]
[32.24298859 28.03738403]
[32.52336502 32.05607605]
[25.51401901 30.46728897]
[30.56074905 31.40186882]
[32.24298859 28.03738403]
[30.56074905 31.40186882]
[32.24298859 28.03738403]
[30.56074905 31.40186882]
[32.24298859 28.03738403]
[30.56074905 31.40186882]
[32.24298859 28.03738403]
[30.56074905 31.40186882]
[30.7476635  28.22430038]
[28.97196198 30.65420532]
[30.7476635  28.22430038]
[28.97196198 30.65420532]
[30.7476635  28.22430038]
[28.97196198 30.65420532]
[30.7476635  28.22430038]
[28.97196198 30.65420532]
[30.7476635  28.22430038]
[28.97196198 30.65420532]
[30.7476635  28.22430038]
[28.97196198 30.65420532]
[30.7476635  28.22430038]
[28.97196198 30.65420532]
[30.7476635  28.22430038]
[28.97196198 30.65420532]
[30.7476635  28.22430038]
[28.97196198 30.65420532]
[30.7476635  28.22430038]
[28.97196198 30.65420532]
[30.7476635  28.22430038]
[28.97196198 30.65420532]
[30.65420532 27.38317871]
[28.97196198 30.65420532]
[30.65420532 27.38317871]
[28.03738403 29.71962738]
[30.65420532 27.38317871]
[28.03738403 29.71962738]
[30.65420532 27.38317871]
[28.03738403 29.71962738]
[30.65420532 27.38317871]
[28.03738403 29.71962738]
[30.         27.66355133]
[25.98130798 28.97196198]
[30.         27.66355133]
[25.98130798 28.97196198]
[30.         27.66355133]
[25.98130798 28.97196198]
[28.03738403 28.1308403 ]
[28.97196198 26.63551331]
[28.03738403 28.1308403 ]
[28.97196198 26.63551331]
[28.03738403 28.1308403 ]
[28.22430038 26.35514069]
[26.63551331 27.75700951]
[27.28971863 26.35514069]
[25.42056084 27.94392586]
[27.28971863 26.35514069]
[25.42056084 27.94392586]
[27.28971863 26.35514069]
[25.42056084 27.94392586]
[26.16822433 26.72897148]
[25.51401901 24.76635551]
[26.16822433 26.72897148]
[25.88784981 25.14018631]
[24.85981369 27.28971863]
[25.88784981 25.14018631]
[24.85981369 27.28971863]
[25.88784981 25.14018631]
[24.85981369 27.28971863]
[25.88784981 25.14018631]
[23.73831749 27.10280418]
[25.51401901 24.95326996]
[23.73831749 27.10280418]
[25.51401901 24.95326996]
[23.73831749 27.10280418]
[25.51401901 24.95326996]
[23.73831749 27.10280418]
[25.51401901 24.95326996]
[23.73831749 27.10280418]
[24.57943916 25.42056084]
[25.51401901 24.76635551]
[24.57943916 25.42056084]
[25.88784981 25.14018631]
[24.57943916 25.42056084]
[25.88784981 25.14018631]
[23.55140114 25.79439163]
[25.88784981 25.14018631]
[23.55140114 25.79439163]
[25.88784981 25.14018631]
[23.55140114 25.79439163]
[25.88784981 25.14018631]
[23.55140114 25.79439163]
[25.88784981 25.14018631]
[22.80373764 25.51401901]
[25.51401901 24.95326996]
[22.80373764 25.51401901]
[25.51401901 24.95326996]
[22.80373764 25.51401901]
[25.51401901 24.95326996]
[22.80373764 25.51401901]
[25.51401901 24.95326996]
[22.80373764 25.51401901]
[25.51401901 24.95326996]
[22.80373764 25.51401901]
[25.51401901 24.95326996]
[23.73831749 27.10280418]
[24.57943916 25.42056084]
[25.51401901 24.76635551]
[24.57943916 25.42056084]
[25.88784981 25.14018631]
[24.57943916 25.42056084]
[25.88784981 25.14018631]
[23.55140114 25.79439163]
[25.88784981 25.14018631]
[23.55140114 25.79439163]
[25.88784981 25.14018631]
[23.55140114 25.79439163]
[25.88784981 25.14018631]
[23.55140114 25.79439163]
[25.88784981 25.14018631]
[22.33644867 24.01869202]
[23.08411217 23.64485931]
[22.71028137 23.45794296]
[22.80373764 22.80373764]
[22.80373764 22.05607414]
[22.52336502 21.8691597 ]
[21.8691597  22.52336502]
[22.52336502 21.8691597 ]
[21.8691597  22.52336502]
[22.52336502 21.8691597 ]
[21.8691597  22.52336502]
[22.52336502 21.8691597 ]
[21.8691597  22.52336502]
[22.52336502 21.8691597 ]
[22.14953232 22.14953232]
[22.24299049 23.17757034]
[22.14953232 22.14953232]
[22.24299049 23.17757034]
[22.14953232 22.14953232]
[22.71028137 23.45794296]
[22.52336502 22.71028137]
[22.80373764 22.05607414]
[22.52336502 22.05607414]
[21.77570152 22.33644867]
[22.52336502 22.05607414]
[21.77570152 22.33644867]
[22.89719582 22.33644867]
[21.96261597 22.80373764]
[22.89719582 22.33644867]
[21.96261597 22.80373764]
[22.89719582 22.33644867]
[21.96261597 22.80373764]
[22.89719582 22.33644867]
[21.96261597 22.80373764]
[22.89719582 22.33644867]
[21.96261597 22.80373764]
[22.89719582 22.33644867]
[21.96261597 22.80373764]
[22.89719582 22.33644867]
[21.96261597 22.80373764]
[22.89719582 22.33644867]
[21.96261597 22.80373764]
[22.89719582 22.33644867]
[21.96261597 22.80373764]
[22.89719582 22.33644867]
[21.96261597 22.80373764]
[22.89719582 22.33644867]
[21.96261597 22.80373764]
[22.89719582 22.33644867]
[22.24299049 23.08411217]
[22.99065399 22.24299049]
[22.24299049 23.08411217]
[22.99065399 22.24299049]
[22.24299049 23.08411217]
[22.99065399 22.24299049]
[22.24299049 23.08411217]
[22.99065399 22.24299049]
[22.24299049 23.08411217]
[22.99065399 22.24299049]
[22.24299049 23.08411217]
[22.99065399 22.24299049]
[22.24299049 23.08411217]
[22.99065399 22.24299049]
[22.24299049 23.08411217]
[22.99065399 22.24299049]
[21.8691597  22.52336502]
[22.52336502 21.8691597 ]
[21.8691597  22.52336502]
[22.52336502 21.8691597 ]
[22.14953232 22.14953232]
[22.24299049 23.17757034]
[22.14953232 22.14953232]
[22.24299049 23.17757034]
[22.52336502 22.71028137]
