<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437DF0>
[28.03738403 30.3738327 ]
[29.6261673  27.10280418]
[31.30841064 33.55140305]
[32.99065399 28.97196198]
[31.30841064 33.55140305]
[32.99065399 28.97196198]
[31.30841064 33.55140305]
[32.99065399 28.97196198]
[31.30841064 33.55140305]
[32.99065399 28.97196198]
[32.80373764 33.08411407]
[32.99065399 28.97196198]
[32.80373764 33.08411407]
[33.55140305 27.38317871]
[32.80373764 33.08411407]
[33.55140305 27.38317871]
[33.36448669 30.09345818]
[27.28971863 34.39252472]
[32.80373764 33.08411407]
[32.99065399 28.97196198]
[32.80373764 33.08411407]
[33.55140305 27.38317871]
[32.80373764 33.08411407]
[33.55140305 27.38317871]
[33.36448669 30.09345818]
[27.28971863 34.39252472]
[31.30841064 33.55140305]
[32.99065399 28.97196198]
[32.80373764 33.08411407]
[33.55140305 27.38317871]
[32.80373764 33.08411407]
[33.55140305 27.38317871]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[26.35514069 32.89719391]
[30.93457985 31.77569962]
[32.05607605 27.75700951]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[26.35514069 32.89719391]
[30.93457985 31.77569962]
[32.05607605 27.75700951]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[26.35514069 32.89719391]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[26.35514069 32.89719391]
[30.93457985 31.77569962]
[32.05607605 27.75700951]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[25.98130798 32.14953232]
[29.34579468 32.05607605]
[32.05607605 27.75700951]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[26.35514069 32.89719391]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[26.35514069 32.89719391]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[26.35514069 32.89719391]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[26.35514069 32.89719391]
[31.495327   29.90654182]
[25.98130798 32.14953232]
[30.09345818 31.8691597 ]
[32.05607605 27.75700951]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[26.35514069 32.89719391]
[31.495327   29.90654182]
[25.98130798 32.14953232]
[29.34579468 32.05607605]
[32.05607605 27.75700951]
[29.34579468 32.05607605]
[32.05607605 27.75700951]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[25.98130798 32.14953232]
[30.93457985 31.77569962]
[32.05607605 27.75700951]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[26.35514069 32.89719391]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[30.93457985 31.77569962]
[32.52336502 26.07476616]
[31.68224335 29.15887833]
[26.35514069 32.89719391]
[31.495327   29.90654182]
