<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437DF0>
[26.35514069 28.504673  ]
[28.31775665 26.72897148]
[29.2523365  31.58878517]
[32.99065399 28.69158936]
[29.2523365  31.58878517]
[32.99065399 28.69158936]
[29.2523365  31.58878517]
[32.99065399 28.69158936]
[29.2523365  31.58878517]
[32.99065399 28.69158936]
[31.68224335 32.05607605]
[32.99065399 28.69158936]
[31.68224335 32.05607605]
[32.52336502 28.22430038]
[31.68224335 32.05607605]
[32.52336502 28.22430038]
[31.77569962 28.87850571]
[27.19626236 31.02803802]
[31.68224335 32.05607605]
[32.99065399 28.69158936]
[31.68224335 32.05607605]
[32.52336502 28.22430038]
[31.68224335 32.05607605]
[32.52336502 28.22430038]
[31.77569962 28.87850571]
[27.19626236 31.02803802]
[29.2523365  31.58878517]
[32.99065399 28.69158936]
[31.68224335 32.05607605]
[32.52336502 28.22430038]
[31.68224335 32.05607605]
[32.52336502 28.22430038]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.30841064 31.96261597]
[32.71028137 27.66355133]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.30841064 31.96261597]
[32.71028137 27.66355133]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.30841064 31.96261597]
[32.71028137 27.66355133]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[26.82242966 31.12149429]
[29.15887833 31.40186882]
[32.71028137 27.66355133]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.21495438 30.93457985]
[26.82242966 31.12149429]
[29.53271103 31.21495438]
[32.71028137 27.66355133]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.21495438 30.93457985]
[26.82242966 31.12149429]
[29.15887833 31.40186882]
[32.71028137 27.66355133]
[29.15887833 31.40186882]
[32.71028137 27.66355133]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[26.82242966 31.12149429]
[31.30841064 31.96261597]
[32.71028137 27.66355133]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.21495438 30.93457985]
[26.82242966 31.12149429]
[29.53271103 31.21495438]
[32.71028137 27.66355133]
[31.30841064 31.96261597]
[32.71028137 27.66355133]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
[31.77569962 29.90654182]
[27.19626236 31.495327  ]
[31.21495438 30.93457985]
[26.82242966 31.12149429]
[29.53271103 31.21495438]
[32.71028137 27.66355133]
[29.15887833 31.40186882]
[32.71028137 27.66355133]
[31.30841064 31.96261597]
[32.24298859 27.19626236]
