<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437DF0>
[24.76635551 25.51401901]
[27.19626236 25.60747719]
[25.60747719 31.58878517]
[31.68224335 27.19626236]
[25.60747719 31.58878517]
[31.68224335 27.19626236]
[25.60747719 31.58878517]
[31.68224335 27.19626236]
[25.60747719 31.58878517]
[31.68224335 27.19626236]
[28.97196198 31.58878517]
[31.68224335 27.19626236]
[28.97196198 31.58878517]
[31.21495438 25.70093536]
[28.97196198 31.58878517]
[31.21495438 25.70093536]
[29.81308365 27.47663498]
[23.45794296 31.40186882]
[28.97196198 31.58878517]
[31.68224335 27.19626236]
[28.97196198 31.58878517]
[31.21495438 25.70093536]
[28.97196198 31.58878517]
[31.21495438 25.70093536]
[29.81308365 27.47663498]
[23.45794296 31.40186882]
[25.60747719 31.58878517]
[31.68224335 27.19626236]
[28.97196198 31.58878517]
[31.21495438 25.70093536]
[28.97196198 31.58878517]
[31.21495438 25.70093536]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[29.90654182 32.61682129]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[29.90654182 32.61682129]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[29.90654182 32.61682129]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.17757034 32.33644867]
[26.35514069 32.89719391]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[31.96261597 31.12149429]
[23.17757034 32.33644867]
[27.57009315 32.61682129]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[31.96261597 31.12149429]
[23.17757034 32.33644867]
[26.35514069 32.89719391]
[32.52336502 27.66355133]
[26.35514069 32.89719391]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.17757034 32.33644867]
[29.90654182 32.61682129]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[31.96261597 31.12149429]
[23.17757034 32.33644867]
[27.57009315 32.61682129]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[31.96261597 31.12149429]
[23.17757034 32.33644867]
[27.57009315 32.61682129]
[32.52336502 27.66355133]
[26.35514069 32.89719391]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.17757034 32.33644867]
[29.90654182 32.61682129]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[31.96261597 31.12149429]
[23.17757034 32.33644867]
[27.57009315 32.61682129]
[32.52336502 27.66355133]
[26.35514069 32.89719391]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.17757034 32.33644867]
[29.90654182 32.61682129]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[29.90654182 32.61682129]
[32.52336502 26.16822433]
[31.21495438 28.1308403 ]
[23.55140114 30.65420532]
[31.96261597 31.12149429]
[23.17757034 32.33644867]
[27.57009315 32.61682129]
[32.52336502 27.66355133]
[31.96261597 31.12149429]
[23.17757034 32.33644867]
[26.35514069 32.89719391]
[32.52336502 27.66355133]
[26.35514069 32.89719391]
[32.52336502 27.66355133]
[29.90654182 32.61682129]
[30.3738327  26.07476616]
[27.85046768 30.84112167]
[30.3738327  26.07476616]
[28.97196198 27.57009315]
[23.64485931 29.2523365 ]
[27.85046768 30.84112167]
[30.3738327  26.07476616]
[27.85046768 30.84112167]
[30.3738327  26.07476616]
[28.97196198 27.57009315]
[23.64485931 29.2523365 ]
[28.87850571 29.53271103]
[30.3738327  26.07476616]
[29.43925095 26.54205704]
[23.64485931 29.2523365 ]
[28.87850571 29.53271103]
[30.3738327  26.07476616]
[28.87850571 29.53271103]
[30.3738327  26.07476616]
[29.43925095 26.54205704]
[23.64485931 29.2523365 ]
[28.87850571 29.53271103]
[30.3738327  26.07476616]
[29.43925095 26.54205704]
[23.64485931 29.2523365 ]
[28.87850571 29.53271103]
[28.78504562 24.29906464]
[29.43925095 26.54205704]
[23.64485931 29.2523365 ]
[28.87850571 29.53271103]
[28.78504562 24.29906464]
[29.43925095 26.54205704]
[23.64485931 29.2523365 ]
[28.87850571 29.53271103]
[28.78504562 24.29906464]
[29.43925095 26.54205704]
[23.64485931 29.2523365 ]
[28.87850571 29.53271103]
[28.78504562 24.29906464]
[29.43925095 26.54205704]
[23.64485931 29.2523365 ]
[28.87850571 29.53271103]
[28.78504562 24.29906464]
[29.43925095 26.54205704]
[23.64485931 29.2523365 ]
[28.87850571 29.53271103]
[28.78504562 24.29906464]
[29.43925095 26.54205704]
[24.67289734 28.41121483]
[28.87850571 29.53271103]
[28.78504562 24.29906464]
[29.43925095 26.54205704]
[24.67289734 28.41121483]
[28.87850571 29.53271103]
[28.78504562 24.29906464]
[29.43925095 26.54205704]
[24.67289734 28.41121483]
[28.87850571 29.53271103]
[28.1308403  23.55140114]
[29.43925095 26.54205704]
[24.67289734 28.41121483]
[28.78504562 25.70093536]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.78504562 24.29906464]
[27.66355133 27.66355133]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.78504562 24.29906464]
[28.87850571 29.53271103]
[28.1308403  23.55140114]
[28.78504562 25.70093536]
[24.67289734 28.41121483]
[28.78504562 25.70093536]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.78504562 24.29906464]
[27.66355133 27.66355133]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.78504562 24.29906464]
[27.66355133 27.66355133]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.78504562 24.29906464]
[28.78504562 25.70093536]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.78504562 24.29906464]
[28.78504562 25.70093536]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.78504562 24.29906464]
[27.66355133 27.66355133]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.78504562 24.29906464]
[28.78504562 25.70093536]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.87850571 24.67289734]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.78504562 24.29906464]
[28.78504562 25.70093536]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.78504562 24.29906464]
[28.78504562 25.70093536]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[26.72897148 28.504673  ]
[28.78504562 24.29906464]
[28.78504562 25.70093536]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.66355133 27.66355133]
[24.48598099 28.69158936]
[27.75700951 30.3738327 ]
[29.6261673  24.20560837]
[28.78504562 25.70093536]
[24.67289734 28.41121483]
[27.66355133 27.66355133]
[24.67289734 28.41121483]
[30.09345818 28.69158936]
[24.67289734 30.84112167]
[30.09345818 28.69158936]
[24.67289734 30.84112167]
[27.75700951 30.3738327 ]
[29.6261673  24.20560837]
[30.         25.32710266]
[25.14018631 29.71962738]
[30.09345818 28.69158936]
[25.14018631 29.71962738]
[30.09345818 28.69158936]
[24.67289734 30.84112167]
[30.09345818 28.69158936]
[24.67289734 30.84112167]
[27.75700951 30.3738327 ]
[29.6261673  24.20560837]
[30.         25.32710266]
[25.14018631 29.71962738]
[30.09345818 28.69158936]
[25.14018631 29.71962738]
[30.09345818 28.69158936]
[25.14018631 29.71962738]
[30.09345818 28.69158936]
[24.67289734 30.84112167]
[30.09345818 28.69158936]
[24.67289734 30.84112167]
[30.09345818 28.69158936]
[24.67289734 30.84112167]
[27.75700951 30.3738327 ]
[29.6261673  24.20560837]
[30.         25.32710266]
[25.14018631 29.71962738]
[30.         25.32710266]
[25.14018631 29.71962738]
[30.09345818 28.69158936]
[25.14018631 29.71962738]
[30.09345818 28.69158936]
