<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083E60>
[25.08095169 28.6428566 ]
[27.70000076 24.3476181 ]
[25.08095169 30.2142868 ]
[26.33809471 25.60476303]
[25.08095169 30.2142868 ]
[28.90476227 26.33809471]
[25.08095169 30.2142868 ]
[28.90476227 26.33809471]
[25.23809433 30.79047585]
[28.90476227 26.33809471]
[25.39523697 30.31904793]
[29.06190491 25.34285736]
[26.23333359 29.69047546]
[29.06190491 25.34285736]
[26.23333359 29.69047546]
[28.48571396 24.60952377]
[26.23333359 29.69047546]
[28.48571396 24.60952377]
[25.34285736 27.80476189]
[27.01904678 24.29523849]
[25.34285736 27.80476189]
[27.01904678 24.29523849]
[25.34285736 27.80476189]
[27.01904678 24.29523849]
[25.34285736 27.80476189]
[27.28095245 23.35238075]
[26.75714302 25.97142792]
[22.51428604 25.91904831]
[29.06190491 27.54285812]
[23.45714188 30.16190338]
[29.06190491 27.54285812]
[23.45714188 30.16190338]
[28.38095284 31.10476303]
[30.84285736 23.77142906]
[30.79047585 29.74285698]
[23.40476227 30.73809433]
[28.38095284 31.10476303]
[30.84285736 23.77142906]
[30.79047585 29.74285698]
[23.40476227 30.73809433]
[28.38095284 31.10476303]
[30.84285736 23.77142906]
[30.79047585 29.74285698]
[23.40476227 30.73809433]
[28.38095284 31.10476303]
[30.84285736 23.77142906]
[30.79047585 29.74285698]
[23.40476227 30.73809433]
[28.38095284 31.10476303]
[31.62857056 24.55714226]
[30.79047585 29.74285698]
[22.82857132 30.47619057]
[27.0714283  31.57619095]
[31.62857056 24.55714226]
[28.38095284 31.10476303]
[30.84285736 23.77142906]
[30.79047585 29.74285698]
[23.40476227 30.73809433]
[28.38095284 31.10476303]
[30.84285736 23.77142906]
[30.79047585 29.74285698]
[23.40476227 30.73809433]
[28.38095284 31.10476303]
[30.84285736 23.77142906]
[30.79047585 29.74285698]
[22.98571396 30.05714417]
[28.38095284 31.10476303]
[30.84285736 23.77142906]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.0714283  31.57619095]
[31.62857056 24.55714226]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[26.44285774 30.47619057]
[30.52857208 24.3476181 ]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[26.44285774 30.47619057]
[30.52857208 24.3476181 ]
[29.69047546 29.32381058]
[22.51428604 29.32381058]
[26.44285774 30.47619057]
[30.52857208 24.3476181 ]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[26.44285774 30.47619057]
[30.52857208 24.3476181 ]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[27.43809509 30.42380905]
[29.74285698 23.71904755]
[29.69047546 29.32381058]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.74285698 23.71904755]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.74285698 23.71904755]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.74285698 23.71904755]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.74285698 23.71904755]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.74285698 23.71904755]
[28.79999924 26.96666718]
[23.03809547 29.11428452]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.74285698 23.71904755]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.74285698 23.71904755]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.74285698 23.71904755]
[29.95238113 28.69523811]
[23.03809547 29.11428452]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.74285698 23.71904755]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.74285698 23.71904755]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.58571434 23.1428566 ]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.58571434 23.1428566 ]
[29.95238113 28.69523811]
[23.03809547 29.11428452]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.58571434 23.1428566 ]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[28.06666565 22.82857132]
[28.79999924 26.96666718]
[23.03809547 29.11428452]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.58571434 23.1428566 ]
[28.79999924 26.96666718]
[23.03809547 29.11428452]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[29.21904755 28.90476227]
[22.98571396 30.05714417]
[29.21904755 28.90476227]
[22.51428604 29.32381058]
[28.22380829 29.69047546]
[30.16190338 23.66666603]
[28.32857132 30.05714417]
[28.06666565 22.82857132]
[28.79999924 26.96666718]
[23.03809547 29.11428452]
[29.48095322 27.49047661]
[22.98571396 30.05714417]
[29.48095322 27.49047661]
[22.98571396 30.05714417]
[29.21904755 28.90476227]
[22.51428604 29.32381058]
[28.22380829 29.69047546]
[30.16190338 23.66666603]
[29.48095322 27.49047661]
[22.98571396 30.05714417]
[29.21904755 28.90476227]
[22.51428604 29.32381058]
[28.22380829 29.69047546]
[29.58571434 23.1428566 ]
[29.48095322 27.49047661]
[22.98571396 30.05714417]
[29.21904755 28.90476227]
[22.98571396 30.05714417]
[29.21904755 28.90476227]
[22.51428604 29.32381058]
[28.22380829 29.69047546]
[30.16190338 23.66666603]
[29.48095322 27.49047661]
[22.98571396 30.05714417]
[29.21904755 28.90476227]
[22.51428604 29.32381058]
[28.22380829 29.69047546]
[30.16190338 23.66666603]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[29.21904755 28.90476227]
[22.51428604 29.32381058]
[28.22380829 29.69047546]
[29.58571434 23.1428566 ]
[29.95238113 28.69523811]
[22.98571396 30.05714417]
[28.32857132 30.05714417]
[29.58571434 23.1428566 ]
[28.79999924 26.96666718]
[23.03809547 29.11428452]
[29.48095322 27.49047661]
[22.98571396 30.05714417]
[29.21904755 28.90476227]
[22.98571396 30.05714417]
[29.21904755 28.90476227]
[22.51428604 29.32381058]
