<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083BC0>
[23.1428566  22.98571396]
[22.93333435 22.40952301]
[22.88095284 22.3571434 ]
[22.7761898  22.46190453]
[22.46190453 22.51428604]
[22.40952301 22.46190453]
[21.93809509 22.25238037]
[21.99047661 22.30476189]
[22.14761925 22.25238037]
[22.51428604 22.14761925]
[21.99047661 22.14761925]
[22.46190453 22.14761925]
[21.93809509 21.93809509]
[21.99047661 22.30476189]
[21.93809509 21.93809509]
[21.99047661 22.30476189]
[21.88571358 22.14761925]
[21.99047661 22.20000076]
[22.40952301 22.20000076]
[21.93809509 21.99047661]
