<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083CA0>
[31.7857132  34.50952148]
[35.87142944 33.14762115]
[30.68571472 33.72380829]
[34.61428452 33.25238037]
[30.68571472 33.72380829]
[34.82381058 32.99047852]
[30.68571472 33.72380829]
[34.82381058 32.99047852]
[31.05237961 33.67142868]
[34.82381058 32.99047852]
[31.15714264 33.04285812]
[33.3571434  32.30952454]
[31.94285583 32.62380981]
[33.3571434  32.30952454]
[31.94285583 32.62380981]
[33.67142868 31.83809662]
[31.94285583 32.62380981]
[33.67142868 31.83809662]
[32.25714111 32.57142639]
[34.09047699 31.62857056]
[32.25714111 32.57142639]
[34.09047699 31.62857056]
[32.25714111 32.57142639]
[34.09047699 31.62857056]
[32.25714111 32.57142639]
[34.40476227 31.41904831]
[33.20000076 33.14762115]
[30.31904793 33.25238037]
[33.30476379 33.40952301]
[34.40476227 31.41904831]
[33.30476379 33.40952301]
[34.40476227 31.41904831]
[33.20000076 33.14762115]
[31.31428528 33.98571396]
[33.77619171 33.3571434 ]
[31.15714264 33.88095093]
[33.77619171 33.3571434 ]
[31.15714264 33.88095093]
[33.77619171 33.3571434 ]
[31.15714264 33.88095093]
[33.56666565 33.3571434 ]
[30.37142944 33.56666565]
[32.83333206 33.82857132]
[34.03809357 31.73333359]
[33.56666565 33.3571434 ]
[30.37142944 33.56666565]
[32.83333206 33.82857132]
[34.03809357 31.73333359]
[33.77619171 33.3571434 ]
[31.15714264 33.88095093]
[33.56666565 33.3571434 ]
[30.37142944 33.56666565]
[32.83333206 33.82857132]
[34.03809357 31.73333359]
[33.56666565 33.3571434 ]
[30.37142944 33.56666565]
[33.56666565 33.3571434 ]
[30.37142944 33.56666565]
[32.83333206 33.82857132]
[34.03809357 31.73333359]
[33.56666565 33.3571434 ]
[30.37142944 33.56666565]
[32.83333206 33.82857132]
[34.45714188 31.31428528]
[33.77619171 33.3571434 ]
[31.15714264 33.88095093]
[33.56666565 33.3571434 ]
[30.37142944 33.56666565]
[32.83333206 33.82857132]
[34.45714188 31.31428528]
[33.77619171 33.3571434 ]
[31.15714264 33.88095093]
[33.67142868 33.09523773]
[30.37142944 33.56666565]
[33.09523773 33.46190643]
[34.45714188 31.31428528]
[34.1428566  33.14762115]
[31.73333359 33.93333435]
[33.67142868 33.09523773]
[31.73333359 33.93333435]
[33.67142868 33.09523773]
[30.94762039 33.93333435]
[33.09523773 33.46190643]
[34.45714188 31.31428528]
[34.1428566  33.14762115]
[31.73333359 33.93333435]
[33.67142868 33.09523773]
[31.73333359 33.93333435]
[33.67142868 33.09523773]
[30.94762039 33.93333435]
[33.67142868 33.09523773]
[30.94762039 33.93333435]
[33.09523773 33.46190643]
[34.03809357 31.73333359]
[34.1428566  33.14762115]
[31.73333359 33.93333435]
[33.67142868 33.09523773]
[31.73333359 33.93333435]
[33.67142868 33.09523773]
[30.94762039 33.93333435]
[33.67142868 33.09523773]
[30.94762039 33.93333435]
[33.67142868 33.09523773]
[30.94762039 33.93333435]
[33.09523773 33.46190643]
[34.45714188 31.31428528]
[34.1428566  33.14762115]
[31.73333359 33.93333435]
[34.1428566  33.14762115]
[31.73333359 33.93333435]
[34.1428566  33.14762115]
[31.73333359 33.93333435]
[33.67142868 33.09523773]
[31.73333359 33.93333435]
[33.67142868 33.09523773]
[31.73333359 33.93333435]
[33.67142868 33.09523773]
[31.73333359 33.93333435]
[33.67142868 33.09523773]
[31.73333359 33.93333435]
[33.67142868 33.09523773]
[31.73333359 33.93333435]
[34.24761963 32.88571548]
[31.73333359 33.93333435]
[34.24761963 32.88571548]
[31.73333359 33.93333435]
[35.13809586 33.25238037]
[31.94285583 34.1428566 ]
[35.13809586 33.25238037]
[31.94285583 34.1428566 ]
[35.13809586 33.25238037]
[31.94285583 34.1428566 ]
[35.81904602 33.14762115]
[33.25238037 34.87619019]
[35.81904602 33.14762115]
[33.25238037 34.87619019]
[35.81904602 33.14762115]
[33.25238037 34.87619019]
[35.81904602 33.14762115]
[33.25238037 34.87619019]
[35.81904602 33.14762115]
[33.25238037 34.87619019]
[35.81904602 33.14762115]
[33.25238037 34.87619019]
[35.81904602 33.14762115]
[33.25238037 34.92857361]
[35.40000153 33.09523773]
[33.25238037 34.92857361]
[35.03333282 32.57142639]
[34.61428452 34.98095322]
[35.03333282 32.57142639]
[34.61428452 34.98095322]
[35.03333282 32.57142639]
[34.61428452 34.98095322]
[35.03333282 32.57142639]
[35.13809586 34.98095322]
[31.26190567 36.44761658]
[35.13809586 34.98095322]
[31.26190567 36.44761658]
[34.98095322 33.56666565]
[31.99523926 35.19047546]
[34.98095322 33.56666565]
[31.99523926 35.19047546]
[34.98095322 33.56666565]
[31.99523926 35.19047546]
[34.98095322 33.56666565]
[31.99523926 35.19047546]
[35.3476181  33.04285812]
[31.99523926 35.19047546]
[35.3476181  33.04285812]
[32.57142639 34.66666794]
[35.3476181  33.04285812]
[32.57142639 34.66666794]
[35.3476181  33.04285812]
[32.57142639 34.66666794]
[35.3476181  33.04285812]
[32.57142639 34.66666794]
[32.99047852 31.        ]
[32.09999847 32.57142639]
[32.99047852 31.        ]
[31.89047623 31.26190567]
[29.95238113 33.14762115]
[32.62380981 32.20476151]
[29.37619019 33.77619171]
[32.62380981 32.20476151]
[29.37619019 33.77619171]
[32.93809509 31.41904831]
[29.95238113 33.25238037]
[32.93809509 31.41904831]
[29.95238113 33.25238037]
[32.93809509 31.41904831]
[29.95238113 33.25238037]
[32.93809509 31.41904831]
[29.95238113 33.25238037]
[32.57142639 30.84285736]
[29.95238113 33.25238037]
[32.57142639 30.84285736]
[30.37142944 32.04761887]
[32.57142639 30.84285736]
[30.37142944 32.04761887]
[32.57142639 30.84285736]
[30.37142944 32.04761887]
[32.57142639 30.84285736]
[30.37142944 32.04761887]
[31.89047623 30.05714417]
[31.20952415 31.05237961]
[29.37619019 33.77619171]
[31.47142792 30.52857208]
[29.37619019 33.77619171]
[31.47142792 30.52857208]
[29.37619019 33.77619171]
[31.47142792 30.52857208]
[29.37619019 33.77619171]
