<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083E60>
[26.6523819  27.33333397]
[29.16666794 22.61904716]
[27.22857094 30.63333321]
[28.69523811 23.1428566 ]
[27.22857094 30.63333321]
[31.31428528 23.71904755]
[27.22857094 30.63333321]
[31.31428528 23.71904755]
[29.32381058 30.26666641]
[31.31428528 23.71904755]
[29.8476181  31.62857056]
[32.57142639 23.19523811]
[31.41904831 29.16666794]
[23.19523811 31.15714264]
[27.22857094 31.73333359]
[32.62380981 23.82381058]
[27.22857094 31.73333359]
[32.62380981 23.82381058]
[29.8476181  31.62857056]
[32.62380981 23.82381058]
[29.8476181  31.62857056]
[32.57142639 23.19523811]
[31.41904831 29.16666794]
[23.19523811 31.15714264]
[27.22857094 31.73333359]
[32.62380981 23.82381058]
[27.22857094 31.73333359]
[32.62380981 23.82381058]
[27.22857094 31.73333359]
[32.62380981 23.82381058]
[29.8476181  31.62857056]
[32.62380981 23.82381058]
[29.8476181  31.62857056]
[32.62380981 23.82381058]
[29.8476181  31.62857056]
[32.57142639 23.19523811]
[29.8476181  31.62857056]
[32.57142639 23.19523811]
[31.41904831 29.16666794]
[23.19523811 31.15714264]
[27.22857094 31.73333359]
[32.62380981 23.82381058]
[24.81904793 29.53333282]
[32.62380981 23.82381058]
[24.81904793 30.00476074]
[32.78095245 23.9285717 ]
[24.81904793 30.00476074]
[32.78095245 23.9285717 ]
[24.81904793 30.00476074]
[32.78095245 23.9285717 ]
[24.81904793 30.00476074]
[32.78095245 23.9285717 ]
[24.81904793 30.00476074]
[31.10476303 25.70952415]
[24.81904793 30.00476074]
[31.10476303 25.70952415]
[24.81904793 30.00476074]
[31.10476303 25.70952415]
[24.81904793 30.00476074]
[31.10476303 25.70952415]
[24.81904793 30.00476074]
[31.10476303 25.70952415]
[24.81904793 30.00476074]
[31.10476303 25.70952415]
[24.81904793 30.00476074]
[31.10476303 25.70952415]
[24.81904793 30.00476074]
[28.38095284 24.13809586]
[24.81904793 30.00476074]
[28.38095284 24.13809586]
[24.29523849 26.6523819 ]
[28.38095284 24.13809586]
[24.29523849 26.6523819 ]
[28.38095284 24.13809586]
[24.29523849 26.6523819 ]
[28.38095284 24.13809586]
[23.61428642 25.65714264]
[27.33333397 26.23333359]
[23.61428642 25.65714264]
[27.33333397 26.23333359]
[23.61428642 25.65714264]
[27.33333397 26.23333359]
[23.61428642 25.65714264]
[24.50476074 24.19047546]
[23.03809547 23.61428642]
[24.50476074 24.19047546]
[22.67142868 23.40476227]
[24.08571434 23.87619019]
[22.67142868 23.40476227]
[24.08571434 23.87619019]
[22.67142868 23.40476227]
[23.29999924 23.45714188]
[25.18571472 22.93333435]
[23.56190491 22.7761898 ]
[22.56666565 23.09047699]
[23.56190491 22.7761898 ]
[22.51428604 22.88095284]
[22.46190453 22.09523773]
[22.51428604 22.88095284]
[22.09523773 22.30476189]
[22.88095284 21.67619133]
[22.09523773 22.30476189]
[22.51428604 21.67619133]
[22.09523773 22.30476189]
[21.99047661 21.88571358]
[22.09523773 22.30476189]
[21.72857094 21.99047661]
[22.46190453 21.25714302]
[21.72857094 21.99047661]
[21.67619133 21.41428566]
[21.72857094 21.99047661]
[21.51904678 21.62380981]
