<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083CA0>
[28.27619171 32.1523819 ]
[32.83333206 29.37619019]
[28.69523811 33.61904907]
[31.99523926 30.58095169]
[28.69523811 33.61904907]
[34.66666794 31.47142792]
[28.69523811 33.61904907]
[34.66666794 31.47142792]
[29.74285698 34.56190491]
[34.66666794 31.47142792]
[29.63809586 33.51428604]
[34.45714188 31.10476303]
[30.94762039 32.30952454]
[34.45714188 31.10476303]
[30.94762039 32.30952454]
[34.03809357 29.89999962]
[30.94762039 32.30952454]
[34.03809357 29.89999962]
[31.15714264 30.94762039]
[26.07619095 31.94285583]
[29.63809586 33.51428604]
[34.45714188 31.10476303]
[30.94762039 32.30952454]
[34.03809357 29.89999962]
[30.94762039 32.30952454]
[34.03809357 29.89999962]
[31.15714264 30.94762039]
[26.07619095 31.94285583]
[29.63809586 33.51428604]
[34.45714188 31.10476303]
[30.94762039 32.30952454]
[34.03809357 29.89999962]
[31.15714264 30.94762039]
[25.5        32.72857285]
[29.63809586 33.51428604]
[35.03333282 29.8476181 ]
[30.94762039 32.30952454]
[34.35237885 29.00952339]
[30.94762039 32.30952454]
[34.35237885 29.00952339]
[31.15714264 30.94762039]
[26.07619095 31.94285583]
[34.03809357 32.09999847]
[25.5        32.72857285]
[30.68571472 32.99047852]
[34.71904755 29.58571434]
[32.36190414 33.46190643]
[35.03333282 29.8476181 ]
[30.94762039 32.30952454]
[34.35237885 29.00952339]
[30.63333321 29.53333282]
[24.7142868  29.79523849]
[29.16666794 30.79047585]
[31.7857132  28.27619171]
[30.63333321 29.53333282]
[24.7142868  29.79523849]
[28.22380829 30.58095169]
[31.41904831 28.06666565]
[27.54285812 30.47619057]
[31.7857132  28.27619171]
[28.79999924 29.4285717 ]
[31.31428528 27.64761925]
[28.79999924 29.4285717 ]
[31.31428528 27.64761925]
[30.42380905 28.32857132]
[25.18571472 29.32381058]
[30.63333321 29.53333282]
[24.7142868  29.79523849]
[28.22380829 30.58095169]
[31.41904831 28.06666565]
[29.16666794 30.79047585]
[31.7857132  28.27619171]
[30.63333321 29.53333282]
[24.7142868  29.79523849]
[28.22380829 30.58095169]
[31.41904831 28.06666565]
[29.16666794 30.79047585]
[31.7857132  28.27619171]
[30.63333321 29.53333282]
[24.7142868  29.79523849]
[29.16666794 30.79047585]
[31.41904831 28.06666565]
[29.16666794 30.79047585]
[31.7857132  28.27619171]
[30.63333321 29.53333282]
[24.7142868  29.79523849]
[29.16666794 30.79047585]
[31.7857132  28.27619171]
[29.16666794 30.79047585]
[31.7857132  28.27619171]
[30.63333321 29.53333282]
[24.7142868  29.79523849]
[29.16666794 30.79047585]
[31.7857132  28.27619171]
[30.63333321 29.53333282]
[24.55714226 29.48095322]
[28.22380829 30.58095169]
[31.41904831 28.06666565]
[29.16666794 30.79047585]
[31.7857132  28.27619171]
[28.79999924 29.4285717 ]
[31.7857132  28.27619171]
[30.63333321 29.53333282]
[24.7142868  29.79523849]
[29.16666794 30.79047585]
[31.7857132  28.27619171]
[30.63333321 29.53333282]
[24.55714226 29.48095322]
[28.22380829 30.58095169]
[31.41904831 28.06666565]
[27.54285812 30.47619057]
[31.7857132  28.27619171]
[28.79999924 29.4285717 ]
[31.7857132  28.27619171]
[28.79999924 29.4285717 ]
[31.31428528 27.64761925]
[30.42380905 28.32857132]
[25.18571472 29.32381058]
[30.63333321 29.53333282]
[24.55714226 29.48095322]
[28.22380829 30.58095169]
[31.41904831 28.06666565]
[29.16666794 30.79047585]
[31.7857132  28.27619171]
[30.63333321 29.53333282]
[24.55714226 29.48095322]
[28.22380829 30.58095169]
[31.41904831 28.06666565]
[27.54285812 30.47619057]
[31.7857132  28.27619171]
[28.79999924 29.4285717 ]
[31.7857132  28.27619171]
[28.79999924 29.4285717 ]
[31.31428528 27.64761925]
[30.42380905 28.32857132]
[25.18571472 29.32381058]
[30.63333321 29.53333282]
[24.55714226 29.48095322]
[28.22380829 30.58095169]
[31.41904831 28.06666565]
[29.16666794 30.79047585]
[31.7857132  28.27619171]
[30.63333321 29.53333282]
[24.55714226 29.48095322]
[28.22380829 30.58095169]
[31.41904831 28.06666565]
[27.54285812 30.47619057]
[31.7857132  28.27619171]
[28.79999924 29.4285717 ]
[31.7857132  28.27619171]
[28.79999924 29.4285717 ]
[31.31428528 27.64761925]
[26.18095207 26.39047623]
[26.96666718 25.86666679]
[26.96666718 26.39047623]
[23.9285717  25.70952415]
[26.91428566 27.33333397]
[27.54285812 26.33809471]
[26.96666718 26.39047623]
[23.9285717  25.70952415]
[26.91428566 27.33333397]
[27.54285812 26.33809471]
[26.91428566 27.33333397]
[27.54285812 26.33809471]
[26.96666718 26.39047623]
[24.60952377 26.23333359]
[26.91428566 27.33333397]
[27.54285812 26.33809471]
[26.96666718 26.39047623]
[24.60952377 26.23333359]
[26.91428566 27.33333397]
[27.54285812 26.33809471]
[26.96666718 26.39047623]
[24.60952377 26.23333359]
[26.91428566 27.33333397]
[27.54285812 26.33809471]
[27.38571358 26.49523926]
[24.60952377 26.23333359]
[27.49047661 27.54285812]
[27.54285812 26.33809471]
[27.38571358 26.49523926]
[24.60952377 26.23333359]
[27.49047661 27.54285812]
[27.54285812 26.33809471]
[27.38571358 26.49523926]
[24.60952377 26.23333359]
[27.49047661 27.54285812]
[27.54285812 26.33809471]
[27.38571358 26.49523926]
[24.60952377 26.23333359]
[27.49047661 27.54285812]
[27.28095245 25.60476303]
[27.38571358 26.49523926]
[24.60952377 26.23333359]
[27.38571358 26.49523926]
[24.60952377 26.23333359]
[27.49047661 27.54285812]
[27.28095245 25.60476303]
[27.38571358 26.49523926]
[24.60952377 26.23333359]
[27.28095245 26.75714302]
[24.60952377 26.23333359]
[27.49047661 27.70000076]
[27.28095245 25.60476303]
[27.28095245 26.75714302]
[25.29047585 26.18095207]
[27.28095245 26.75714302]
[25.29047585 26.18095207]
[27.28095245 26.75714302]
[25.29047585 26.18095207]
[27.49047661 27.70000076]
[26.91428566 25.18571472]
[27.28095245 26.75714302]
[25.29047585 26.18095207]
[27.28095245 26.75714302]
[25.29047585 26.18095207]
[27.28095245 26.75714302]
[25.29047585 26.18095207]
[27.28095245 26.75714302]
[25.29047585 26.18095207]
[27.28095245 26.75714302]
[25.29047585 26.18095207]
[27.28095245 26.75714302]
[25.29047585 26.18095207]
[27.28095245 26.75714302]
[25.29047585 26.18095207]
[27.49047661 27.70000076]
[26.91428566 25.18571472]
[26.96666718 26.6523819 ]
[24.92380905 26.02380943]
[26.96666718 26.6523819 ]
[25.02857208 26.33809471]
[26.96666718 26.6523819 ]
[25.81428528 26.44285774]
[26.23333359 26.12857056]
[25.81428528 26.44285774]
[26.23333359 26.12857056]
[25.81428528 26.44285774]
[26.23333359 26.12857056]
[25.81428528 26.44285774]
[28.85238075 27.59523773]
[25.81428528 26.44285774]
[27.8571434  26.86190414]
[28.95714188 28.32857132]
[25.29047585 28.32857132]
[28.95714188 28.32857132]
[25.29047585 28.32857132]
[29.16666794 27.90952301]
[25.29047585 28.32857132]
[30.42380905 28.59047699]
[25.44761848 29.21904755]
[30.42380905 28.59047699]
[25.44761848 29.21904755]
[30.42380905 28.59047699]
[25.44761848 29.21904755]
[30.47619057 29.69047546]
[24.81904793 29.58571434]
[29.16666794 31.05237961]
[30.47619057 27.54285812]
[30.47619057 29.69047546]
[24.81904793 29.58571434]
[30.47619057 29.69047546]
[24.81904793 29.58571434]
[29.16666794 31.05237961]
[30.47619057 27.54285812]
[30.47619057 29.69047546]
[24.81904793 29.58571434]
[30.47619057 29.69047546]
[24.81904793 29.58571434]
[32.36190414 34.24761963]
[33.77619171 29.11428452]
[34.24761963 32.93809509]
[25.34285736 33.04285812]
[33.46190643 32.41428375]
[25.34285736 33.04285812]
[32.04761887 33.82857132]
[33.77619171 29.11428452]
[33.46190643 32.41428375]
[26.12857056 32.57142639]
[33.46190643 32.41428375]
[25.34285736 33.04285812]
[32.04761887 33.82857132]
[33.77619171 29.11428452]
[32.93809509 31.10476303]
[26.12857056 32.57142639]
[35.97618866 33.98571396]
[27.17618942 34.24761963]
[35.97618866 33.98571396]
[27.17618942 34.24761963]
[33.93333435 35.55714417]
[35.50476074 30.00476074]
[35.19047546 32.46666718]
[28.06666565 33.72380829]
[35.97618866 33.98571396]
[27.17618942 34.24761963]
[35.97618866 33.98571396]
[27.17618942 34.24761963]
[33.98571396 34.87619019]
[35.66190338 29.32381058]
[35.7142868  32.09999847]
[28.32857132 34.61428452]
[36.18571472 33.46190643]
[27.43809509 34.92857361]
[36.18571472 33.46190643]
[27.43809509 34.92857361]
[33.98571396 34.87619019]
[35.24285889 28.69523811]
[35.7142868  32.09999847]
[28.32857132 34.61428452]
[35.7142868  32.09999847]
[28.32857132 34.61428452]
[36.18571472 33.46190643]
[28.32857132 34.61428452]
[36.18571472 33.46190643]
[27.43809509 34.92857361]
[36.18571472 33.46190643]
[27.43809509 34.92857361]
[33.98571396 34.87619019]
[34.87619019 28.43333435]
[35.7142868  32.09999847]
[28.53809547 34.71904755]
[35.13809586 31.41904831]
[28.53809547 34.71904755]
[35.13809586 31.41904831]
[28.53809547 34.71904755]
[35.13809586 31.41904831]
[28.53809547 34.71904755]
[35.13809586 31.41904831]
[28.53809547 34.71904755]
[35.13809586 31.41904831]
[28.53809547 34.71904755]
[33.67142868 30.42380905]
[28.53809547 34.71904755]
[33.67142868 30.42380905]
[28.53809547 34.71904755]
[33.67142868 30.42380905]
[28.53809547 34.71904755]
[33.67142868 30.42380905]
[28.53809547 34.71904755]
[33.67142868 30.42380905]
[30.05714417 33.56666565]
[33.67142868 30.42380905]
[30.05714417 33.56666565]
[33.67142868 30.42380905]
[30.05714417 33.56666565]
[33.67142868 30.42380905]
[30.05714417 33.56666565]
[33.67142868 30.42380905]
[30.05714417 33.56666565]
[33.67142868 30.42380905]
[29.32381058 31.99523926]
[31.99523926 29.63809586]
[29.32381058 31.99523926]
[31.20952415 28.32857132]
[30.42380905 30.84285736]
[31.20952415 28.32857132]
[30.42380905 30.84285736]
[31.20952415 28.32857132]
[30.42380905 30.84285736]
[31.20952415 28.32857132]
[30.94762039 30.05714417]
[26.18095207 31.41904831]
[30.94762039 30.05714417]
[26.18095207 31.41904831]
[30.84285736 29.48095322]
[27.33333397 30.84285736]
[30.84285736 29.48095322]
[27.33333397 30.84285736]
[30.84285736 29.48095322]
[27.33333397 30.84285736]
[30.84285736 29.48095322]
[27.33333397 30.84285736]
[29.95238113 28.43333435]
