<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083E60>
[25.5        30.10952377]
[29.06190491 23.98095322]
[25.91904831 31.73333359]
[27.0714283  24.60952377]
[25.91904831 31.73333359]
[30.58095169 25.29047585]
[25.91904831 31.73333359]
[30.58095169 25.29047585]
[27.22857094 31.31428528]
[30.58095169 25.29047585]
[27.90952301 31.7857132 ]
[31.         24.92380905]
[29.63809586 30.42380905]
[31.         24.92380905]
[29.63809586 30.42380905]
[30.89523697 24.45238113]
[29.63809586 30.42380905]
[30.89523697 24.45238113]
[28.79999924 28.59047699]
[23.71904755 31.        ]
[27.90952301 31.7857132 ]
[31.         24.92380905]
[29.63809586 30.42380905]
[30.89523697 24.45238113]
[29.63809586 30.42380905]
[30.89523697 24.45238113]
[28.79999924 28.59047699]
[23.71904755 31.        ]
[27.90952301 31.7857132 ]
[31.         24.92380905]
[29.63809586 30.42380905]
[30.89523697 24.45238113]
[28.79999924 28.59047699]
[23.77142906 31.89047623]
[27.90952301 31.7857132 ]
[32.88571548 23.77142906]
[29.63809586 30.42380905]
[31.94285583 23.35238075]
[29.63809586 30.42380905]
[31.94285583 23.35238075]
[28.79999924 28.59047699]
[23.71904755 31.        ]
[32.20476151 30.47619057]
[23.77142906 31.89047623]
[27.8571434  33.40952301]
[34.09047699 24.29523849]
[30.00476074 32.51904678]
[32.88571548 23.77142906]
[29.63809586 30.42380905]
[31.94285583 23.35238075]
[31.83809662 30.68571472]
[23.56190491 32.04761887]
[30.26666641 32.57142639]
[32.1523819  24.19047546]
[31.83809662 30.68571472]
[23.56190491 32.04761887]
[28.43333435 33.14762115]
[33.09523773 24.60952377]
[28.27619171 32.36190414]
[32.1523819  24.19047546]
[29.63809586 31.10476303]
[31.41904831 23.77142906]
[29.63809586 31.10476303]
[31.41904831 23.77142906]
[30.26666641 28.43333435]
[23.50952339 30.79047585]
[31.83809662 30.68571472]
[23.56190491 32.04761887]
[28.43333435 33.14762115]
[33.09523773 24.60952377]
[30.26666641 32.57142639]
[32.1523819  24.19047546]
[31.83809662 30.68571472]
[23.56190491 32.04761887]
[28.43333435 33.14762115]
[33.09523773 24.60952377]
[30.26666641 32.57142639]
[32.1523819  24.19047546]
[31.83809662 30.68571472]
[23.56190491 32.04761887]
[30.26666641 32.57142639]
[33.09523773 24.60952377]
[30.26666641 32.57142639]
[32.1523819  24.19047546]
[31.83809662 30.68571472]
[23.56190491 32.04761887]
[30.26666641 32.57142639]
[32.1523819  24.19047546]
[30.26666641 32.57142639]
[32.1523819  24.19047546]
[31.83809662 30.68571472]
[23.56190491 32.04761887]
[30.26666641 32.57142639]
[32.1523819  24.19047546]
[31.83809662 30.68571472]
[23.35238075 32.09999847]
[28.43333435 33.14762115]
[33.09523773 24.60952377]
[30.26666641 32.57142639]
[32.1523819  24.19047546]
[29.63809586 31.10476303]
[32.1523819  24.19047546]
[31.83809662 30.68571472]
[23.56190491 32.04761887]
[30.26666641 32.57142639]
[32.1523819  24.19047546]
[31.83809662 30.68571472]
[23.35238075 32.09999847]
[28.43333435 33.14762115]
[33.09523773 24.60952377]
[28.27619171 32.36190414]
[32.1523819  24.19047546]
[29.63809586 31.10476303]
[32.1523819  24.19047546]
[29.63809586 31.10476303]
[31.41904831 23.77142906]
[30.26666641 28.43333435]
[23.50952339 30.79047585]
[31.83809662 30.68571472]
[23.35238075 32.09999847]
[28.43333435 33.14762115]
[33.09523773 24.60952377]
[30.26666641 32.57142639]
[32.1523819  24.19047546]
[31.83809662 30.68571472]
[23.35238075 32.09999847]
[28.43333435 33.14762115]
[33.09523773 24.60952377]
[28.27619171 32.36190414]
[32.1523819  24.19047546]
[29.63809586 31.10476303]
[32.1523819  24.19047546]
[29.63809586 31.10476303]
[31.41904831 23.77142906]
[30.26666641 28.43333435]
[23.50952339 30.79047585]
[31.83809662 30.68571472]
[23.35238075 32.09999847]
[28.43333435 33.14762115]
[33.09523773 24.60952377]
[30.26666641 32.57142639]
[32.1523819  24.19047546]
[31.83809662 30.68571472]
[23.35238075 32.09999847]
[28.43333435 33.14762115]
[33.09523773 24.60952377]
[28.27619171 32.36190414]
[32.1523819  24.19047546]
[29.63809586 31.10476303]
[32.1523819  24.19047546]
[29.63809586 31.10476303]
[31.41904831 23.77142906]
[27.49047661 28.27619171]
[28.06666565 23.61428642]
[28.79999924 27.70000076]
[23.50952339 29.63809586]
[29.95238113 29.37619019]
[23.45714188 30.37142944]
[28.69523811 30.79047585]
[30.73809433 24.19047546]
[29.95238113 29.37619019]
[23.45714188 30.37142944]
[27.43809509 31.10476303]
[31.26190567 24.45238113]
[28.69523811 30.79047585]
[30.73809433 24.19047546]
[29.95238113 29.37619019]
[23.45714188 30.37142944]
[27.43809509 31.10476303]
[31.26190567 24.45238113]
[28.69523811 30.79047585]
[30.73809433 24.19047546]
[29.95238113 29.37619019]
[23.45714188 30.37142944]
[28.69523811 30.79047585]
[31.26190567 24.45238113]
[28.69523811 30.79047585]
[30.73809433 24.19047546]
[29.95238113 29.37619019]
[23.45714188 30.37142944]
[28.69523811 30.79047585]
[30.73809433 24.19047546]
[29.95238113 29.37619019]
[23.19523811 30.47619057]
[27.43809509 31.10476303]
[31.26190567 24.45238113]
[28.69523811 30.79047585]
[30.73809433 24.19047546]
[29.95238113 29.37619019]
[23.19523811 30.47619057]
[27.43809509 31.10476303]
[31.26190567 24.45238113]
[27.12380981 30.79047585]
[30.73809433 24.19047546]
[28.17142868 30.00476074]
[30.73809433 24.19047546]
[28.17142868 30.00476074]
[30.42380905 23.82381058]
[28.79999924 27.70000076]
[23.50952339 29.63809586]
[29.95238113 29.37619019]
[23.19523811 30.47619057]
[27.43809509 31.10476303]
[31.26190567 24.45238113]
[28.69523811 30.79047585]
[30.73809433 24.19047546]
[29.95238113 29.37619019]
