<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083E60>
[25.5       27.8571434]
[28.95714188 22.04285812]
[24.81904793 29.8476181 ]
[27.49047661 22.51428604]
[24.81904793 29.8476181 ]
[29.21904755 23.03809547]
[24.81904793 29.8476181 ]
[29.21904755 23.03809547]
[25.60476303 29.63809586]
[29.21904755 23.03809547]
[26.39047623 30.79047585]
[29.69047546 22.82857132]
[27.33333397 29.00952339]
[29.69047546 22.82857132]
[27.33333397 29.00952339]
[28.59047699 22.25238037]
[27.33333397 29.00952339]
[28.59047699 22.25238037]
[26.75714302 26.96666718]
[27.17618942 22.14761925]
[26.75714302 26.96666718]
[27.17618942 22.14761925]
[26.75714302 26.96666718]
[27.17618942 22.14761925]
[26.75714302 26.96666718]
[27.28095245 21.78095245]
[26.39047623 24.45238113]
[22.46190453 26.86190414]
[30.31904793 26.39047623]
[23.03809547 31.99523926]
[30.31904793 26.39047623]
[23.03809547 31.99523926]
[29.95238113 31.94285583]
[31.83809662 22.14761925]
[32.78095245 28.48571396]
[22.93333435 32.72857285]
[29.95238113 31.94285583]
[31.83809662 22.14761925]
[32.78095245 28.48571396]
[22.93333435 32.72857285]
[29.95238113 31.94285583]
[31.83809662 22.14761925]
[32.78095245 28.48571396]
[22.93333435 32.72857285]
[29.95238113 31.94285583]
[31.83809662 22.14761925]
[32.78095245 28.48571396]
[22.93333435 32.72857285]
[29.95238113 31.94285583]
[32.04761887 22.51428604]
[32.78095245 28.48571396]
[22.67142868 31.68095207]
[27.59523773 31.99523926]
[32.04761887 22.51428604]
[29.95238113 31.94285583]
[31.83809662 22.14761925]
[32.78095245 28.48571396]
[22.93333435 32.72857285]
[29.95238113 31.94285583]
[31.83809662 22.14761925]
[32.78095245 28.48571396]
[22.93333435 32.72857285]
[29.95238113 31.94285583]
[31.83809662 22.14761925]
[32.78095245 28.48571396]
[23.09047699 31.68095207]
[29.95238113 31.94285583]
[31.83809662 22.14761925]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[27.59523773 31.99523926]
[32.04761887 22.51428604]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[27.28095245 31.15714264]
[31.20952415 22.14761925]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[27.28095245 31.15714264]
[31.20952415 22.14761925]
[31.57619095 27.80476189]
[22.7761898  30.52857208]
[27.28095245 31.15714264]
[31.20952415 22.14761925]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[27.28095245 31.15714264]
[31.20952415 22.14761925]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
[29.48095322 30.84285736]
[31.15714264 21.83333397]
[31.57619095 27.80476189]
[23.09047699 31.68095207]
