<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083E60>
[26.33809471 28.6428566 ]
[28.6428566  23.03809547]
[26.39047623 30.00476074]
[28.27619171 23.82381058]
[26.39047623 30.00476074]
[30.94762039 24.45238113]
[26.39047623 30.00476074]
[30.94762039 24.45238113]
[26.80952454 29.89999962]
[30.94762039 24.45238113]
[26.96666718 31.36666679]
[31.47142792 23.56190491]
[28.17142868 28.74761963]
[31.47142792 23.56190491]
[28.17142868 28.74761963]
[29.95238113 22.7761898 ]
[28.17142868 28.74761963]
[29.95238113 22.7761898 ]
[27.64761925 26.70476151]
[23.03809547 31.05237961]
[26.96666718 31.36666679]
[31.47142792 23.56190491]
[28.17142868 28.74761963]
[29.95238113 22.7761898 ]
[28.17142868 28.74761963]
[29.95238113 22.7761898 ]
[27.64761925 26.70476151]
[23.03809547 31.05237961]
[26.96666718 31.36666679]
[31.47142792 23.56190491]
[28.17142868 28.74761963]
[29.95238113 22.7761898 ]
[27.64761925 26.70476151]
[22.88095284 32.36190414]
[26.96666718 31.36666679]
[33.14762115 22.40952301]
[28.17142868 28.74761963]
[30.52857208 21.93809509]
[28.17142868 28.74761963]
[30.52857208 21.93809509]
[27.64761925 26.70476151]
[23.03809547 31.05237961]
[32.93809509 29.06190491]
[22.88095284 32.36190414]
[28.43333435 32.99047852]
[33.51428604 23.09047699]
[30.73809433 33.04285812]
[33.14762115 22.40952301]
[28.17142868 28.74761963]
[30.52857208 21.93809509]
[32.72857285 29.27142715]
[22.88095284 32.1523819 ]
[30.73809433 33.09523773]
[32.20476151 22.56666565]
[32.72857285 29.27142715]
[22.88095284 32.1523819 ]
[28.38095284 32.99047852]
[33.04285812 23.1428566 ]
[27.17618942 31.47142792]
[32.20476151 22.56666565]
[28.27619171 29.11428452]
[30.00476074 22.14761925]
[28.27619171 29.11428452]
[30.00476074 22.14761925]
[30.52857208 26.91428566]
[22.93333435 30.79047585]
[32.72857285 29.27142715]
[22.88095284 32.1523819 ]
[28.38095284 32.99047852]
[33.04285812 23.1428566 ]
[30.73809433 33.09523773]
[32.20476151 22.56666565]
[32.72857285 29.27142715]
[22.88095284 32.1523819 ]
[28.38095284 32.99047852]
[33.04285812 23.1428566 ]
[30.73809433 33.09523773]
[32.20476151 22.56666565]
[32.72857285 29.27142715]
[22.88095284 32.1523819 ]
[30.73809433 33.09523773]
[33.04285812 23.1428566 ]
[30.73809433 33.09523773]
[32.20476151 22.56666565]
[32.72857285 29.27142715]
[22.88095284 32.1523819 ]
[30.73809433 33.09523773]
[32.20476151 22.56666565]
[30.73809433 33.09523773]
[32.20476151 22.56666565]
[32.72857285 29.27142715]
[22.88095284 32.1523819 ]
[30.73809433 33.09523773]
[32.20476151 22.56666565]
[32.72857285 29.27142715]
[22.61904716 31.15714264]
[28.38095284 32.99047852]
[33.04285812 23.1428566 ]
[30.73809433 33.09523773]
[32.20476151 22.56666565]
[28.27619171 29.11428452]
[32.20476151 22.56666565]
[32.72857285 29.27142715]
[22.88095284 32.1523819 ]
[30.73809433 33.09523773]
[32.20476151 22.56666565]
[32.72857285 29.27142715]
[22.61904716 31.15714264]
[28.38095284 32.99047852]
[33.04285812 23.1428566 ]
[27.17618942 31.47142792]
[32.20476151 22.56666565]
[28.27619171 29.11428452]
[32.20476151 22.56666565]
[28.27619171 29.11428452]
[30.00476074 22.14761925]
[30.52857208 26.91428566]
[22.93333435 30.79047585]
[32.72857285 29.27142715]
[22.61904716 31.15714264]
[28.38095284 32.99047852]
[33.04285812 23.1428566 ]
[30.73809433 33.09523773]
