<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083E60>
[26.12857056 26.70476151]
[27.75238037 22.46190453]
[25.34285736 28.32857132]
[26.70476151 23.03809547]
[25.34285736 28.32857132]
[29.37619019 23.61428642]
[25.34285736 28.32857132]
[29.37619019 23.61428642]
[26.18095207 28.48571396]
[29.37619019 23.61428642]
[26.60000038 29.4285717 ]
[29.32381058 22.56666565]
[28.06666565 29.16666794]
[29.32381058 22.56666565]
[28.06666565 29.16666794]
[28.48571396 22.56666565]
[28.06666565 29.16666794]
[28.48571396 22.56666565]
[27.70000076 26.91428566]
[24.45238113 31.36666679]
[26.60000038 29.4285717 ]
[29.32381058 22.56666565]
[28.06666565 29.16666794]
[28.48571396 22.56666565]
[28.06666565 29.16666794]
[28.48571396 22.56666565]
[27.70000076 26.91428566]
[24.45238113 31.36666679]
[26.60000038 29.4285717 ]
[29.32381058 22.56666565]
[28.06666565 29.16666794]
[28.48571396 22.56666565]
[27.70000076 26.91428566]
[24.08571434 32.20476151]
[26.60000038 29.4285717 ]
[31.57619095 21.93809509]
[28.06666565 29.16666794]
[29.58571434 21.93809509]
[28.06666565 29.16666794]
[29.58571434 21.93809509]
[27.70000076 26.91428566]
[24.45238113 31.36666679]
[31.20952415 28.74761963]
[24.08571434 32.20476151]
[27.75238037 31.36666679]
[31.99523926 22.46190453]
[29.16666794 30.73809433]
[31.57619095 21.93809509]
[28.06666565 29.16666794]
[29.58571434 21.93809509]
[31.31428528 29.16666794]
[24.03333282 31.62857056]
[29.06190491 31.73333359]
[31.89047623 22.04285812]
[31.31428528 29.16666794]
[24.03333282 31.62857056]
[27.43809509 32.04761887]
[32.09999847 22.40952301]
[26.86190414 30.37142944]
[31.89047623 22.04285812]
[28.38095284 29.63809586]
[30.00476074 21.78095245]
[28.38095284 29.63809586]
[30.00476074 21.78095245]
[29.8476181  26.12857056]
[24.50476074 31.05237961]
[31.31428528 29.16666794]
[24.03333282 31.62857056]
[27.43809509 32.04761887]
[32.09999847 22.40952301]
[29.06190491 31.73333359]
[31.89047623 22.04285812]
[31.31428528 29.16666794]
[24.03333282 31.62857056]
[27.43809509 32.04761887]
[32.09999847 22.40952301]
[29.06190491 31.73333359]
[31.89047623 22.04285812]
[31.31428528 29.16666794]
[24.03333282 31.62857056]
[29.06190491 31.73333359]
[32.09999847 22.40952301]
[29.06190491 31.73333359]
[31.89047623 22.04285812]
[31.31428528 29.16666794]
[24.03333282 31.62857056]
[29.06190491 31.73333359]
[31.89047623 22.04285812]
[29.06190491 31.73333359]
[31.89047623 22.04285812]
[31.31428528 29.16666794]
[24.03333282 31.62857056]
[29.06190491 31.73333359]
[31.89047623 22.04285812]
[31.31428528 29.16666794]
[23.50952339 30.68571472]
[27.43809509 32.04761887]
[32.09999847 22.40952301]
[29.06190491 31.73333359]
[31.89047623 22.04285812]
[28.38095284 29.63809586]
[31.89047623 22.04285812]
[31.31428528 29.16666794]
[24.03333282 31.62857056]
[29.06190491 31.73333359]
[31.89047623 22.04285812]
[31.31428528 29.16666794]
[23.50952339 30.68571472]
[27.43809509 32.04761887]
[32.09999847 22.40952301]
[26.86190414 30.37142944]
[31.89047623 22.04285812]
[28.38095284 29.63809586]
[31.89047623 22.04285812]
[28.38095284 29.63809586]
[30.00476074 21.78095245]
[29.8476181  26.12857056]
[24.50476074 31.05237961]
[31.31428528 29.16666794]
[23.50952339 30.68571472]
[27.43809509 32.04761887]
[32.09999847 22.40952301]
[29.06190491 31.73333359]
[31.89047623 22.04285812]
[31.31428528 29.16666794]
[23.50952339 30.68571472]
[27.43809509 32.04761887]
[32.09999847 22.40952301]
[26.86190414 30.37142944]
[31.89047623 22.04285812]
[28.38095284 29.63809586]
[31.89047623 22.04285812]
[28.38095284 29.63809586]
[30.00476074 21.78095245]
[29.8476181  26.12857056]
[24.50476074 31.05237961]
[31.31428528 29.16666794]
[23.50952339 30.68571472]
[27.43809509 32.04761887]
[32.09999847 22.40952301]
[29.06190491 31.73333359]
[31.89047623 22.04285812]
[31.31428528 29.16666794]
[23.50952339 30.68571472]
[27.43809509 32.04761887]
[32.09999847 22.40952301]
[26.86190414 30.37142944]
[31.89047623 22.04285812]
[28.38095284 29.63809586]
[31.89047623 22.04285812]
[28.38095284 29.63809586]
[30.00476074 21.78095245]
[27.70000076 26.07619095]
[24.87142944 29.00952339]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
[29.69047546 27.90952301]
[24.29523849 29.58571434]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
[29.69047546 27.90952301]
[23.66666603 28.85238075]
[26.60000038 29.8476181 ]
[30.10952377 22.30476189]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
[27.70000076 28.53809547]
[29.69047546 22.09523773]
[27.70000076 28.53809547]
[28.74761963 21.78095245]
[28.85238075 25.34285736]
[24.87142944 29.00952339]
[29.69047546 27.90952301]
[23.66666603 28.85238075]
[26.60000038 29.8476181 ]
[30.10952377 22.30476189]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
[29.69047546 27.90952301]
[23.66666603 28.85238075]
[26.60000038 29.8476181 ]
[30.10952377 22.30476189]
[26.18095207 29.06190491]
[29.69047546 22.09523773]
[27.70000076 28.53809547]
[29.69047546 22.09523773]
[27.70000076 28.53809547]
[28.74761963 21.78095245]
[28.85238075 25.34285736]
[24.87142944 29.00952339]
[29.69047546 27.90952301]
[23.66666603 28.85238075]
[26.60000038 29.8476181 ]
[30.10952377 22.30476189]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
[29.69047546 27.90952301]
[24.29523849 29.58571434]
[26.60000038 29.8476181 ]
[30.10952377 22.30476189]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
[29.69047546 27.90952301]
[24.29523849 29.58571434]
[26.60000038 29.8476181 ]
[30.10952377 22.30476189]
[26.18095207 29.06190491]
[29.69047546 22.09523773]
[27.70000076 28.53809547]
[28.74761963 21.78095245]
[27.70000076 28.53809547]
[28.74761963 21.78095245]
[28.85238075 25.34285736]
[24.87142944 29.00952339]
[29.69047546 27.90952301]
[24.29523849 29.58571434]
[26.60000038 29.8476181 ]
[30.10952377 22.30476189]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
[29.69047546 27.90952301]
[24.29523849 29.58571434]
[26.60000038 29.8476181 ]
[30.10952377 22.30476189]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
[29.69047546 27.90952301]
[24.29523849 29.58571434]
[27.64761925 29.69047546]
[30.10952377 22.30476189]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
[29.69047546 27.90952301]
[24.29523849 29.58571434]
[27.64761925 29.69047546]
[30.10952377 22.30476189]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
[29.69047546 27.90952301]
[24.29523849 29.58571434]
[27.64761925 29.69047546]
[30.10952377 22.30476189]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
[29.69047546 27.90952301]
[24.29523849 29.58571434]
[27.64761925 29.69047546]
[29.69047546 22.09523773]
