<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083E60>
[26.60000038 28.6428566 ]
[29.53333282 23.87619019]
[27.17618942 29.48095322]
[28.11904716 24.76666641]
[27.17618942 29.48095322]
[31.73333359 25.60476303]
[27.17618942 29.48095322]
[31.73333359 25.60476303]
[28.74761963 29.06190491]
[31.73333359 25.60476303]
[28.22380829 29.16666794]
[31.10476303 24.29523849]
[30.73809433 27.01904678]
[23.1428566  30.31904793]
[26.33809471 29.74285698]
[31.31428528 25.02857208]
[26.33809471 29.74285698]
[31.31428528 25.02857208]
[28.22380829 29.16666794]
[31.31428528 25.02857208]
[28.22380829 29.16666794]
[31.10476303 24.29523849]
[30.73809433 27.01904678]
[23.1428566  30.31904793]
[26.33809471 29.74285698]
[31.31428528 25.02857208]
[26.33809471 29.74285698]
[31.31428528 25.02857208]
[26.33809471 29.74285698]
[31.31428528 25.02857208]
[28.22380829 29.16666794]
[31.31428528 25.02857208]
[28.22380829 29.16666794]
[31.31428528 25.02857208]
[28.22380829 29.16666794]
[31.10476303 24.29523849]
[28.22380829 29.16666794]
[31.10476303 24.29523849]
[30.73809433 27.01904678]
[23.1428566  30.31904793]
[26.33809471 29.74285698]
[31.31428528 25.02857208]
[24.76666641 27.90952301]
[31.31428528 25.02857208]
[25.23809433 28.01428604]
[29.79523849 25.18571472]
[25.23809433 28.01428604]
[29.79523849 25.18571472]
[25.23809433 28.01428604]
[29.79523849 25.18571472]
[25.23809433 28.01428604]
[29.79523849 25.18571472]
[25.23809433 28.01428604]
[28.48571396 26.49523926]
[25.23809433 28.01428604]
[28.48571396 26.49523926]
[25.23809433 28.01428604]
[28.48571396 26.49523926]
[25.23809433 28.01428604]
[28.48571396 26.49523926]
[25.23809433 28.01428604]
[28.48571396 26.49523926]
[25.23809433 28.01428604]
[28.48571396 26.49523926]
[25.23809433 28.01428604]
[28.48571396 26.49523926]
[25.23809433 28.01428604]
[25.65714264 25.13333321]
[25.23809433 28.01428604]
[25.65714264 25.13333321]
[24.03333282 25.91904831]
[25.65714264 25.13333321]
[24.03333282 25.91904831]
[25.65714264 25.13333321]
[24.03333282 25.91904831]
[25.65714264 25.13333321]
[23.19523811 24.92380905]
[25.34285736 26.80952454]
[24.92380905 22.20000076]
[25.34285736 26.80952454]
[24.92380905 22.20000076]
[27.49047661 29.06190491]
[32.67618942 23.50952339]
[27.49047661 29.06190491]
[30.52857208 22.61904716]
[28.06666565 25.23809433]
[24.81904793 26.6523819 ]
[27.59523773 26.60000038]
[24.24285698 27.17618942]
[27.0714283  27.75238037]
[30.73809433 23.19523811]
[27.59523773 26.60000038]
[24.24285698 27.17618942]
[27.0714283  27.75238037]
[30.73809433 23.19523811]
[27.59523773 26.60000038]
[24.24285698 27.17618942]
[27.0714283  27.75238037]
[30.73809433 23.19523811]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.59523773 26.60000038]
[24.24285698 27.17618942]
[27.0714283  27.75238037]
[30.73809433 23.19523811]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.59523773 26.60000038]
[24.24285698 27.17618942]
[26.44285774 27.90952301]
[30.73809433 23.19523811]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[26.44285774 27.90952301]
[30.73809433 23.19523811]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.59523773 26.60000038]
[24.24285698 27.17618942]
[27.0714283  27.75238037]
[30.73809433 23.19523811]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[28.17142868 25.65714264]
[24.81904793 26.6523819 ]
[27.01904678 27.43809509]
[30.52857208 22.61904716]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.81904793 25.97142792]
[26.54761887 22.7761898 ]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.81904793 25.97142792]
[26.54761887 22.7761898 ]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[25.39523697 24.87142944]
[23.71904755 24.87142944]
[25.18571472 25.97142792]
[26.54761887 22.7761898 ]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[25.39523697 24.87142944]
[23.71904755 24.87142944]
[25.18571472 25.97142792]
[26.54761887 22.7761898 ]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[25.39523697 24.87142944]
[23.71904755 24.87142944]
[24.81904793 25.97142792]
[26.54761887 22.7761898 ]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.81904793 25.97142792]
[26.54761887 22.7761898 ]
[25.91904831 24.24285698]
[23.71904755 24.87142944]
[24.81904793 25.97142792]
[26.54761887 22.7761898 ]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.81904793 25.97142792]
[26.54761887 22.7761898 ]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[25.39523697 24.87142944]
[23.71904755 24.87142944]
[25.18571472 25.97142792]
[26.54761887 22.7761898 ]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[25.39523697 24.87142944]
[23.71904755 24.87142944]
[24.81904793 25.97142792]
[26.54761887 22.7761898 ]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.54761887 22.7761898 ]
[25.91904831 24.24285698]
[23.71904755 24.87142944]
[24.81904793 25.97142792]
[26.54761887 22.7761898 ]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.97619057 25.23809433]
[26.80952454 22.20000076]
[25.91904831 24.24285698]
[24.19047546 24.45238113]
[24.81904793 25.97142792]
[26.54761887 22.7761898 ]
[23.29999924 23.66666603]
[23.87619019 21.99047661]
[23.87619019 23.19523811]
[23.1428566  23.03809547]
[21.88571358 23.45714188]
[22.46190453 23.61428642]
[22.56666565 23.50952339]
[22.61904716 22.30476189]
[23.1428566  24.39999962]
[23.82381058 22.51428604]
[23.1428566  24.39999962]
[23.82381058 22.51428604]
[23.29999924 23.66666603]
[23.87619019 21.99047661]
[23.87619019 23.19523811]
[22.30476189 23.45714188]
[23.1428566  24.39999962]
[23.82381058 22.51428604]
[23.29999924 23.66666603]
[23.87619019 21.99047661]
[23.87619019 23.19523811]
[22.46190453 23.24761963]
[23.1428566  24.39999962]
[23.82381058 22.51428604]
[23.29999924 23.66666603]
[23.87619019 21.99047661]
[23.87619019 23.19523811]
[22.46190453 23.24761963]
[23.29999924 23.66666603]
[23.82381058 22.51428604]
[23.29999924 23.66666603]
[23.87619019 21.99047661]
[23.87619019 23.19523811]
[22.46190453 23.24761963]
[23.29999924 23.66666603]
[23.87619019 21.99047661]
[23.29999924 23.66666603]
[23.87619019 21.99047661]
[23.87619019 23.19523811]
[22.46190453 23.24761963]
[23.29999924 23.66666603]
[23.87619019 21.99047661]
[23.87619019 23.19523811]
[22.30476189 23.45714188]
[23.1428566  24.39999962]
[23.82381058 22.51428604]
[23.29999924 23.66666603]
[23.87619019 21.99047661]
[23.87619019 23.19523811]
[22.30476189 23.45714188]
[23.1428566  24.39999962]
[23.82381058 22.51428604]
[22.88095284 22.93333435]
[23.87619019 21.99047661]
[23.45714188 22.7238102 ]
[22.30476189 23.45714188]
[22.7761898  23.66666603]
[23.82381058 22.51428604]
[22.88095284 22.93333435]
[23.03809547 22.14761925]
[22.88095284 22.93333435]
[23.03809547 22.14761925]
[23.45714188 22.7238102 ]
[22.46190453 23.24761963]
[22.88095284 22.93333435]
[23.1428566 22.7761898]
[22.88095284 22.93333435]
[23.03809547 22.14761925]
[23.45714188 22.7238102 ]
[22.46190453 23.24761963]
[22.7761898  23.66666603]
[23.1428566 22.7761898]
[22.88095284 22.93333435]
[23.03809547 22.14761925]
[23.45714188 22.7238102 ]
[22.30476189 23.45714188]
[22.7761898  23.66666603]
[23.1428566 22.7761898]
