<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083D80>
[23.9285717  27.28095245]
[27.17618942 23.56190491]
[24.50476074 28.48571396]
[25.76190567 24.19047546]
[24.50476074 28.48571396]
[28.22380829 25.39523697]
[24.50476074 28.48571396]
[28.22380829 25.39523697]
[25.97142792 29.8476181 ]
[28.22380829 25.39523697]
[25.91904831 29.53333282]
[29.4285717  25.81428528]
[27.54285812 29.11428452]
[29.4285717  25.81428528]
[27.54285812 29.11428452]
[29.16666794 25.02857208]
[27.54285812 29.11428452]
[29.16666794 25.02857208]
[27.80476189 28.32857132]
[28.69523811 24.3476181 ]
[27.80476189 28.32857132]
[28.69523811 24.3476181 ]
[27.80476189 28.32857132]
[28.69523811 24.3476181 ]
[27.80476189 28.32857132]
[28.48571396 23.71904755]
[28.43333435 26.49523926]
[23.56190491 28.01428604]
[30.63333321 28.17142868]
[25.34285736 31.52380943]
[30.63333321 28.17142868]
[25.34285736 31.52380943]
[27.59523773 30.73809433]
[31.57619095 24.92380905]
[30.26666641 29.32381058]
[24.87142944 31.20952415]
[27.59523773 30.73809433]
[31.57619095 24.92380905]
[30.26666641 29.32381058]
[24.87142944 31.20952415]
[27.59523773 30.73809433]
[31.57619095 24.92380905]
[30.26666641 29.32381058]
[24.87142944 31.20952415]
[27.59523773 30.73809433]
[31.57619095 24.92380905]
[30.26666641 29.32381058]
[24.87142944 31.20952415]
[27.59523773 30.73809433]
[30.63333321 24.7142868 ]
[30.26666641 29.32381058]
[24.03333282 29.79523849]
[25.5        29.79523849]
[30.63333321 24.7142868 ]
[27.59523773 30.73809433]
[31.57619095 24.92380905]
[30.26666641 29.32381058]
[24.87142944 31.20952415]
[27.59523773 30.73809433]
[31.57619095 24.92380905]
[30.26666641 29.32381058]
[24.87142944 31.20952415]
[27.59523773 30.73809433]
[31.57619095 24.92380905]
[30.26666641 29.32381058]
[24.39999962 29.32381058]
[27.59523773 30.73809433]
[31.57619095 24.92380905]
[29.11428452 28.06666565]
[24.39999962 29.32381058]
[25.5        29.79523849]
[30.63333321 24.7142868 ]
[26.70476151 29.32381058]
