<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083D80>
[25.70952415 26.6523819 ]
[28.17142868 23.09047699]
[25.60476303 28.90476227]
[27.22857094 23.98095322]
[25.60476303 28.90476227]
[30.26666641 25.23809433]
[25.60476303 28.90476227]
[30.26666641 25.23809433]
[26.91428566 30.16190338]
[30.26666641 25.23809433]
[26.80952454 30.16190338]
[30.84285736 25.02857208]
[28.85238075 29.16666794]
[30.84285736 25.02857208]
[28.85238075 29.16666794]
[30.00476074 24.24285698]
[28.85238075 29.16666794]
[30.00476074 24.24285698]
[28.59047699 27.90952301]
[24.29523849 30.73809433]
[26.80952454 30.16190338]
[30.84285736 25.02857208]
[28.85238075 29.16666794]
[30.00476074 24.24285698]
[28.85238075 29.16666794]
[30.00476074 24.24285698]
[28.59047699 27.90952301]
[24.29523849 30.73809433]
[26.80952454 30.16190338]
[30.84285736 25.02857208]
[28.85238075 29.16666794]
[30.00476074 24.24285698]
[28.59047699 27.90952301]
[23.98095322 30.94762039]
[26.80952454 30.16190338]
[31.99523926 23.77142906]
[28.85238075 29.16666794]
[30.10952377 23.24761963]
[28.85238075 29.16666794]
[30.10952377 23.24761963]
[28.59047699 27.90952301]
[24.29523849 30.73809433]
[31.52380943 29.06190491]
[23.98095322 30.94762039]
[26.80952454 30.37142944]
[31.52380943 23.71904755]
[28.79999924 31.52380943]
[31.99523926 23.77142906]
[28.85238075 29.16666794]
[30.10952377 23.24761963]
[30.52857208 27.8571434 ]
[23.61428642 30.00476074]
[28.06666565 30.05714417]
[30.68571472 23.45714188]
[30.52857208 27.8571434 ]
[23.61428642 30.00476074]
[26.49523926 29.21904755]
[30.31904793 23.50952339]
[26.18095207 29.11428452]
[30.68571472 23.45714188]
[28.11904716 28.22380829]
[28.69523811 22.88095284]
[28.11904716 28.22380829]
[28.69523811 22.88095284]
[30.2142868 26.2857132]
[23.87619019 29.63809586]
[30.52857208 27.8571434 ]
[23.61428642 30.00476074]
[26.49523926 29.21904755]
[30.31904793 23.50952339]
[28.06666565 30.05714417]
[30.68571472 23.45714188]
[30.52857208 27.8571434 ]
[23.61428642 30.00476074]
[26.49523926 29.21904755]
[30.31904793 23.50952339]
[28.06666565 30.05714417]
[30.68571472 23.45714188]
[30.52857208 27.8571434 ]
[23.61428642 30.00476074]
[28.06666565 30.05714417]
[30.31904793 23.50952339]
[28.06666565 30.05714417]
[30.68571472 23.45714188]
[30.52857208 27.8571434 ]
[23.61428642 30.00476074]
[28.06666565 30.05714417]
[30.68571472 23.45714188]
[28.06666565 30.05714417]
[30.68571472 23.45714188]
[30.52857208 27.8571434 ]
[23.61428642 30.00476074]
[28.06666565 30.05714417]
[30.68571472 23.45714188]
[30.52857208 27.8571434 ]
[23.24761963 28.43333435]
[26.49523926 29.21904755]
[30.31904793 23.50952339]
[28.06666565 30.05714417]
[30.68571472 23.45714188]
[28.11904716 28.22380829]
[30.68571472 23.45714188]
[30.52857208 27.8571434 ]
[23.61428642 30.00476074]
[28.06666565 30.05714417]
[30.68571472 23.45714188]
[30.52857208 27.8571434 ]
[23.24761963 28.43333435]
[26.49523926 29.21904755]
[30.31904793 23.50952339]
[26.18095207 29.11428452]
[30.68571472 23.45714188]
[28.11904716 28.22380829]
[30.68571472 23.45714188]
[28.11904716 28.22380829]
[28.69523811 22.88095284]
[30.2142868 26.2857132]
[23.87619019 29.63809586]
[30.52857208 27.8571434 ]
[23.24761963 28.43333435]
[26.49523926 29.21904755]
[30.31904793 23.50952339]
[28.06666565 30.05714417]
[30.68571472 23.45714188]
[30.52857208 27.8571434 ]
[23.24761963 28.43333435]
[26.49523926 29.21904755]
[30.31904793 23.50952339]
[26.18095207 29.11428452]
[30.68571472 23.45714188]
[28.11904716 28.22380829]
[30.68571472 23.45714188]
[28.11904716 28.22380829]
[28.69523811 22.88095284]
[30.2142868 26.2857132]
[23.87619019 29.63809586]
[30.52857208 27.8571434 ]
[23.24761963 28.43333435]
[26.49523926 29.21904755]
[30.31904793 23.50952339]
[28.06666565 30.05714417]
[30.68571472 23.45714188]
[30.52857208 27.8571434 ]
[23.24761963 28.43333435]
[26.49523926 29.21904755]
[30.31904793 23.50952339]
[26.18095207 29.11428452]
[30.68571472 23.45714188]
[28.11904716 28.22380829]
[30.68571472 23.45714188]
[28.11904716 28.22380829]
[28.69523811 22.88095284]
[26.2857132  25.70952415]
[23.35238075 27.64761925]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.22380829 25.29047585]
[23.35238075 27.64761925]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[24.97619057 27.59523773]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.22380829 25.29047585]
[23.35238075 27.64761925]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[24.97619057 27.59523773]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.22380829 25.29047585]
[23.35238075 27.64761925]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.22380829 25.29047585]
[23.35238075 27.64761925]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[24.97619057 27.59523773]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.22380829 25.29047585]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.43333435 23.29999924]
[24.97619057 27.59523773]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.22380829 25.29047585]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[24.97619057 27.59523773]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.22380829 25.29047585]
[23.35238075 27.64761925]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[24.97619057 27.59523773]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[26.2857132  25.70952415]
[23.35238075 27.64761925]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.22380829 25.29047585]
[23.35238075 27.64761925]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[24.97619057 27.59523773]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.22380829 25.29047585]
[23.35238075 27.64761925]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[24.97619057 27.59523773]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.22380829 25.29047585]
[23.35238075 27.64761925]
[28.48571396 26.44285774]
[22.82857132 26.80952454]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[24.97619057 27.59523773]
[28.6428566  23.19523811]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[26.44285774 26.60000038]
[27.12380981 22.67142868]
[28.22380829 25.29047585]
[23.35238075 27.64761925]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
[23.1428566  27.96190453]
[25.60476303 27.8571434 ]
[28.43333435 23.29999924]
[26.60000038 28.17142868]
[28.6428566  23.19523811]
[28.48571396 26.44285774]
