<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083D80>
[25.08095169 29.06190491]
[28.06666565 24.3476181 ]
[24.87142944 30.84285736]
[26.6523819  25.44761848]
[24.87142944 30.84285736]
[29.74285698 27.01904678]
[24.87142944 30.84285736]
[29.74285698 27.01904678]
[26.39047623 31.10476303]
[29.74285698 27.01904678]
[26.49523926 31.15714264]
[30.79047585 26.49523926]
[28.06666565 30.16190338]
[30.79047585 26.49523926]
[28.06666565 30.16190338]
[30.05714417 25.60476303]
[28.06666565 30.16190338]
[30.05714417 25.60476303]
[28.32857132 29.27142715]
[28.48571396 25.02857208]
[28.32857132 29.27142715]
[28.48571396 25.02857208]
[28.32857132 29.27142715]
[28.48571396 25.02857208]
[28.32857132 29.27142715]
[28.17142868 23.98095322]
[28.22380829 26.86190414]
[23.19523811 28.48571396]
[30.84285736 28.74761963]
[24.13809586 32.41428375]
[30.84285736 28.74761963]
[24.13809586 32.41428375]
[29.21904755 32.25714111]
[31.89047623 25.08095169]
[31.62857056 30.2142868 ]
[23.61428642 32.67618942]
[29.21904755 32.25714111]
[31.89047623 25.08095169]
[31.62857056 30.2142868 ]
[23.61428642 32.67618942]
[29.21904755 32.25714111]
[31.89047623 25.08095169]
[31.62857056 30.2142868 ]
[23.61428642 32.67618942]
[29.21904755 32.25714111]
[31.89047623 25.08095169]
[31.62857056 30.2142868 ]
[23.61428642 32.67618942]
[29.21904755 32.25714111]
[31.7857132  25.60476303]
[31.62857056 30.2142868 ]
[23.19523811 31.05237961]
[26.70476151 32.25714111]
[31.7857132  25.60476303]
[29.21904755 32.25714111]
[31.89047623 25.08095169]
[31.62857056 30.2142868 ]
[23.61428642 32.67618942]
[29.21904755 32.25714111]
[31.89047623 25.08095169]
[31.62857056 30.2142868 ]
[23.61428642 32.67618942]
[29.21904755 32.25714111]
[31.89047623 25.08095169]
[31.62857056 30.2142868 ]
[23.24761963 31.36666679]
[29.21904755 32.25714111]
[31.89047623 25.08095169]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[26.70476151 32.25714111]
[31.7857132  25.60476303]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[26.2857132  30.84285736]
[30.42380905 25.02857208]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[26.2857132  30.84285736]
[30.42380905 25.02857208]
[30.10952377 29.00952339]
[22.98571396 30.16190338]
[26.2857132  30.84285736]
[30.42380905 25.02857208]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[26.2857132  30.84285736]
[30.42380905 25.02857208]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[28.43333435 30.89523697]
[30.42380905 24.66190529]
[30.10952377 29.00952339]
[23.24761963 31.36666679]
[29.4285717  30.42380905]
[30.42380905 24.66190529]
[30.68571472 28.53809547]
[23.24761963 31.36666679]
[29.4285717  30.42380905]
[30.42380905 24.66190529]
[30.68571472 28.53809547]
[23.24761963 31.36666679]
[29.4285717  30.42380905]
[30.42380905 24.66190529]
[30.68571472 28.53809547]
[23.24761963 31.36666679]
[29.4285717  30.42380905]
[30.42380905 24.66190529]
[30.68571472 28.53809547]
[23.24761963 31.36666679]
[29.4285717  30.42380905]
[30.42380905 24.66190529]
[29.79523849 27.12380981]
[23.71904755 30.94762039]
[30.68571472 28.53809547]
[23.24761963 31.36666679]
[29.4285717  30.42380905]
