<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083DF0>
[26.2857132  27.12380981]
[29.4285717  22.51428604]
[26.54761887 30.05714417]
[28.90476227 23.50952339]
[26.54761887 30.05714417]
[31.68095207 24.87142944]
[26.54761887 30.05714417]
[31.68095207 24.87142944]
[27.8571434  30.89523697]
[31.68095207 24.87142944]
[27.96190453 31.7857132 ]
[31.57619095 24.81904793]
[29.63809586 30.42380905]
[31.57619095 24.81904793]
[29.63809586 30.42380905]
[31.15714264 24.03333282]
[29.63809586 30.42380905]
[31.15714264 24.03333282]
[29.06190491 28.43333435]
[23.66666603 31.89047623]
[27.96190453 31.7857132 ]
[31.57619095 24.81904793]
[29.63809586 30.42380905]
[31.15714264 24.03333282]
[29.63809586 30.42380905]
[31.15714264 24.03333282]
[29.06190491 28.43333435]
[23.66666603 31.89047623]
[27.96190453 31.7857132 ]
[31.57619095 24.81904793]
[29.63809586 30.42380905]
[31.15714264 24.03333282]
[29.06190491 28.43333435]
[23.50952339 32.25714111]
[27.96190453 31.7857132 ]
[32.41428375 23.61428642]
[29.63809586 30.42380905]
[31.52380943 23.1428566 ]
[29.63809586 30.42380905]
[31.52380943 23.1428566 ]
[29.06190491 28.43333435]
[23.66666603 31.89047623]
[32.46666718 29.89999962]
[23.50952339 32.25714111]
[28.27619171 32.36190414]
[32.62380981 23.87619019]
[30.00476074 32.51904678]
[32.41428375 23.61428642]
[29.63809586 30.42380905]
[31.52380943 23.1428566 ]
[31.68095207 29.74285698]
[23.45714188 31.36666679]
[29.74285698 32.04761887]
[31.68095207 23.9285717 ]
[31.68095207 29.74285698]
[23.45714188 31.36666679]
[27.90952301 31.89047623]
[31.94285583 24.08571434]
[27.59523773 31.57619095]
[31.68095207 23.9285717 ]
[28.90476227 30.26666641]
[30.42380905 23.45714188]
[28.90476227 30.26666641]
[30.42380905 23.45714188]
[30.37142944 27.17618942]
[23.45714188 30.63333321]
[31.68095207 29.74285698]
[23.45714188 31.36666679]
[27.90952301 31.89047623]
[31.94285583 24.08571434]
[29.74285698 32.04761887]
[31.68095207 23.9285717 ]
[31.68095207 29.74285698]
[23.45714188 31.36666679]
[27.90952301 31.89047623]
[31.94285583 24.08571434]
[29.74285698 32.04761887]
[31.68095207 23.9285717 ]
[31.68095207 29.74285698]
[23.45714188 31.36666679]
[29.74285698 32.04761887]
[31.94285583 24.08571434]
[29.74285698 32.04761887]
[31.68095207 23.9285717 ]
[31.68095207 29.74285698]
[23.45714188 31.36666679]
[29.74285698 32.04761887]
[31.68095207 23.9285717 ]
[29.74285698 32.04761887]
[31.68095207 23.9285717 ]
[31.68095207 29.74285698]
[23.45714188 31.36666679]
[29.74285698 32.04761887]
[31.68095207 23.9285717 ]
[31.68095207 29.74285698]
[23.19523811 30.31904793]
[27.90952301 31.89047623]
[31.94285583 24.08571434]
[29.74285698 32.04761887]
[31.68095207 23.9285717 ]
[28.90476227 30.26666641]
[31.68095207 23.9285717 ]
[31.68095207 29.74285698]
[23.45714188 31.36666679]
[29.74285698 32.04761887]
[31.68095207 23.9285717 ]
[31.68095207 29.74285698]
[23.19523811 30.31904793]
[27.90952301 31.89047623]
[31.94285583 24.08571434]
[27.59523773 31.57619095]
[31.68095207 23.9285717 ]
[28.90476227 30.26666641]
[31.68095207 23.9285717 ]
[28.90476227 30.26666641]
[30.42380905 23.45714188]
[30.37142944 27.17618942]
[23.45714188 30.63333321]
[31.68095207 29.74285698]
[23.19523811 30.31904793]
[27.90952301 31.89047623]
[31.94285583 24.08571434]
[29.74285698 32.04761887]
[31.68095207 23.9285717 ]
[31.68095207 29.74285698]
[23.19523811 30.31904793]
[27.90952301 31.89047623]
[31.94285583 24.08571434]
[27.59523773 31.57619095]
[31.68095207 23.9285717 ]
[28.90476227 30.26666641]
[31.68095207 23.9285717 ]
[28.90476227 30.26666641]
[30.42380905 23.45714188]
[30.37142944 27.17618942]
[23.45714188 30.63333321]
[31.68095207 29.74285698]
[23.19523811 30.31904793]
[27.90952301 31.89047623]
[31.94285583 24.08571434]
[29.74285698 32.04761887]
[31.68095207 23.9285717 ]
[31.68095207 29.74285698]
[23.19523811 30.31904793]
[27.90952301 31.89047623]
[31.94285583 24.08571434]
[27.59523773 31.57619095]
[31.68095207 23.9285717 ]
[28.90476227 30.26666641]
[31.68095207 23.9285717 ]
[28.90476227 30.26666641]
[30.42380905 23.45714188]
[27.38571358 27.59523773]
[26.75714302 22.88095284]
[28.74761963 26.60000038]
[23.29999924 28.90476227]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[27.0714283  30.16190338]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[28.79999924 23.19523811]
[28.74761963 26.60000038]
[23.29999924 28.90476227]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[27.0714283  30.16190338]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[28.79999924 23.19523811]
[28.74761963 26.60000038]
[23.29999924 28.90476227]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[27.0714283  30.16190338]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[28.79999924 23.19523811]
[28.01428604 29.32381058]
[28.79999924 23.19523811]
[28.74761963 26.60000038]
[23.29999924 28.90476227]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[27.0714283  30.16190338]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[28.79999924 23.19523811]
[28.74761963 26.60000038]
[23.29999924 28.90476227]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[27.0714283  30.16190338]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[28.79999924 23.19523811]
[27.38571358 27.59523773]
[26.75714302 22.88095284]
[28.74761963 26.60000038]
[23.29999924 28.90476227]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[27.0714283  30.16190338]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[28.79999924 23.19523811]
[27.38571358 27.59523773]
[28.79999924 23.19523811]
[28.74761963 26.60000038]
[23.29999924 28.90476227]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[28.79999924 23.19523811]
[28.74761963 26.60000038]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[30.31904793 23.56190491]
[27.0714283  30.16190338]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[28.79999924 23.19523811]
[28.74761963 26.60000038]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.19523811 29.06190491]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[27.0714283  30.16190338]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[29.95238113 23.56190491]
[28.01428604 29.32381058]
[28.79999924 23.19523811]
[27.38571358 27.59523773]
[26.75714302 22.88095284]
[28.74761963 26.60000038]
[23.29999924 28.90476227]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[27.22857094 30.00476074]
[30.31904793 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
[23.40476227 29.69047546]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[28.53809547 30.16190338]
[29.95238113 23.56190491]
[29.95238113 28.74761963]
