<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083DF0>
[25.86666679 27.0714283 ]
[27.70000076 23.35238075]
[26.02380943 28.85238075]
[27.12380981 24.19047546]
[26.02380943 28.85238075]
[29.79523849 25.44761848]
[26.02380943 28.85238075]
[29.79523849 25.44761848]
[27.75238037 30.05714417]
[29.79523849 25.44761848]
[26.80952454 30.63333321]
[31.05237961 24.87142944]
[28.38095284 29.4285717 ]
[31.05237961 24.87142944]
[28.38095284 29.4285717 ]
[30.52857208 23.71904755]
[28.38095284 29.4285717 ]
[30.52857208 23.71904755]
[28.11904716 29.4285717 ]
[29.21904755 23.29999924]
[28.11904716 29.4285717 ]
[29.21904755 23.29999924]
[28.11904716 29.4285717 ]
[29.21904755 23.29999924]
[28.11904716 29.4285717 ]
[29.11428452 22.61904716]
[28.90476227 26.86190414]
[23.19523811 30.68571472]
[30.42380905 27.90952301]
[24.19047546 33.46190643]
[30.42380905 27.90952301]
[24.19047546 33.46190643]
[28.85238075 31.99523926]
[32.1523819  23.77142906]
[30.73809433 29.06190491]
[24.08571434 32.25714111]
[28.85238075 31.99523926]
[32.1523819  23.77142906]
[30.73809433 29.06190491]
[24.08571434 32.25714111]
[28.85238075 31.99523926]
[32.1523819  23.77142906]
[30.73809433 29.06190491]
[24.08571434 32.25714111]
[28.85238075 31.99523926]
[32.1523819  23.77142906]
[30.73809433 29.06190491]
[24.08571434 32.25714111]
[28.85238075 31.99523926]
[31.26190567 23.71904755]
[30.73809433 29.06190491]
[23.24761963 31.        ]
[26.54761887 30.63333321]
[31.26190567 23.71904755]
[28.85238075 31.99523926]
[32.1523819  23.77142906]
[30.73809433 29.06190491]
[24.08571434 32.25714111]
[28.85238075 31.99523926]
[32.1523819  23.77142906]
[30.73809433 29.06190491]
[24.08571434 32.25714111]
[28.85238075 31.99523926]
[32.1523819  23.77142906]
[30.73809433 29.06190491]
[23.71904755 31.10476303]
[28.85238075 31.99523926]
[32.1523819  23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[26.54761887 30.63333321]
[31.26190567 23.71904755]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[25.91904831 30.31904793]
[29.79523849 23.82381058]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[25.91904831 30.31904793]
[29.79523849 23.82381058]
[29.89999962 29.11428452]
[22.88095284 29.79523849]
[25.91904831 30.31904793]
[29.79523849 23.82381058]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[25.91904831 30.31904793]
[29.79523849 23.82381058]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.32857132 31.47142792]
[30.79047585 23.77142906]
[29.89999962 29.11428452]
[23.71904755 31.10476303]
[28.79999924 30.00476074]
[30.79047585 23.77142906]
[29.89999962 27.33333397]
[23.71904755 31.10476303]
[28.79999924 30.00476074]
[30.79047585 23.77142906]
[29.89999962 27.33333397]
[23.71904755 31.10476303]
[28.79999924 30.00476074]
[30.79047585 23.77142906]
[29.89999962 27.33333397]
[23.71904755 31.10476303]
[28.79999924 30.00476074]
[30.79047585 23.77142906]
[29.89999962 27.33333397]
[23.71904755 31.10476303]
[28.79999924 30.00476074]
[30.79047585 23.77142906]
[29.63809586 26.23333359]
[23.82381058 31.57619095]
[29.89999962 27.33333397]
[23.71904755 31.10476303]
[28.79999924 30.00476074]
[30.79047585 23.77142906]
