<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083DF0>
[25.23809433 27.59523773]
[28.17142868 24.19047546]
[25.02857208 30.26666641]
[27.38571358 24.92380905]
[25.02857208 30.26666641]
[30.26666641 26.70476151]
[25.02857208 30.26666641]
[30.26666641 26.70476151]
[26.49523926 30.84285736]
[30.26666641 26.70476151]
[26.75714302 30.89523697]
[30.79047585 25.97142792]
[28.17142868 29.69047546]
[30.79047585 25.97142792]
[28.17142868 29.69047546]
[30.00476074 24.81904793]
[28.17142868 29.69047546]
[30.00476074 24.81904793]
[28.43333435 28.53809547]
[29.69047546 24.29523849]
[28.43333435 28.53809547]
[29.69047546 24.29523849]
[28.43333435 28.53809547]
[29.69047546 24.29523849]
[28.43333435 28.53809547]
[29.48095322 23.50952339]
[29.58571434 26.49523926]
[23.09047699 29.48095322]
[31.26190567 27.54285812]
[24.19047546 31.52380943]
[31.26190567 27.54285812]
[24.19047546 31.52380943]
[29.89999962 31.68095207]
[31.68095207 24.76666641]
[31.73333359 29.00952339]
[23.87619019 31.99523926]
[29.89999962 31.68095207]
[31.68095207 24.76666641]
[31.73333359 29.00952339]
[23.87619019 31.99523926]
[29.89999962 31.68095207]
[31.68095207 24.76666641]
[31.73333359 29.00952339]
[23.87619019 31.99523926]
[29.89999962 31.68095207]
[31.68095207 24.76666641]
[31.73333359 29.00952339]
[23.87619019 31.99523926]
[29.89999962 31.68095207]
[31.73333359 24.81904793]
[31.73333359 29.00952339]
[23.24761963 31.62857056]
[27.49047661 31.41904831]
[31.73333359 24.81904793]
[29.89999962 31.68095207]
[31.68095207 24.76666641]
[31.73333359 29.00952339]
[23.87619019 31.99523926]
[29.89999962 31.68095207]
[31.68095207 24.76666641]
[31.73333359 29.00952339]
[23.87619019 31.99523926]
[29.89999962 31.68095207]
[31.68095207 24.76666641]
[31.73333359 29.00952339]
[23.82381058 30.58095169]
[29.89999962 31.68095207]
[31.68095207 24.76666641]
[31.         29.00952339]
[23.82381058 30.58095169]
[27.49047661 31.41904831]
[31.73333359 24.81904793]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[27.64761925 30.94762039]
[30.94762039 24.92380905]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[27.64761925 30.94762039]
[30.94762039 24.92380905]
[31.         29.00952339]
[23.19523811 30.26666641]
[27.64761925 30.94762039]
[30.94762039 24.92380905]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[27.64761925 30.94762039]
[30.94762039 24.92380905]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[29.8476181  31.26190567]
[31.10476303 24.92380905]
[31.         29.00952339]
[23.82381058 30.58095169]
[30.73809433 31.10476303]
[31.10476303 24.92380905]
[31.26190567 28.38095284]
[23.82381058 30.58095169]
[30.73809433 31.10476303]
[31.10476303 24.92380905]
[31.26190567 28.38095284]
[23.82381058 30.58095169]
[30.73809433 31.10476303]
[31.10476303 24.92380905]
[31.26190567 28.38095284]
[23.82381058 30.58095169]
[30.73809433 31.10476303]
[31.10476303 24.92380905]
[31.26190567 28.38095284]
[23.82381058 30.58095169]
[30.73809433 31.10476303]
[31.10476303 24.92380905]
[30.84285736 26.96666718]
[24.03333282 30.05714417]
[31.26190567 28.38095284]
[23.82381058 30.58095169]
[30.73809433 31.10476303]
[31.10476303 24.92380905]
[31.26190567 28.38095284]
[23.82381058 30.58095169]
[30.73809433 31.10476303]
