<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083CA0>
[29.95238113 31.41904831]
[30.63333321 31.26190567]
[29.58571434 28.90476227]
[30.37142944 31.15714264]
[29.4285717  27.96190453]
[29.74285698 30.26666641]
[29.32381058 27.38571358]
[29.89999962 29.63809586]
[30.10952377 30.73809433]
[29.89999962 29.63809586]
[30.10952377 30.73809433]
[29.89999962 29.63809586]
[30.10952377 30.73809433]
[29.89999962 29.63809586]
[29.69047546 30.47619057]
[29.06190491 28.32857132]
[29.69047546 30.47619057]
[29.06190491 28.32857132]
[29.58571434 30.63333321]
[29.06190491 28.32857132]
[29.58571434 30.63333321]
[29.06190491 28.32857132]
[29.37619019 29.95238113]
[27.33333397 25.97142792]
[28.17142868 28.06666565]
[28.53809547 28.79999924]
[28.11904716 27.54285812]
[28.74761963 28.53809547]
[28.74761963 30.00476074]
[28.85238075 28.95714188]
[27.70000076 27.59523773]
[28.48571396 28.32857132]
[28.79999924 29.89999962]
[28.06666565 27.80476189]
[28.79999924 29.4285717 ]
[28.06666565 27.80476189]
[28.79999924 28.74761963]
[28.11904716 29.79523849]
[28.79999924 28.74761963]
[28.22380829 29.69047546]
[27.80476189 27.75238037]
[27.8571434  28.59047699]
[27.17618942 27.22857094]
[26.70476151 26.96666718]
[27.0714283  27.43809509]
[27.0714283  25.76190567]
