<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000001ABF6083DF0>
[25.5        26.33809471]
[27.49047661 22.93333435]
[26.33809471 29.48095322]
[26.12857056 23.77142906]
[26.33809471 29.48095322]
[29.74285698 25.02857208]
[26.33809471 29.48095322]
[29.74285698 25.02857208]
[27.12380981 30.42380905]
[29.74285698 25.02857208]
[27.01904678 31.05237961]
[30.47619057 24.87142944]
[28.43333435 29.4285717 ]
[30.47619057 24.87142944]
[28.43333435 29.4285717 ]
[29.58571434 23.82381058]
[28.43333435 29.4285717 ]
[29.58571434 23.82381058]
[27.64761925 27.90952301]
[27.70000076 23.29999924]
[27.64761925 27.90952301]
[27.70000076 23.29999924]
[27.64761925 27.90952301]
[27.70000076 23.29999924]
[27.64761925 27.90952301]
[27.28095245 22.40952301]
[27.33333397 25.39523697]
[22.25238037 28.22380829]
[31.        26.6523819]
[23.24761963 32.67618942]
[31.        26.6523819]
[23.24761963 32.67618942]
[30.16190338 31.52380943]
[32.1523819  23.45714188]
[32.57142639 28.32857132]
[23.19523811 32.46666718]
[30.16190338 31.52380943]
[32.1523819  23.45714188]
[32.57142639 28.32857132]
[23.19523811 32.46666718]
[30.16190338 31.52380943]
[32.1523819  23.45714188]
[32.57142639 28.32857132]
[23.19523811 32.46666718]
[30.16190338 31.52380943]
[32.1523819  23.45714188]
[32.57142639 28.32857132]
[23.19523811 32.46666718]
[30.16190338 31.52380943]
[31.7857132  23.82381058]
[32.57142639 28.32857132]
[22.7238102  31.83809662]
[28.01428604 30.47619057]
[31.7857132  23.82381058]
[30.16190338 31.52380943]
[32.1523819  23.45714188]
[32.57142639 28.32857132]
[23.19523811 32.46666718]
[30.16190338 31.52380943]
[32.1523819  23.45714188]
[32.57142639 28.32857132]
[23.19523811 32.46666718]
[30.16190338 31.52380943]
[32.1523819  23.45714188]
[32.57142639 28.32857132]
[23.19523811 31.94285583]
[30.16190338 31.52380943]
[32.1523819  23.45714188]
[31.52380943 28.69523811]
[23.19523811 31.94285583]
[28.01428604 30.47619057]
