<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3D80>
[35.26066208 36.824646  ]
[36.01895905 36.25592422]
[35.92417145 35.40284348]
[35.92417145 36.01895905]
[35.78199005 34.78672791]
[35.73459625 35.26066208]
[35.40284348 35.40284348]
[34.21800995 35.59241867]
[35.63980865 35.54502487]
[34.21800995 35.54502487]
[35.40284348 36.30331802]
[35.97156525 35.82938385]
[35.63980865 35.54502487]
[34.21800995 35.54502487]
[35.21327209 36.587677  ]
[36.11374283 35.59241867]
[35.40284348 36.30331802]
[36.06635284 35.45023727]
[35.63980865 35.54502487]
[34.21800995 35.54502487]
[35.21327209 36.587677  ]
[36.11374283 35.59241867]
[35.40284348 36.30331802]
[36.06635284 35.45023727]
[35.63980865 35.54502487]
[34.36019135 36.11374283]
[35.40284348 36.30331802]
[36.06635284 35.45023727]
[35.54502487 36.30331802]
[36.35071182 35.78199005]
[35.54502487 36.30331802]
[36.20853043 35.35544968]
[35.40284348 36.01895905]
[35.73459625 35.0710907 ]
[35.26066208 35.92417145]
[35.73459625 35.0710907 ]
[35.26066208 35.92417145]
[35.73459625 35.0710907 ]
[35.1184845  35.63980865]
[35.26066208 34.8341217 ]
[35.35544968 35.59241867]
[35.26066208 34.8341217 ]
[35.35544968 35.59241867]
[34.9763031  34.59715652]
[35.35544968 35.59241867]
[34.73933792 34.50236893]
[35.1658783  34.73933792]
[34.69194412 34.8341217 ]
[35.1658783  34.73933792]
[34.9289093  34.64455032]
[34.17061615 34.45497513]
[34.9289093  34.64455032]
[34.07582855 35.1184845 ]
[35.1184845 35.0710907]
[34.31279755 35.30805588]
[35.1184845 35.0710907]
[34.26540375 35.35544968]
[34.9289093 35.0710907]
[35.21327209 34.50236893]
[34.9289093 35.0710907]
[35.21327209 34.50236893]
[34.50236893 34.73933792]
[35.21327209 34.50236893]
[34.50236893 34.73933792]
[34.8815155  34.40758133]
[34.21800995 34.31279755]
[34.59715652 34.21800995]
[34.17061615 34.17061615]
[34.36019135 34.50236893]
[34.17061615 34.17061615]
[34.54976273 34.26540375]
[34.07582855 34.31279755]
[34.54976273 34.26540375]
[34.07582855 34.31279755]
[34.12322235 34.50236893]
[33.93365097 33.79146957]
[34.26540375 34.45497513]
[33.93365097 33.79146957]
[34.02843475 34.12322235]
[33.60189438 33.74407578]
[34.31279755 33.83886337]
[33.55450439 33.64928818]
[34.31279755 33.83886337]
[33.12796021 33.03317642]
[33.2701416  32.93838882]
[33.88625717 33.4597168 ]
[33.79146957 33.5071106 ]
[33.69668198 33.55450439]
[33.60189438 33.98104095]
[33.60189438 33.98104095]
[33.5071106  33.79146957]
[33.88625717 33.93365097]
[33.3175354 33.4597168]
[33.64928818 33.69668198]
[34.17061615 33.64928818]
[33.64928818 33.69668198]
[33.79146957 33.03317642]
[33.175354   33.03317642]
[32.89099503 32.93838882]
[33.175354   33.03317642]
[32.89099503 32.93838882]
[33.2701416  33.08057022]
