<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3D80>
[35.73459625 36.4928894 ]
[36.20853043 36.35071182]
[36.16113663 35.78199005]
[35.97156525 36.16113663]
[35.45023727 35.1658783 ]
[35.45023727 35.68720245]
[35.1184845 35.1184845]
[34.8815155  35.45023727]
[34.8341217 34.9763031]
[35.49763107 34.78672791]
[35.1658783 34.8341217]
[34.8815155  35.21327209]
[35.1658783 34.8341217]
[34.8341217  34.73933792]
[34.54976273 34.26540375]
[35.45023727 33.2701416 ]
[34.73933792 33.79146957]
[34.31279755 34.64455032]
[34.54976273 34.8815155 ]
[35.54502487 34.69194412]
[34.54976273 34.8815155 ]
[35.45023727 34.78672791]
[34.73933792 34.69194412]
[34.17061615 35.0710907 ]
[34.64455032 35.26066208]
[35.82938385 35.30805588]
[34.64455032 35.26066208]
[35.35544968 34.9763031 ]
[35.21327209 35.40284348]
[35.35544968 34.9763031 ]
[34.9763031  35.78199005]
[35.49763107 34.9289093 ]
[34.78672791 35.82938385]
[35.49763107 34.9289093 ]
[34.78672791 35.82938385]
[35.45023727 34.9289093 ]
[34.78672791 35.82938385]
[35.82938385 34.59715652]
[34.78672791 35.82938385]
[35.82938385 34.59715652]
[34.8341217  35.59241867]
[35.49763107 34.31279755]
[34.64455032 34.9289093 ]
[35.49763107 34.31279755]
[34.64455032 34.9289093 ]
[35.49763107 34.40758133]
[34.64455032 34.9289093 ]
[35.49763107 34.40758133]
[34.64455032 35.35544968]
[35.49763107 34.40758133]
[34.64455032 35.35544968]
[35.49763107 34.40758133]
[34.64455032 35.35544968]
[35.40284348 34.73933792]
[34.64455032 35.35544968]
[35.40284348 34.73933792]
[34.64455032 35.35544968]
[35.40284348 34.73933792]
[34.59715652 35.68720245]
[35.40284348 34.73933792]
[34.59715652 35.68720245]
[35.30805588 34.9289093 ]
[34.59715652 35.68720245]
[35.30805588 34.9289093 ]
[34.59715652 35.68720245]
[35.30805588 34.9289093 ]
