<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3DF0>
[35.35544968 36.587677  ]
[37.25118637 35.0236969 ]
[35.35544968 36.587677  ]
[37.25118637 35.0236969 ]
[35.35544968 36.587677  ]
[37.25118637 35.0236969 ]
[35.1184845 36.4928894]
[37.25118637 35.0236969 ]
[35.0710907  36.30331802]
[36.96682358 34.8815155 ]
[35.49763107 36.11374283]
[36.96682358 34.8815155 ]
[35.49763107 36.11374283]
[36.44549561 35.0236969 ]
[35.63980865 35.73459625]
[36.44549561 35.0236969 ]
[35.63980865 35.73459625]
[36.25592422 34.69194412]
[35.63980865 35.73459625]
[36.25592422 34.69194412]
[35.0236969  36.11374283]
[36.35071182 34.9763031 ]
[35.49763107 36.39810562]
[36.35071182 34.9763031 ]
[35.49763107 36.39810562]
[36.35071182 34.9763031 ]
[35.49763107 36.39810562]
[36.20853043 34.69194412]
[35.0236969  35.82938385]
[35.49763107 34.45497513]
[34.9763031  35.63980865]
[35.49763107 34.45497513]
[34.9763031  35.63980865]
[35.49763107 34.45497513]
[35.30805588 35.30805588]
[34.45497513 35.1184845 ]
[35.30805588 35.30805588]
[34.40758133 34.9289093 ]
[35.30805588 35.30805588]
[34.40758133 34.9289093 ]
[35.1658783 34.9763031]
[34.40758133 34.9289093 ]
[35.1658783 34.9763031]
[34.40758133 34.9289093 ]
[35.1658783 34.9763031]
[34.73933792 35.1184845 ]
[35.1658783 34.9763031]
[34.73933792 35.1184845 ]
[35.35544968 34.8341217 ]
[34.73933792 35.1184845 ]
[35.35544968 34.8341217 ]
[34.73933792 35.1184845 ]
[35.35544968 34.8341217 ]
[34.9289093  35.21327209]
[35.35544968 34.8341217 ]
[34.9289093  35.21327209]
[35.40284348 34.54976273]
[34.9289093 34.9763031]
[35.40284348 34.54976273]
[34.17061615 34.40758133]
[34.64455032 34.12322235]
[34.21800995 33.93365097]
[33.83886337 34.07582855]
[34.12322235 33.55450439]
[33.93365097 33.69668198]
[33.5071106  33.83886337]
[34.36019135 34.59715652]
[34.40758133 34.02843475]
[34.36019135 34.59715652]
[34.36019135 33.98104095]
[34.36019135 34.59715652]
[33.98104095 33.88625717]
[34.12322235 34.36019135]
[33.98104095 33.88625717]
[33.55450439 33.69668198]
[33.60189438 33.3175354 ]
[33.3175354  33.64928818]
[33.60189438 33.3175354 ]
[33.12796021 33.5071106 ]
[33.4597168  33.03317642]
[33.12796021 33.5071106 ]
[33.3649292  32.79620743]
[33.3175354  33.08057022]
[33.60189438 33.175354  ]
[33.2701416  33.64928818]
[33.60189438 33.175354  ]
[33.2701416  33.64928818]
[33.3175354  33.08057022]
[33.2701416 33.3649292]
[33.08057022 33.12796021]
[33.175354   32.98578262]
[32.93838882 33.08057022]
[33.12796021 32.79620743]
[32.93838882 33.08057022]
[33.12796021 32.79620743]
[33.08057022 33.08057022]
[33.12796021 33.03317642]
[32.98578262 33.08057022]
[33.175354   32.89099503]
[32.98578262 33.08057022]
[32.93838882 33.03317642]
[33.12796021 33.175354  ]
[33.03317642 32.89099503]
[33.08057022 33.08057022]
[32.65402985 33.03317642]
[33.08057022 32.98578262]
[32.60663605 32.98578262]
[33.08057022 32.98578262]
[32.55924225 32.79620743]
[32.84360123 32.79620743]
[32.51184845 32.74881363]
[32.84360123 32.79620743]
[32.55924225 32.74881363]
[32.84360123 32.79620743]
[32.65402985 32.70142365]
[32.84360123 32.79620743]
[32.65402985 32.70142365]
[32.84360123 32.79620743]
[32.65402985 32.70142365]
