<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3DF0>
[35.40284348 35.0710907 ]
[33.64928818 34.8815155 ]
[34.8341217  34.54976273]
[33.60189438 34.64455032]
[34.59715652 34.64455032]
[34.69194412 34.26540375]
[34.54976273 34.36019135]
[33.55450439 34.45497513]
[34.59715652 34.64455032]
[34.73933792 34.59715652]
[34.54976273 34.36019135]
[33.55450439 34.45497513]
[33.74407578 34.17061615]
[33.83886337 34.26540375]
[34.36019135 33.3649292 ]
[34.50236893 34.78672791]
[35.0236969 33.5071106]
[34.50236893 34.78672791]
[34.64455032 33.79146957]
[34.50236893 34.31279755]
[33.74407578 34.07582855]
[34.50236893 34.31279755]
[33.74407578 34.07582855]
[34.50236893 34.31279755]
[33.5071106  34.12322235]
[33.3649292 33.4597168]
[33.3649292  33.74407578]
[33.93365097 33.5071106 ]
[33.79146957 33.98104095]
[33.93365097 33.5071106 ]
[33.79146957 33.98104095]
[33.98104095 33.64928818]
[34.02843475 33.83886337]
[33.55450439 34.07582855]
[34.12322235 33.74407578]
[33.69668198 33.93365097]
[34.54976273 34.07582855]
[33.69668198 33.93365097]
[34.54976273 34.07582855]
[33.69668198 33.93365097]
[34.54976273 34.07582855]
[33.69668198 33.93365097]
[34.31279755 33.74407578]
[33.69668198 33.93365097]
[34.31279755 33.74407578]
[33.69668198 33.93365097]
[34.31279755 33.74407578]
[34.21800995 33.412323  ]
[33.4597168  34.12322235]
[33.55450439 34.07582855]
[34.40758133 34.40758133]
[33.55450439 34.07582855]
[34.40758133 34.40758133]
[33.55450439 34.07582855]
[34.40758133 34.40758133]
[33.55450439 34.07582855]
[34.54976273 34.07582855]
[33.3649292  33.88625717]
[34.36019135 33.69668198]
[33.3649292  33.88625717]
[34.36019135 33.69668198]
[33.3649292  33.88625717]
[34.36019135 33.69668198]
[33.3649292  33.88625717]
[34.36019135 33.69668198]
[33.3649292  33.88625717]
[34.36019135 33.69668198]
[33.3649292  33.88625717]
[34.36019135 33.69668198]
[33.3175354  33.79146957]
[34.36019135 33.69668198]
[33.3175354  33.79146957]
[34.36019135 33.69668198]
[33.3175354  33.79146957]
[34.36019135 33.69668198]
[33.3175354  33.79146957]
[34.36019135 33.69668198]
[33.3175354  33.79146957]
[34.17061615 34.17061615]
[33.3175354  33.79146957]
[34.17061615 34.17061615]
[33.3175354  33.79146957]
[34.17061615 34.17061615]
[33.3175354  33.79146957]
[34.17061615 34.17061615]
[33.12796021 34.12322235]
[34.17061615 34.17061615]
[33.12796021 34.12322235]
[34.17061615 34.17061615]
[33.12796021 34.12322235]
[34.17061615 34.17061615]
[33.12796021 34.12322235]
[34.17061615 34.17061615]
[33.12796021 34.12322235]
[34.17061615 34.17061615]
[33.12796021 34.12322235]
[33.83886337 33.93365097]
[33.79146957 33.55450439]
[34.12322235 34.12322235]
[33.12796021 34.12322235]
[34.12322235 34.12322235]
[33.12796021 34.12322235]
[34.12322235 34.12322235]
[32.93838882 33.74407578]
[33.83886337 33.93365097]
[33.3649292  33.60189438]
[33.3175354 33.4597168]
[33.3175354 33.175354 ]
[33.88625717 33.412323  ]
[33.60189438 33.412323  ]
[33.74407578 33.08057022]
[33.79146957 33.3649292 ]
[33.93365097 33.5071106 ]
[33.69668198 34.64455032]
[33.175354   33.88625717]
[33.12796021 34.12322235]
[34.12322235 34.12322235]
[33.12796021 34.12322235]
[34.12322235 34.12322235]
[33.12796021 34.12322235]
[33.83886337 33.93365097]
[33.3649292  33.60189438]
[33.3175354 33.4597168]
[33.3175354 33.175354 ]
[33.74407578 33.55450439]
[33.4597168 33.5071106]
[33.55450439 33.60189438]
[33.55450439 33.60189438]
[33.412323  33.2701416]
[33.412323  33.2701416]
[33.03317642 33.08057022]
[33.03317642 33.08057022]
[33.03317642 33.08057022]
[33.03317642 33.08057022]
