<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3DF0>
[35.73459625 35.49763107]
[34.02843475 35.1184845 ]
[34.78672791 34.73933792]
[33.98104095 34.59715652]
[34.64455032 34.9289093 ]
[34.9289093  34.31279755]
[34.8341217  34.59715652]
[33.88625717 34.45497513]
[34.64455032 34.9289093 ]
[34.78672791 34.64455032]
[34.8341217  34.59715652]
[33.88625717 34.45497513]
[33.83886337 34.12322235]
[33.88625717 34.36019135]
[34.21800995 33.4597168 ]
[34.40758133 34.9763031 ]
[35.0236969 33.4597168]
[34.40758133 34.9763031 ]
[34.59715652 33.69668198]
[34.54976273 34.45497513]
[34.02843475 33.79146957]
[33.88625717 34.45497513]
[33.64928818 33.2701416 ]
[33.55450439 33.83886337]
[33.64928818 33.2701416 ]
[33.55450439 33.83886337]
[33.412323  33.5071106]
[33.5071106  33.55450439]
[33.5071106  33.88625717]
[33.69668198 33.2227478 ]
[33.2227478  33.83886337]
[33.5071106 33.2701416]
[33.175354   33.83886337]
[33.08057022 33.412323  ]
[33.175354  33.2227478]
[33.175354  33.2227478]
[33.60189438 33.03317642]
[33.60189438 33.2701416 ]
[33.79146957 32.98578262]
[33.93365097 33.2701416 ]
[34.31279755 33.5071106 ]
[33.79146957 33.60189438]
[34.40758133 34.31279755]
[33.74407578 34.8341217 ]
[33.3649292 33.412323 ]
[32.89099503 32.89099503]
[33.3649292 33.412323 ]
[32.74881363 32.74881363]
[33.2227478 33.2701416]
[32.74881363 32.74881363]
[33.2227478 33.2701416]
[32.65402985 32.60663605]
[32.98578262 32.84360123]
[33.08057022 33.175354  ]
[32.98578262 32.84360123]
[33.08057022 33.175354  ]
[32.98578262 32.84360123]
