<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3CA0>
[35.21327209 35.1658783 ]
[34.40758133 35.21327209]
[35.63980865 34.9289093 ]
[34.45497513 35.30805588]
[35.40284348 35.0236969 ]
[34.45497513 35.30805588]
[35.40284348 35.0236969 ]
[34.45497513 35.30805588]
[34.9763031 34.9763031]
[34.12322235 34.9289093 ]
[34.8341217  34.73933792]
[34.12322235 34.9289093 ]
[34.8341217  34.73933792]
[34.12322235 34.9289093 ]
[34.8341217  34.36019135]
[33.64928818 34.21800995]
[34.21800995 33.98104095]
[33.64928818 34.21800995]
[33.79146957 33.98104095]
[33.93365097 34.50236893]
[34.26540375 34.26540375]
[33.79146957 34.36019135]
[34.17061615 34.54976273]
[34.17061615 34.17061615]
[33.93365097 34.40758133]
[34.26540375 34.21800995]
[33.88625717 34.12322235]
[34.31279755 34.02843475]
[33.64928818 33.93365097]
[33.93365097 34.36019135]
[33.83886337 34.54976273]
[34.02843475 34.50236893]
[34.02843475 34.50236893]
[33.74407578 34.59715652]
[33.79146957 34.64455032]
[33.79146957 34.64455032]
[33.74407578 34.73933792]
[33.88625717 34.26540375]
[33.69668198 34.02843475]
[33.79146957 34.21800995]
