<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3CA0>
[35.1658783 35.1184845]
[34.12322235 35.0710907 ]
[35.1184845 34.9763031]
[33.98104095 34.9763031 ]
[35.0236969 34.9289093]
[33.98104095 34.9763031 ]
[35.0236969 34.9289093]
[33.98104095 34.9763031 ]
[34.54976273 35.0236969 ]
[34.50236893 34.59715652]
[34.21800995 34.78672791]
[34.45497513 34.8815155 ]
[34.02843475 34.9763031 ]
[34.12322235 34.78672791]
[33.98104095 34.69194412]
[33.93365097 34.69194412]
[33.79146957 34.26540375]
[32.89099503 34.12322235]
