<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3DF0>
[33.83886337 35.1658783 ]
[35.40284348 33.175354  ]
[33.83886337 35.1658783 ]
[35.40284348 33.175354  ]
[33.83886337 35.1658783 ]
[35.40284348 33.175354  ]
[33.69668198 34.59715652]
[35.40284348 33.175354  ]
[34.21800995 35.1184845 ]
[35.35544968 32.98578262]
[34.78672791 34.9763031 ]
[35.35544968 32.98578262]
[34.78672791 34.9763031 ]
[35.1658783  32.51184845]
[34.8815155  34.31279755]
[33.175354  34.9289093]
[34.21800995 35.1184845 ]
[35.40284348 33.175354  ]
[34.21800995 35.1184845 ]
[35.35544968 32.98578262]
[34.78672791 34.9763031 ]
[35.35544968 32.98578262]
[34.8341217  35.30805588]
[35.1658783  32.60663605]
[35.21327209 34.69194412]
[33.175354   35.21327209]
[34.21800995 35.45023727]
[35.68720245 32.98578262]
[34.21800995 35.45023727]
[35.63980865 32.74881363]
[34.8341217  35.30805588]
[35.63980865 32.74881363]
[34.8341217  35.30805588]
[35.1658783  32.60663605]
[35.21327209 34.69194412]
[33.175354   35.21327209]
[34.21800995 35.45023727]
[35.68720245 32.98578262]
[34.21800995 35.45023727]
[35.63980865 32.74881363]
[34.8341217  35.30805588]
[35.63980865 32.74881363]
[34.8341217  35.30805588]
[35.1658783  32.60663605]
[34.8341217  35.30805588]
[35.1658783  32.60663605]
[35.21327209 34.69194412]
[33.175354   35.21327209]
[34.21800995 35.45023727]
[35.63980865 32.74881363]
[34.21800995 35.45023727]
[35.63980865 32.74881363]
[34.8341217  35.30805588]
[35.63980865 32.74881363]
[34.8341217  35.30805588]
[35.1658783  32.60663605]
[35.21327209 34.69194412]
[33.175354   35.21327209]
[34.21800995 35.45023727]
[35.68720245 32.98578262]
[34.21800995 35.45023727]
[35.63980865 32.74881363]
[34.21800995 35.45023727]
[35.63980865 32.74881363]
[34.64455032 35.49763107]
[35.73459625 32.93838882]
[34.64455032 35.49763107]
[35.49763107 32.74881363]
[34.64455032 35.49763107]
[35.49763107 32.74881363]
[34.8815155 34.9763031]
[35.49763107 32.74881363]
[34.8815155 34.9763031]
[34.40758133 32.51184845]
[34.8815155 34.9763031]
[34.40758133 32.51184845]
[34.8815155 34.9763031]
[34.40758133 32.51184845]
[34.50236893 34.07582855]
[33.5071106 35.0236969]
[34.64455032 35.49763107]
[35.49763107 32.74881363]
[34.8815155 34.9763031]
[34.40758133 32.51184845]
[34.8815155 34.9763031]
[34.40758133 32.51184845]
[34.50236893 34.07582855]
[33.412323   35.87677765]
[35.49763107 35.59241867]
[35.49763107 32.74881363]
[35.68720245 34.54976273]
[33.412323   35.87677765]
[34.36019135 35.68720245]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.49763107 32.74881363]
[35.68720245 34.54976273]
[33.412323   35.87677765]
[34.36019135 35.68720245]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.49763107 32.74881363]
[35.68720245 34.54976273]
[33.08057022 35.35544968]
[34.36019135 35.68720245]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.49763107 32.74881363]
[35.68720245 34.54976273]
[33.412323   35.87677765]
[34.36019135 35.68720245]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.49763107 32.74881363]
[35.68720245 34.54976273]
[33.08057022 35.35544968]
[34.36019135 35.68720245]
[35.73459625 32.93838882]
[34.36019135 35.68720245]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.49763107 32.74881363]
[35.68720245 34.54976273]
[33.08057022 35.35544968]
[34.36019135 35.68720245]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.49763107 32.74881363]
[35.68720245 34.54976273]
[33.412323   35.87677765]
[34.36019135 35.68720245]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.49763107 32.74881363]
[35.68720245 34.54976273]
[33.08057022 35.35544968]
[34.36019135 35.68720245]
[35.73459625 32.93838882]
[34.36019135 35.68720245]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.49763107 32.74881363]
[35.68720245 34.54976273]
[33.08057022 35.35544968]
[34.36019135 35.68720245]
[35.73459625 32.93838882]
[35.49763107 35.59241867]
[35.73459625 32.93838882]
[34.64455032 35.49763107]
[35.49763107 32.74881363]
[35.68720245 34.54976273]
