<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3DF0>
[33.69668198 35.0236969 ]
[35.30805588 33.2701416 ]
[33.69668198 35.0236969 ]
[35.30805588 33.2701416 ]
[33.69668198 35.0236969 ]
[35.30805588 33.2701416 ]
[33.412323   34.73933792]
[35.30805588 33.2701416 ]
[33.98104095 35.1658783 ]
[35.0710907  32.60663605]
[34.69194412 35.26066208]
[35.0710907  32.60663605]
[34.69194412 35.26066208]
[35.0236969  32.27488327]
[35.0236969  34.12322235]
[33.2227478  34.59715652]
[33.98104095 35.1658783 ]
[35.30805588 33.2701416 ]
[33.98104095 35.1658783 ]
[35.0710907  32.60663605]
[34.69194412 35.26066208]
[35.0710907  32.60663605]
[34.02843475 35.45023727]
[34.8341217  32.36966705]
[34.50236893 34.54976273]
[34.8341217  32.36966705]
[34.50236893 34.54976273]
[34.17061615 32.13270187]
[34.50236893 34.54976273]
[34.17061615 32.13270187]
[34.17061615 33.4597168 ]
[32.93838882 34.54976273]
[34.54976273 35.21327209]
[34.8341217  32.36966705]
[34.9763031  33.98104095]
[32.79620743 35.0236969 ]
[33.83886337 35.21327209]
[35.1658783  32.60663605]
[34.54976273 35.21327209]
[34.8341217  32.36966705]
[34.9763031  33.98104095]
[32.55924225 34.9289093 ]
[33.83886337 35.21327209]
[35.1658783  32.60663605]
[34.54976273 35.21327209]
[35.1658783  32.60663605]
[34.54976273 35.21327209]
[34.8341217  32.36966705]
[34.9763031  33.98104095]
[32.79620743 35.0236969 ]
[33.83886337 35.21327209]
[35.1658783  32.60663605]
[34.54976273 35.21327209]
[34.8341217  32.36966705]
[34.9763031  33.98104095]
[32.55924225 34.9289093 ]
[33.83886337 35.21327209]
[35.1658783  32.60663605]
[33.83886337 35.21327209]
[35.1658783  32.60663605]
[34.54976273 35.21327209]
[34.8341217  32.36966705]
[34.9763031  33.98104095]
[32.55924225 34.9289093 ]
[33.83886337 35.21327209]
[35.1658783  32.60663605]
[34.54976273 35.21327209]
[35.1658783  32.60663605]
[34.54976273 35.21327209]
[34.8341217  32.36966705]
[34.9763031  33.98104095]
[32.60663605 35.0236969 ]
[33.83886337 35.21327209]
[35.1658783  32.60663605]
[34.45497513 35.54502487]
[35.35544968 32.60663605]
[34.45497513 35.54502487]
[35.35544968 32.60663605]
[34.8341217  34.31279755]
[32.60663605 35.0236969 ]
[33.79146957 35.49763107]
[35.68720245 32.79620743]
[34.45497513 35.54502487]
[35.35544968 32.60663605]
[34.8341217  34.31279755]
[32.46445465 34.9763031 ]
[33.79146957 35.49763107]
[35.68720245 32.79620743]
[34.45497513 35.54502487]
[35.68720245 32.79620743]
[34.45497513 35.54502487]
[35.35544968 32.60663605]
[34.8341217  34.31279755]
[32.60663605 35.0236969 ]
[33.79146957 35.49763107]
[35.68720245 32.79620743]
[34.45497513 35.54502487]
[35.35544968 32.60663605]
[34.8341217  34.31279755]
[32.60663605 35.0236969 ]
[33.79146957 35.49763107]
[35.68720245 32.79620743]
[34.45497513 35.54502487]
[35.35544968 32.60663605]
[34.8341217  34.31279755]
[32.46445465 34.9763031 ]
[33.79146957 35.49763107]
[35.68720245 32.79620743]
[34.45497513 35.54502487]
[35.68720245 32.79620743]
[34.45497513 35.54502487]
[35.35544968 32.60663605]
