<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3DF0>
[33.60189438 34.9763031 ]
[35.45023727 33.3175354 ]
[33.60189438 34.9763031 ]
[35.45023727 33.3175354 ]
[33.60189438 34.9763031 ]
[35.45023727 33.3175354 ]
[33.3175354  34.78672791]
[35.45023727 33.3175354 ]
[33.88625717 35.21327209]
[35.1658783  32.70142365]
[34.59715652 35.26066208]
[35.1658783  32.70142365]
[34.59715652 35.26066208]
[35.0710907  32.41706085]
[34.9289093  34.17061615]
[33.2227478  34.69194412]
[33.88625717 35.21327209]
[35.45023727 33.3175354 ]
[33.88625717 35.21327209]
[35.1658783  32.70142365]
[34.59715652 35.26066208]
[35.1658783  32.70142365]
[34.02843475 35.35544968]
[34.78672791 32.55924225]
[34.45497513 34.54976273]
[34.78672791 32.55924225]
[34.45497513 34.54976273]
[34.12322235 32.41706085]
[34.45497513 34.54976273]
[34.12322235 32.41706085]
[34.12322235 33.5071106 ]
[32.84360123 34.59715652]
[34.54976273 35.1658783 ]
[34.78672791 32.55924225]
[34.9289093  34.07582855]
[32.70142365 35.1184845 ]
[33.83886337 35.1184845 ]
[35.1184845  32.74881363]
[34.54976273 35.1658783 ]
[34.78672791 32.55924225]
[34.9289093  34.07582855]
[32.51184845 35.0236969 ]
[33.83886337 35.1184845 ]
[35.1184845  32.74881363]
[34.54976273 35.1658783 ]
[35.1184845  32.74881363]
[34.54976273 35.1658783 ]
[34.78672791 32.55924225]
[34.9289093  34.07582855]
[32.70142365 35.1184845 ]
[33.83886337 35.1184845 ]
[35.1184845  32.74881363]
[34.54976273 35.1658783 ]
[34.78672791 32.55924225]
[34.9289093  34.07582855]
[32.51184845 35.0236969 ]
[33.83886337 35.1184845 ]
[35.1184845  32.74881363]
[33.83886337 35.1184845 ]
[35.1184845  32.74881363]
[34.54976273 35.1658783 ]
[34.78672791 32.55924225]
[34.9289093  34.07582855]
[32.51184845 35.0236969 ]
[33.83886337 35.1184845 ]
[35.1184845  32.74881363]
[34.54976273 35.1658783 ]
[35.1184845  32.74881363]
[34.54976273 35.1658783 ]
[34.78672791 32.55924225]
[34.9289093  34.07582855]
[32.46445465 35.1184845 ]
[33.83886337 35.1184845 ]
[35.1184845  32.74881363]
[34.36019135 35.54502487]
[35.26066208 32.74881363]
[34.36019135 35.54502487]
[35.26066208 32.74881363]
[34.69194412 34.40758133]
[32.46445465 35.1184845 ]
[33.69668198 35.49763107]
[35.49763107 32.93838882]
[34.36019135 35.54502487]
[35.26066208 32.74881363]
