<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3DF0>
[33.60189438 34.9289093 ]
[35.49763107 33.2227478 ]
[33.60189438 34.9289093 ]
[35.49763107 33.2227478 ]
[33.60189438 34.9289093 ]
[35.49763107 33.2227478 ]
[33.2227478 34.9289093]
[35.49763107 33.2227478 ]
[33.64928818 35.35544968]
[35.40284348 32.60663605]
[33.98104095 35.40284348]
[35.40284348 32.60663605]
[33.98104095 35.40284348]
[35.0710907  32.46445465]
[34.50236893 34.40758133]
[32.89099503 34.8341217 ]
[33.64928818 35.35544968]
[35.49763107 33.2227478 ]
[33.64928818 35.35544968]
[35.40284348 32.60663605]
[33.98104095 35.40284348]
[35.40284348 32.60663605]
[33.79146957 35.73459625]
[35.1184845  32.46445465]
[34.40758133 34.78672791]
[35.1184845  32.46445465]
[34.40758133 34.78672791]
[34.59715652 32.27488327]
[34.40758133 34.78672791]
[34.59715652 32.27488327]
[34.12322235 33.5071106 ]
[32.98578262 34.40758133]
[34.45497513 35.45023727]
[35.1184845  32.46445465]
[34.8815155  34.12322235]
[32.84360123 35.1658783 ]
[34.07582855 35.26066208]
[35.40284348 32.46445465]
[34.45497513 35.45023727]
[35.1184845  32.46445465]
[34.8815155  34.12322235]
[32.55924225 35.0236969 ]
[34.07582855 35.26066208]
[35.40284348 32.46445465]
[34.45497513 35.45023727]
[35.40284348 32.46445465]
[34.45497513 35.45023727]
[35.1184845  32.46445465]
[34.8815155  34.12322235]
[32.84360123 35.1658783 ]
[34.07582855 35.26066208]
[35.40284348 32.46445465]
[34.45497513 35.45023727]
[35.1184845  32.46445465]
[34.8815155  34.12322235]
[32.55924225 35.0236969 ]
[34.07582855 35.26066208]
[35.40284348 32.46445465]
[34.07582855 35.26066208]
[35.40284348 32.46445465]
[34.45497513 35.45023727]
[35.1184845  32.46445465]
[34.8815155  34.12322235]
[32.55924225 35.0236969 ]
[34.07582855 35.26066208]
[35.40284348 32.46445465]
[34.45497513 35.45023727]
[35.40284348 32.46445465]
[34.45497513 35.45023727]
[35.1184845  32.46445465]
[34.8815155  34.12322235]
[32.70142365 35.21327209]
[34.07582855 35.26066208]
[35.40284348 32.46445465]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.70142365 35.21327209]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.51184845 35.1184845 ]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.70142365 35.21327209]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.70142365 35.21327209]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.51184845 35.1184845 ]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.70142365 35.21327209]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.70142365 35.21327209]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.51184845 35.1184845 ]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.70142365 35.21327209]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.70142365 35.21327209]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.51184845 35.1184845 ]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.51184845 35.1184845 ]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.70142365 35.21327209]
[34.40758133 35.63980865]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.70142365 35.21327209]
[34.12322235 35.49763107]
[35.97156525 32.65402985]
[34.40758133 35.63980865]
[35.73459625 32.65402985]
[34.73933792 34.26540375]
[32.70142365 35.21327209]
[34.40758133 35.63980865]
[35.73459625 32.36966705]
[34.40758133 35.63980865]
