<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3DF0>
[33.08057022 34.9289093 ]
[35.82938385 33.175354  ]
[33.08057022 34.9289093 ]
[35.82938385 33.175354  ]
[33.08057022 34.9289093 ]
[35.82938385 33.175354  ]
[32.89099503 34.8341217 ]
[35.82938385 33.175354  ]
[33.60189438 35.30805588]
[35.49763107 32.84360123]
[33.98104095 35.0710907 ]
[35.49763107 32.84360123]
[33.98104095 35.0710907 ]
[35.1184845  32.79620743]
[34.50236893 34.64455032]
[35.1184845  32.79620743]
[34.50236893 34.64455032]
[34.50236893 32.79620743]
[34.50236893 34.64455032]
[34.50236893 32.79620743]
[33.88625717 33.88625717]
[32.79620743 34.36019135]
[34.17061615 35.1658783 ]
[35.1658783  33.03317642]
[34.69194412 34.59715652]
[32.74881363 35.0236969 ]
[33.64928818 35.1184845 ]
[35.45023727 32.93838882]
[34.17061615 35.1658783 ]
[35.1658783  33.03317642]
[34.69194412 34.59715652]
[32.74881363 35.0236969 ]
[33.64928818 35.1184845 ]
[35.45023727 32.93838882]
[34.17061615 35.1658783 ]
[35.1658783  33.03317642]
[34.69194412 34.59715652]
[32.36966705 34.59715652]
[33.64928818 35.1184845 ]
[35.45023727 32.93838882]
[33.64928818 35.1184845 ]
[35.45023727 32.93838882]
[34.17061615 35.1658783 ]
[35.1658783  33.03317642]
[34.69194412 34.59715652]
[32.74881363 35.0236969 ]
[33.64928818 35.1184845 ]
[35.45023727 32.93838882]
[34.17061615 35.1658783 ]
[35.1658783  33.03317642]
[34.69194412 34.59715652]
[32.36966705 34.59715652]
[33.64928818 35.1184845 ]
[35.45023727 32.93838882]
[34.17061615 35.1658783 ]
[35.45023727 32.93838882]
[34.17061615 35.1658783 ]
[35.1658783  33.03317642]
[34.69194412 34.59715652]
[32.74881363 35.0236969 ]
[33.64928818 35.1184845 ]
[35.45023727 32.93838882]
[34.17061615 35.1658783 ]
[35.1658783  33.03317642]
[34.69194412 34.59715652]
[32.36966705 34.59715652]
[33.64928818 35.1184845 ]
[35.45023727 32.93838882]
[33.64928818 35.1184845 ]
[35.45023727 32.93838882]
[34.17061615 35.1658783 ]
[35.1658783  33.03317642]
[34.69194412 34.59715652]
[32.74881363 35.0236969 ]
[33.64928818 35.1184845 ]
[35.45023727 32.93838882]
[34.17061615 35.1658783 ]
[35.45023727 32.93838882]
[34.21800995 35.73459625]
[35.78199005 33.3175354 ]
[34.59715652 35.0236969 ]
[34.78672791 33.3649292 ]
[34.59715652 35.0236969 ]
[34.78672791 33.3649292 ]
[33.88625717 34.17061615]
[33.98104095 33.3649292 ]
[33.88625717 34.17061615]
[33.74407578 32.98578262]
[33.88625717 34.17061615]
[33.74407578 32.98578262]
[33.2701416 33.3649292]
[33.175354   32.70142365]
[33.5071106 33.2701416]
[32.74881363 33.64928818]
[33.93365097 34.45497513]
[33.175354   32.70142365]
[33.2227478  33.64928818]
[33.175354   32.70142365]
[33.2227478  33.64928818]
[33.03317642 32.51184845]
[33.2227478  33.64928818]
[33.03317642 32.51184845]
[32.70142365 32.65402985]
[32.65402985 32.70142365]
[32.70142365 32.65402985]
[32.84360123 32.74881363]
[32.27488327 32.70142365]
[33.2227478  33.60189438]
[33.412323   32.98578262]
[33.2227478  33.60189438]
[33.412323   32.98578262]
[33.2227478 33.175354 ]
[32.84360123 33.5071106 ]
[33.4597168  32.89099503]
[32.84360123 33.5071106 ]
[33.4597168  32.89099503]
[32.84360123 33.5071106 ]
[33.175354   32.65402985]
[32.84360123 33.5071106 ]
[33.2227478  32.55924225]
[33.175354   33.12796021]
[32.41706085 32.98578262]
[33.3175354  33.93365097]
[34.26540375 33.2227478 ]
[33.412323   34.40758133]
[33.93365097 32.84360123]
[33.412323   34.40758133]
[34.26540375 33.2701416 ]
[33.412323   34.40758133]
[34.26540375 33.2701416 ]
[32.74881363 34.31279755]
[34.31279755 33.412323  ]
[33.03317642 34.54976273]
[34.31279755 33.412323  ]
[32.89099503 34.31279755]
[34.31279755 33.412323  ]
[32.89099503 34.31279755]
[33.83886337 33.64928818]
[32.51184845 34.02843475]
[33.5071106  34.02843475]
[34.54976273 32.60663605]
[34.26540375 33.83886337]
[33.03317642 34.54976273]
[34.45497513 33.98104095]
[33.03317642 34.73933792]
[33.69668198 34.12322235]
[34.54976273 32.60663605]
[34.9289093  33.74407578]
[33.175354  34.8815155]
[34.45497513 33.98104095]
[33.03317642 34.73933792]
[34.45497513 33.98104095]
[33.03317642 34.73933792]
[33.69668198 34.12322235]
[34.8815155  32.65402985]
[34.64455032 34.12322235]
[33.2701416 34.8815155]
[34.64455032 34.12322235]
[33.12796021 34.8815155 ]
[34.02843475 34.17061615]
[34.8815155  32.65402985]
[35.1658783  33.69668198]
[32.98578262 34.9763031 ]
[34.64455032 34.12322235]
[32.84360123 34.8815155 ]
[34.02843475 34.17061615]
[35.26066208 32.70142365]
[34.64455032 34.12322235]
[32.98578262 34.9763031 ]
[34.64455032 34.12322235]
[32.84360123 34.8815155 ]
[34.02843475 34.17061615]
[35.26066208 32.70142365]
[34.64455032 34.12322235]
