<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3CA0>
[35.0710907  35.82938385]
[35.54502487 35.87677765]
[35.87677765 35.63980865]
[35.59241867 35.92417145]
[36.01895905 35.59241867]
[35.87677765 36.25592422]
[35.73459625 35.68720245]
[35.87677765 35.68720245]
[35.49763107 36.824646  ]
[35.97156525 35.87677765]
[35.35544968 36.44549561]
[35.68720245 35.59241867]
[35.54502487 36.30331802]
[35.68720245 35.59241867]
[35.30805588 36.06635284]
[35.68720245 35.59241867]
[35.1184845  35.54502487]
[35.40284348 34.8815155 ]
[35.30805588 35.45023727]
[35.40284348 34.8815155 ]
[35.30805588 35.45023727]
[35.40284348 34.8815155 ]
[35.30805588 35.26066208]
[35.49763107 35.97156525]
[35.30805588 35.26066208]
[35.45023727 35.97156525]
[35.1658783  35.21327209]
[34.69194412 34.36019135]
[34.40758133 34.45497513]
[34.69194412 34.36019135]
[34.40758133 34.45497513]
[34.69194412 34.36019135]
[34.40758133 34.45497513]
[34.69194412 34.36019135]
[34.40758133 34.45497513]
[34.69194412 34.36019135]
