<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3DF0>
[33.55450439 35.1658783 ]
[34.69194412 33.175354  ]
[33.55450439 35.1658783 ]
[34.69194412 33.175354  ]
[33.55450439 35.1658783 ]
[34.69194412 33.175354  ]
[33.2701416  34.69194412]
[34.69194412 33.175354  ]
[33.5071106 35.0236969]
[34.69194412 32.89099503]
[34.02843475 35.1658783 ]
[34.69194412 32.89099503]
[34.02843475 35.1658783 ]
[34.8815155  32.89099503]
[34.64455032 34.50236893]
[32.36966705 34.73933792]
[33.5071106 35.0236969]
[34.69194412 33.175354  ]
[33.5071106 35.0236969]
[34.69194412 32.89099503]
[34.02843475 35.1658783 ]
[34.69194412 32.89099503]
[34.59715652 35.59241867]
[35.26066208 32.74881363]
[35.1658783 34.8341217]
[32.79620743 34.9763031 ]
[34.07582855 35.40284348]
[35.1658783  33.12796021]
[34.07582855 35.40284348]
[35.0710907  32.79620743]
[34.59715652 35.59241867]
[35.0710907  32.79620743]
[34.59715652 35.59241867]
[35.26066208 32.74881363]
[35.1658783 34.8341217]
[32.79620743 34.9763031 ]
[34.07582855 35.40284348]
[35.1658783  33.12796021]
[34.07582855 35.40284348]
[35.0710907  32.79620743]
[34.59715652 35.59241867]
[35.0710907  32.79620743]
[34.59715652 35.59241867]
[35.26066208 32.74881363]
[34.59715652 35.59241867]
[35.26066208 32.74881363]
[35.1658783 34.8341217]
[32.79620743 34.9763031 ]
[34.07582855 35.40284348]
[35.0710907  32.79620743]
[34.07582855 35.40284348]
[35.0710907  32.79620743]
[34.59715652 35.59241867]
[35.0710907  32.79620743]
[34.59715652 35.59241867]
[35.26066208 32.74881363]
[35.1658783 34.8341217]
[32.79620743 34.9763031 ]
[34.07582855 35.40284348]
[35.1658783  33.12796021]
[34.07582855 35.40284348]
[35.0710907  32.79620743]
[34.07582855 35.40284348]
[35.0710907  32.79620743]
[34.64455032 35.68720245]
[35.21327209 32.93838882]
[34.64455032 35.68720245]
[35.30805588 32.79620743]
[34.64455032 35.68720245]
[35.30805588 32.79620743]
[35.26066208 34.78672791]
[32.89099503 35.0236969 ]
[34.17061615 35.45023727]
[35.1658783 33.2701416]
[34.17061615 35.45023727]
[35.21327209 32.93838882]
[34.17061615 35.45023727]
[35.21327209 32.93838882]
[34.64455032 35.68720245]
[35.21327209 32.93838882]
[34.64455032 35.68720245]
[35.21327209 32.93838882]
[34.64455032 35.68720245]
[35.30805588 32.79620743]
[34.64455032 35.68720245]
[35.30805588 32.79620743]
[35.26066208 34.78672791]
[32.89099503 35.0236969 ]
[34.17061615 35.45023727]
[35.1658783 33.2701416]
[34.17061615 35.45023727]
[35.1658783 33.2701416]
[34.17061615 35.45023727]
[35.21327209 32.93838882]
[34.17061615 35.45023727]
[34.78672791 33.74407578]
[34.64455032 35.68720245]
[34.78672791 33.74407578]
[34.64455032 35.68720245]
[34.78672791 33.74407578]
[34.64455032 35.68720245]
[34.78672791 33.74407578]
[34.64455032 35.68720245]
[34.8815155 33.4597168]
[34.64455032 35.68720245]
[34.8815155 33.4597168]
[35.26066208 34.78672791]
[32.89099503 35.0236969 ]
[33.98104095 35.1658783 ]
[34.73933792 33.93365097]
[34.17061615 35.45023727]
[34.73933792 33.93365097]
[34.17061615 35.45023727]
[34.73933792 33.93365097]
[34.17061615 35.45023727]
[34.73933792 33.93365097]
[34.17061615 35.45023727]
[34.73933792 33.93365097]
[34.17061615 35.45023727]
[34.73933792 33.93365097]
[34.17061615 35.45023727]
[34.73933792 33.93365097]
[33.55450439 35.0236969 ]
[34.73933792 33.93365097]
[33.55450439 35.0236969 ]
[34.73933792 33.93365097]
[33.55450439 35.0236969 ]
[34.73933792 33.93365097]
[33.55450439 35.0236969 ]
[34.73933792 33.93365097]
[33.55450439 34.9289093 ]
[34.73933792 33.93365097]
[33.55450439 34.9289093 ]
[34.8341217  34.12322235]
[33.412323  35.0710907]
[34.8341217  34.12322235]
[33.412323  35.0710907]
[34.8341217  34.12322235]
[33.412323  35.0710907]
[34.8341217  34.12322235]
[33.412323  35.0710907]
[34.8341217  34.12322235]
[33.412323  35.0710907]
[33.3649292  34.07582855]
[33.88625717 32.32227325]
[34.45497513 34.78672791]
[34.8815155  32.65402985]
[34.69194412 34.59715652]
[33.55450439 34.8815155 ]
[34.45497513 34.78672791]
[34.8815155  32.65402985]
[34.9289093  34.45497513]
[33.4597168 34.9289093]
[34.69194412 34.59715652]
[33.2227478  34.59715652]
[34.45497513 34.78672791]
[34.8815155  32.65402985]
[34.9289093  34.45497513]
[33.4597168 34.9289093]
[34.69194412 34.59715652]
[33.2227478  34.59715652]
[34.45497513 34.78672791]
[35.21327209 32.74881363]
[34.69194412 34.59715652]
[33.4597168 34.9289093]
[34.69194412 34.59715652]
[33.2227478  34.59715652]
[34.45497513 34.78672791]
[35.21327209 32.74881363]
[34.50236893 34.59715652]
[35.0236969  32.41706085]
[34.8341217  34.59715652]
[33.4597168 34.9289093]
[34.50236893 34.59715652]
[35.0236969  32.41706085]
[34.73933792 34.07582855]
[33.74407578 34.73933792]
