<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3DF0>
[33.60189438 35.0236969 ]
[35.26066208 33.2227478 ]
[33.60189438 35.0236969 ]
[35.26066208 33.2227478 ]
[33.60189438 35.0236969 ]
[35.26066208 33.2227478 ]
[33.08057022 34.9289093 ]
[35.26066208 33.2227478 ]
[33.2227478  35.30805588]
[35.30805588 32.98578262]
[33.64928818 35.1184845 ]
[35.30805588 32.98578262]
[33.64928818 35.1184845 ]
[35.30805588 32.60663605]
[34.54976273 34.59715652]
[35.30805588 32.60663605]
[34.54976273 34.59715652]
[35.0236969  32.51184845]
[34.54976273 34.59715652]
[35.0236969  32.51184845]
[34.12322235 33.2701416 ]
[32.60663605 33.60189438]
[34.59715652 35.35544968]
[35.35544968 32.60663605]
[35.45023727 34.31279755]
[32.79620743 34.59715652]
[33.83886337 35.49763107]
[35.40284348 32.93838882]
[34.59715652 35.35544968]
[35.35544968 32.60663605]
[35.45023727 34.31279755]
[32.79620743 34.59715652]
[33.83886337 35.49763107]
[35.40284348 32.93838882]
[34.59715652 35.35544968]
[35.35544968 32.60663605]
[35.45023727 34.31279755]
[32.36966705 34.45497513]
[33.83886337 35.49763107]
[35.40284348 32.93838882]
[33.83886337 35.49763107]
[35.40284348 32.93838882]
[34.59715652 35.35544968]
[35.35544968 32.60663605]
[35.45023727 34.31279755]
[32.79620743 34.59715652]
[33.83886337 35.49763107]
[35.40284348 32.93838882]
[34.59715652 35.35544968]
[35.35544968 32.60663605]
[35.45023727 34.31279755]
[32.36966705 34.45497513]
[33.83886337 35.49763107]
[35.40284348 32.93838882]
[34.59715652 35.35544968]
[35.40284348 32.93838882]
[34.59715652 35.35544968]
[35.35544968 32.60663605]
[35.45023727 34.31279755]
[32.79620743 34.59715652]
[33.83886337 35.49763107]
[35.40284348 32.93838882]
[34.59715652 35.35544968]
[35.35544968 32.60663605]
[35.45023727 34.31279755]
[32.36966705 34.45497513]
[33.83886337 35.49763107]
[35.40284348 32.93838882]
[33.83886337 35.49763107]
[35.40284348 32.93838882]
[34.59715652 35.35544968]
[35.35544968 32.60663605]
[35.45023727 34.31279755]
[32.79620743 34.59715652]
[33.83886337 35.49763107]
[35.40284348 32.93838882]
[34.59715652 35.35544968]
[35.40284348 32.93838882]
[34.54976273 35.54502487]
[35.21327209 32.55924225]
[35.1658783  34.50236893]
[32.74881363 34.54976273]
[33.88625717 35.59241867]
[35.35544968 32.89099503]
[34.54976273 35.54502487]
[35.21327209 32.55924225]
[35.1658783  34.50236893]
[32.41706085 34.50236893]
[33.88625717 35.59241867]
[35.35544968 32.89099503]
[34.54976273 35.54502487]
[35.35544968 32.89099503]
[34.54976273 35.54502487]
[35.21327209 32.55924225]
[35.1658783  34.50236893]
