<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3CA0>
[36.587677   37.44075775]
[36.87203979 37.20379257]
[36.25592422 36.39810562]
[35.54502487 35.54502487]
[35.82938385 35.1658783 ]
[36.11374283 35.97156525]
[35.92417145 35.92417145]
[35.0236969  35.97156525]
[35.97156525 36.30331802]
[36.16113663 35.97156525]
[35.92417145 35.92417145]
[35.26066208 36.20853043]
[36.39810562 36.6824646 ]
[36.16113663 35.97156525]
[36.25592422 36.16113663]
[35.26066208 36.20853043]
[36.11374283 36.6824646 ]
[36.16113663 35.97156525]
[35.78199005 35.73459625]
[35.1184845  35.92417145]
[36.06635284 36.6350708 ]
[35.97156525 35.63980865]
[35.78199005 35.73459625]
[35.35544968 35.92417145]
[35.87677765 35.97156525]
[35.68720245 34.8815155 ]
[35.78199005 35.59241867]
[35.35544968 35.92417145]
[35.78199005 35.59241867]
[35.35544968 35.92417145]
[35.87677765 35.97156525]
[35.68720245 34.8815155 ]
[35.78199005 35.59241867]
[35.49763107 35.78199005]
[35.73459625 35.0710907 ]
[35.21327209 35.1184845 ]
[34.50236893 36.01895905]
[35.97156525 35.97156525]
[34.8815155  36.35071182]
[36.01895905 35.97156525]
[34.8815155  36.35071182]
[36.01895905 35.97156525]
[34.8815155  36.35071182]
[36.06635284 36.4928894 ]
[36.16113663 35.73459625]
[35.87677765 35.82938385]
[34.8815155  36.35071182]
[35.97156525 35.82938385]
[35.49763107 36.30331802]
[36.01895905 36.20853043]
[35.97156525 35.1658783 ]
[35.82938385 35.78199005]
[35.49763107 36.30331802]
[35.82938385 35.78199005]
[35.49763107 36.30331802]
[35.82938385 35.78199005]
[35.49763107 36.30331802]
[35.82938385 35.78199005]
[35.68720245 35.92417145]
[35.68720245 35.40284348]
[35.40284348 35.59241867]
[35.59241867 35.26066208]
[35.40284348 35.59241867]
[35.59241867 35.26066208]
[35.40284348 35.59241867]
[35.59241867 35.26066208]
[35.35544968 35.40284348]
[35.59241867 35.26066208]
[35.35544968 35.40284348]
[35.54502487 34.64455032]
[35.54502487 35.26066208]
[34.9289093  35.82938385]
[35.54502487 35.26066208]
[34.9289093  35.82938385]
[35.54502487 35.26066208]
[35.0236969  35.82938385]
[35.54502487 35.26066208]
[35.0236969  35.82938385]
[35.54502487 35.26066208]
[34.8341217  35.49763107]
[35.26066208 35.0236969 ]
[34.8341217  35.49763107]
[35.26066208 35.0236969 ]
[34.54976273 35.59241867]
[35.26066208 35.0236969 ]
[34.54976273 35.59241867]
[35.26066208 35.0236969 ]
[34.54976273 35.59241867]
[35.26066208 35.0236969 ]
[34.69194412 35.45023727]
[35.26066208 35.0236969 ]
[34.69194412 35.45023727]
[35.0710907 34.9763031]
[34.69194412 35.45023727]
[35.0710907 34.9763031]
[34.69194412 35.45023727]
[35.0710907 34.9763031]
[35.0236969  35.45023727]
[35.1184845 34.8815155]
[34.8341217 35.1658783]
[35.1184845 34.8815155]
[34.8341217 35.1658783]
[35.0710907  34.17061615]
[34.8341217 35.1658783]
[35.0710907  34.17061615]
[34.8815155 34.9763031]
[35.0710907  34.17061615]
[34.8815155 34.9763031]
[35.0710907  34.17061615]
[35.0710907  34.78672791]
[34.64455032 35.1184845 ]
[34.9763031 34.9763031]
[34.64455032 35.1184845 ]
[34.9289093 34.8815155]
[34.54976273 35.1658783 ]
[34.9289093 34.8815155]
[34.78672791 35.0710907 ]
[34.78672791 34.8815155 ]
[34.50236893 33.60189438]
[34.9763031  34.64455032]
[34.69194412 34.8815155 ]
[34.9763031  34.64455032]
[34.69194412 34.8815155 ]
[35.35544968 34.07582855]
[35.1184845 35.0236969]
[34.8815155 35.1184845]
[35.0710907 34.8341217]
[34.9289093 34.9289093]
[34.64455032 35.0710907 ]
[34.9289093 34.9289093]
[34.64455032 35.0710907 ]
[35.21327209 34.69194412]
[34.64455032 34.9289093 ]
[35.21327209 34.69194412]
[34.64455032 34.9289093 ]
[34.73933792 34.54976273]
[34.21800995 34.78672791]
[34.54976273 34.45497513]
[34.21800995 34.78672791]
[34.21800995 34.54976273]
[33.93365097 34.69194412]
[34.73933792 34.12322235]
[34.54976273 34.54976273]
[35.0236969  34.64455032]
[34.9289093 35.0236969]
[34.54976273 34.45497513]
[34.59715652 34.8341217 ]
[34.45497513 34.21800995]
[34.59715652 34.8341217 ]
[34.12322235 34.31279755]
[34.12322235 34.36019135]
[34.73933792 34.12322235]
[34.69194412 34.12322235]
[34.9289093  34.45497513]
[34.9289093 35.0236969]
[34.45497513 34.40758133]
[34.9289093 35.0236969]
[34.45497513 34.40758133]
[34.59715652 34.73933792]
[34.45497513 34.40758133]
[34.59715652 34.73933792]
[34.45497513 34.40758133]
[34.59715652 34.73933792]
[34.02843475 34.50236893]
[34.40758133 33.98104095]
[34.31279755 34.07582855]
[34.50236893 34.40758133]
[34.26540375 34.45497513]
[34.21800995 34.45497513]
[33.69668198 34.31279755]
[33.83886337 34.12322235]
[34.64455032 34.02843475]
[34.54976273 34.07582855]
[34.54976273 34.21800995]
[34.78672791 34.45497513]
[34.54976273 34.50236893]
[34.26540375 34.45497513]
[33.93365097 34.54976273]
[34.12322235 34.54976273]
[33.69668198 34.31279755]
[33.98104095 34.40758133]
[34.64455032 34.02843475]
[34.54976273 34.07582855]
[34.50236893 34.31279755]
[35.0236969  34.59715652]
[34.54976273 34.50236893]
[34.54976273 34.50236893]
[34.26540375 34.45497513]
