<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3D10>
[36.5402832  35.92417145]
[35.97156525 36.35071182]
[36.587677   36.01895905]
[35.49763107 36.44549561]
[36.01895905 36.20853043]
[36.39810562 35.21327209]
[36.06635284 36.16113663]
[36.35071182 35.1658783 ]
[36.06635284 36.16113663]
[36.06635284 35.1658783 ]
[36.06635284 36.16113663]
[36.06635284 35.1658783 ]
[35.92417145 36.11374283]
[36.06635284 35.1658783 ]
[35.92417145 36.11374283]
[36.06635284 35.1658783 ]
[35.92417145 36.11374283]
[36.06635284 35.1658783 ]
[35.92417145 36.11374283]
[36.06635284 35.1658783 ]
[35.92417145 36.11374283]
[36.06635284 35.1658783 ]
[35.82938385 35.82938385]
[35.59241867 36.16113663]
[35.54502487 35.73459625]
[35.82938385 35.26066208]
[35.54502487 35.73459625]
[35.68720245 35.30805588]
[35.1658783  35.63980865]
[35.26066208 35.26066208]
[34.69194412 34.9763031 ]
[34.59715652 34.9763031 ]
[34.9289093 34.9289093]
[34.69194412 34.8341217 ]
[34.8341217 34.8815155]
[35.26066208 33.83886337]
[34.8341217 34.8815155]
[35.0236969  33.98104095]
[34.59715652 34.9763031 ]
[35.26066208 34.31279755]
[34.02843475 34.54976273]
[34.8341217  34.17061615]
[33.83886337 34.36019135]
[34.45497513 34.36019135]
[33.83886337 34.36019135]
[34.45497513 34.36019135]
[33.83886337 34.36019135]
[34.26540375 34.31279755]
[34.73933792 33.60189438]
[34.26540375 34.31279755]
[34.54976273 33.64928818]
[33.98104095 34.40758133]
[34.54976273 33.64928818]
[33.93365097 34.40758133]
[34.73933792 33.98104095]
[33.83886337 34.31279755]
[34.73933792 33.98104095]
[33.74407578 34.26540375]
[34.69194412 33.98104095]
[33.74407578 34.26540375]
[34.21800995 34.07582855]
[33.88625717 34.12322235]
[34.21800995 34.07582855]
[33.88625717 34.12322235]
[34.21800995 34.07582855]
[33.88625717 34.12322235]
[34.26540375 34.12322235]
[33.88625717 34.12322235]
[34.26540375 34.12322235]
[33.83886337 33.55450439]
[33.64928818 33.79146957]
[33.83886337 33.55450439]
[33.64928818 33.79146957]
[33.74407578 33.5071106 ]
[33.64928818 33.79146957]
[33.69668198 33.55450439]
[33.4597168  33.69668198]
[33.69668198 33.55450439]
[33.4597168  33.69668198]
[33.69668198 33.55450439]
[33.4597168  33.69668198]
[33.69668198 33.55450439]
