<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3D10>
[36.39810562 35.97156525]
[35.82938385 36.35071182]
[36.4928894  36.06635284]
[35.40284348 36.5402832 ]
[35.87677765 36.20853043]
[36.20853043 35.45023727]
[35.87677765 36.16113663]
[36.11374283 35.40284348]
[35.87677765 36.16113663]
[35.92417145 35.35544968]
[35.87677765 36.16113663]
[35.92417145 35.35544968]
[35.73459625 36.20853043]
[35.92417145 35.35544968]
[35.73459625 36.20853043]
[35.92417145 35.35544968]
[35.73459625 36.20853043]
[35.92417145 35.35544968]
[35.73459625 36.20853043]
[35.87677765 35.30805588]
[35.73459625 36.20853043]
[35.87677765 35.30805588]
[35.63980865 35.92417145]
[35.87677765 35.30805588]
[35.63980865 35.92417145]
[35.63980865 35.35544968]
[34.8815155 35.1184845]
[34.8815155 35.1658783]
[35.26066208 34.9289093 ]
[34.8815155 35.1658783]
[35.26066208 34.9289093 ]
[34.40758133 34.9763031 ]
[35.26066208 34.9289093 ]
[34.59715652 35.1184845 ]
[34.73933792 35.0236969 ]
[35.21327209 34.02843475]
[34.9289093 35.0236969]
[35.21327209 34.02843475]
[34.26540375 34.8341217 ]
[34.78672791 34.07582855]
[34.12322235 34.50236893]
[34.64455032 33.88625717]
[33.93365097 34.54976273]
[34.02843475 33.93365097]
[33.5071106  34.21800995]
[34.07582855 33.60189438]
[34.02843475 34.40758133]
[34.45497513 33.5071106 ]
[34.02843475 34.40758133]
[34.45497513 33.5071106 ]
[34.36019135 34.45497513]
[34.59715652 33.64928818]
[34.02843475 34.26540375]
[34.21800995 33.69668198]
[34.02843475 34.26540375]
[33.98104095 33.74407578]
[33.93365097 34.12322235]
[33.98104095 33.74407578]
[34.07582855 34.21800995]
[33.98104095 33.74407578]
[34.07582855 34.12322235]
[33.4597168 33.412323 ]
[33.64928818 33.74407578]
[33.4597168 33.412323 ]
[33.412323   33.69668198]
[33.4597168 33.412323 ]
[33.412323   33.69668198]
[33.4597168 33.412323 ]
[33.412323   33.69668198]
[33.4597168 33.412323 ]
