<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B3050F3BC0>
[31.5639801  31.42180061]
[31.46919441 31.6113739 ]
[31.6113739  31.27962112]
[31.51658821 31.37440681]
[31.46919441 31.6113739 ]
[31.37440681 31.23222733]
[31.37440681 31.46919441]
[31.37440681 31.23222733]
[31.37440681 31.46919441]
[31.37440681 31.23222733]
[31.37440681 31.46919441]
[31.32701492 31.27962112]
[31.37440681 31.46919441]
[31.23222733 31.23222733]
[31.23222733 31.37440681]
[31.23222733 31.23222733]
[31.23222733 31.37440681]
