<generator object PPO.save_probs.<locals>.<genexpr> at 0x0000022CE039B990>
[44.08212662 39.73429871]
[42.14975739 39.37198257]
[38.52656937 40.4589386 ]
[41.66666794 39.85507202]
[38.04347992 40.70048141]
[38.40579605 39.97584534]
[42.14975739 41.30434799]
[37.56038666 40.94202805]
[40.82125473 41.42512131]
[40.70048141 40.57971191]
[40.82125473 41.42512131]
[40.70048141 40.70048141]
[40.33816528 41.06280136]
[40.94202805 39.61352539]
[40.33816528 40.33816528]
[38.768116  40.4589386]
[39.25120926 40.70048141]
[41.18357468 39.00966263]
[38.768116   40.09661865]
[40.94202805 38.88888931]
[38.768116   40.09661865]
[40.21739197 38.768116  ]
[38.768116   40.57971191]
[39.37198257 38.28502274]
[38.768116   40.57971191]
[37.9227066  38.16424942]
[40.70048141 37.80193329]
[38.28502274 39.00966263]
[39.37198257 37.31884003]
